NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC7A11	NA	334	0.4915931224822998	-0.005820571	Yes	
row_1	ACSL3	NA	593	0.4385371804237366	-0.008433701	Yes	
row_2	HMGCS1	NA	684	0.42157137393951416	-7.4439996E-4	Yes	
row_3	NUP205	NA	705	0.4183627665042877	0.0113612	Yes	
row_4	HMGCR	NA	717	0.41529980301856995	0.023949739	Yes	
row_5	SQLE	NA	850	0.3918207585811615	0.027974943	Yes	
row_6	IDI1	NA	890	0.3885650634765625	0.037899766	Yes	
row_7	DHCR7	NA	903	0.3876103162765503	0.049537078	Yes	
row_8	SLA	NA	945	0.38231101632118225	0.05913252	Yes	
row_9	DHCR24	NA	1083	0.3659798204898834	0.06200746	Yes	
row_10	TCEA1	NA	1215	0.3476593494415283	0.064683095	Yes	
row_11	STARD4	NA	1303	0.340739905834198	0.06997769	Yes	
row_12	LTA4H	NA	1430	0.32929494976997375	0.07238805	Yes	
row_13	CANX	NA	1436	0.3283642828464508	0.0825801	Yes	
row_14	SORD	NA	1471	0.3245818614959717	0.09077885	Yes	
row_15	XBP1	NA	1490	0.3239648640155792	0.09999077	Yes	
row_16	SRD5A1	NA	1606	0.3126676380634308	0.102578826	Yes	
row_17	DAPP1	NA	1610	0.31239545345306396	0.11238863	Yes	
row_18	EDEM1	NA	1656	0.30912697315216064	0.11938236	Yes	
row_19	CTSC	NA	1966	0.2861979603767395	0.1085986	Yes	
row_20	CXCR4	NA	1968	0.28607505559921265	0.1176947	Yes	
row_21	QDPR	NA	1989	0.2844521999359131	0.12551223	Yes	
row_22	ITGB2	NA	2158	0.27439865469932556	0.123453274	Yes	
row_23	SC5D	NA	2340	0.2628389000892639	0.12018491	Yes	
row_24	M6PR	NA	2397	0.25957417488098145	0.12488172	Yes	
row_25	NAMPT	NA	2464	0.25527483224868774	0.12879528	Yes	
row_26	SDF2L1	NA	2508	0.2530643939971924	0.1341229	Yes	
row_27	ENO1	NA	2519	0.25255832076072693	0.14156471	Yes	
row_28	RPN1	NA	2525	0.2521955668926239	0.1493177	Yes	
row_29	IDH1	NA	2715	0.24111732840538025	0.14483729	Yes	
row_30	ACACA	NA	2761	0.23895831406116486	0.14958408	Yes	
row_31	PDAP1	NA	2777	0.23783747851848602	0.15623172	Yes	
row_32	SKAP2	NA	2778	0.2378075122833252	0.16384676	Yes	
row_33	INSIG1	NA	2865	0.2331443727016449	0.1657605	Yes	
row_34	PFKL	NA	2912	0.2314232736825943	0.17020145	Yes	
row_35	UFM1	NA	2984	0.22698719799518585	0.1728864	Yes	
row_36	ACTR2	NA	3065	0.22255100309848785	0.17484827	Yes	
row_37	SYTL2	NA	3111	0.21982429921627045	0.17898236	Yes	
row_38	RRP9	NA	3128	0.21902413666248322	0.184963	Yes	
row_39	PSMC2	NA	3275	0.21193721890449524	0.18232419	Yes	
row_40	RPA1	NA	3311	0.20998282730579376	0.18678871	Yes	
row_41	ACTR3	NA	3483	0.20163306593894958	0.18220599	Yes	
row_42	TFRC	NA	3522	0.19979549944400787	0.18615063	Yes	
row_43	PSAT1	NA	3677	0.1905565708875656	0.1823107	Yes	
row_44	BCAT1	NA	3683	0.1902494877576828	0.18808006	Yes	
row_45	ACLY	NA	3844	0.18332719802856445	0.18362129	Yes	
row_46	PLK1	NA	3851	0.18263813853263855	0.18908235	Yes	
row_47	BHLHE40	NA	3860	0.18231220543384552	0.19440387	Yes	
row_48	PPIA	NA	3904	0.18007692694664001	0.19739428	Yes	
row_49	TMEM97	NA	3927	0.17908212542533875	0.20170856	Yes	
row_50	RRM2	NA	3992	0.17618651688098907	0.20321868	Yes	
row_51	ELOVL6	NA	4059	0.173291876912117	0.204507	Yes	
row_52	SSR1	NA	4086	0.17205744981765747	0.2083381	Yes	
row_53	CTH	NA	4090	0.17200765013694763	0.21365243	Yes	
row_54	GMPS	NA	4140	0.17039674520492554	0.21594551	Yes	
row_55	SLC37A4	NA	4205	0.16698168218135834	0.21716088	Yes	
row_56	ME1	NA	4311	0.1631074696779251	0.21560532	Yes	
row_57	PLOD2	NA	4327	0.16252435743808746	0.21984129	Yes	
row_58	GLA	NA	4599	0.15092086791992188	0.20717889	No	
row_59	SERP1	NA	4665	0.14873939752578735	0.20774555	No	
row_60	GPI	NA	4682	0.14805513620376587	0.21145363	No	
row_61	AK4	NA	4728	0.1459951251745224	0.21322356	No	
