NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGF1	NA	176	0.5593688488006592	0.0039352477	No	
row_1	NOS1	NA	240	0.5245757102966309	0.014207642	No	
row_2	FST	NA	596	0.43784675002098083	0.003277271	No	
row_3	AGRN	NA	833	0.3948582112789154	-0.0011529451	No	
row_4	PSEN2	NA	1090	0.3646620512008667	-0.007698268	No	
row_5	RB1	NA	1181	0.35096609592437744	-0.00391165	No	
row_6	SPHK1	NA	1703	0.30629411339759827	-0.029143311	No	
row_7	ITGB5	NA	1865	0.29517310857772827	-0.031460572	No	
row_8	LSP1	NA	2546	0.2510942220687866	-0.068455495	No	
row_9	PICK1	NA	2961	0.22841840982437134	-0.08891434	No	
row_10	PLXNB2	NA	3145	0.21822333335876465	-0.094753385	No	
row_11	ADAM12	NA	3356	0.20784953236579895	-0.10261729	No	
row_12	MYLK	NA	3628	0.19299209117889404	-0.114821434	No	
row_13	PVALB	NA	3817	0.18428771197795868	-0.12191035	No	
row_14	TPD52L1	NA	3832	0.1836213618516922	-0.11779528	No	
row_15	BHLHE40	NA	3860	0.18231220543384552	-0.11455443	No	
row_16	PPFIA4	NA	3964	0.1771305948495865	-0.11635682	No	
row_17	PPP1R3C	NA	4080	0.17239238321781158	-0.11906265	No	
row_18	FDPS	NA	4259	0.16483601927757263	-0.12603818	No	
row_19	MAPK12	NA	4346	0.16194161772727966	-0.12715924	No	
row_20	MYH9	NA	4379	0.16068148612976074	-0.12483199	No	
row_21	TPM3	NA	4530	0.15413963794708252	-0.13029397	No	
row_22	GAA	NA	4627	0.14984813332557678	-0.13239047	No	
row_23	SCD	NA	4774	0.14414581656455994	-0.13786757	No	
row_24	MYO1C	NA	5461	0.11309068650007248	-0.17902082	No	
row_25	LPIN1	NA	5554	0.10961493104696274	-0.18195882	No	
row_26	OCEL1	NA	5892	0.09602182358503342	-0.20106967	No	
row_27	VIPR1	NA	6305	0.07856574654579163	-0.2254947	No	
row_28	SVIL	NA	6348	0.07681712508201599	-0.22610424	No	
row_29	MYF6	NA	6780	0.05924740061163902	-0.25228262	No	
row_30	SPDEF	NA	6887	0.054968662559986115	-0.25761694	No	
row_31	KCNH1	NA	7015	0.05021785572171211	-0.2644355	No	
row_32	KLF5	NA	7107	0.04610459506511688	-0.26904464	No	
row_33	EPHB3	NA	7514	0.029231689870357513	-0.29443088	No	
row_34	TAGLN	NA	7651	0.023957226425409317	-0.30254754	No	
row_35	MYH11	NA	7739	0.020431065931916237	-0.3076003	No	
row_36	FOXO4	NA	7855	0.01601335033774376	-0.31457964	No	
row_37	CHRNG	NA	8193	0.0010726990876719356	-0.33628526	No	
row_38	DAPK2	NA	8388	-0.002255982020869851	-0.3487357	No	
row_39	WWTR1	NA	8421	-0.0034640515223145485	-0.35070488	No	
row_40	CACNA1H	NA	8428	-0.00384508166462183	-0.35098678	No	
row_41	CDKN1A	NA	8436	-0.004028039984405041	-0.35132816	No	
row_42	CNN3	NA	8613	-0.011659611947834492	-0.36236072	No	
row_43	ACSL1	NA	8765	-0.019074618816375732	-0.37157825	No	
row_44	CHRNA1	NA	8891	-0.024468926712870598	-0.37897146	No	
row_45	SPTAN1	NA	9026	-0.02937934547662735	-0.38681096	No	
row_46	ITGB4	NA	9605	-0.05380265787243843	-0.42261893	No	
row_47	IFRD1	NA	9627	-0.055083710700273514	-0.422468	No	
row_48	NOTCH1	NA	9729	-0.059318482875823975	-0.42736098	No	
row_49	COL3A1	NA	9859	-0.06637398153543472	-0.433867	No	
row_50	APOD	NA	10251	-0.08653078228235245	-0.45671996	No	
row_51	GPX3	NA	10483	-0.10057727247476578	-0.46886984	No	
row_52	RIT1	NA	10539	-0.10372567921876907	-0.46958244	No	
row_53	CD36	NA	10644	-0.11009638756513596	-0.47328126	No	
row_54	TPM2	NA	10708	-0.11317210644483566	-0.4742517	No	
row_55	STC2	NA	10899	-0.12316332012414932	-0.48314	No	
row_56	ATP6AP1	NA	10937	-0.12468433380126953	-0.48211896	No	
row_57	BDKRB2	NA	10968	-0.1263379454612732	-0.48060125	No	
row_58	TNNI2	NA	11193	-0.13821160793304443	-0.49127117	No	
row_59	KIFC3	NA	11485	-0.15427078306674957	-0.5058234	No	
row_60	TNNT3	NA	11540	-0.1574765294790268	-0.5050026	No	
row_61	MRAS	NA	11562	-0.15882505476474762	-0.50201666	No	
row_62	TNNC2	NA	11642	-0.16291746497154236	-0.50265956	No	
row_63	FGF2	NA	11781	-0.16918835043907166	-0.5069364	Yes	
row_64	SGCG	NA	11788	-0.16971948742866516	-0.50268525	Yes	
row_65	MYL1	NA	11879	-0.17448174953460693	-0.5037216	Yes	
row_66	AGL	NA	11978	-0.17982815206050873	-0.5051278	Yes	
row_67	TSC2	NA	11986	-0.18053102493286133	-0.5006457	Yes	
row_68	CRYAB	NA	12110	-0.1869642287492752	-0.5034693	Yes	
row_69	BAG1	NA	12151	-0.18853209912776947	-0.5008969	Yes	
row_70	MYOM2	NA	12179	-0.18938329815864563	-0.49746278	Yes	
row_71	SGCA	NA	12214	-0.19114047288894653	-0.49443215	Yes	
row_72	PRNP	NA	12231	-0.1919734925031662	-0.4902178	Yes	
row_73	CACNG1	NA	12234	-0.19215691089630127	-0.48509553	Yes	
row_74	NAV2	NA	12258	-0.19313864409923553	-0.48130083	Yes	
row_75	SLC6A8	NA	12278	-0.19449374079704285	-0.47721115	Yes	
row_76	CRAT	NA	12413	-0.2024761587381363	-0.48032025	Yes	
row_77	CKMT2	NA	12468	-0.20550714433193207	-0.4781869	Yes	
row_78	FKBP1B	NA	12508	-0.20788024365901947	-0.47502127	Yes	
row_79	APP	NA	12595	-0.21262572705745697	-0.47475722	Yes	
row_80	DTNA	NA	12598	-0.21274437010288239	-0.46907234	Yes	
row_81	HSPB8	NA	12611	-0.2133738398551941	-0.46401522	Yes	
row_82	ERBB3	NA	12654	-0.21579013764858246	-0.4608269	Yes	
row_83	FABP3	NA	12769	-0.222148597240448	-0.4621085	Yes	
row_84	MYBPH	NA	12822	-0.22497597336769104	-0.4593141	Yes	
row_85	MYOM1	NA	12860	-0.22668933868408203	-0.45550546	Yes	
row_86	AK1	NA	12891	-0.22873686254024506	-0.4511894	Yes	
row_87	COL1A1	NA	12905	-0.2302113175392151	-0.44573665	Yes	
row_88	ACTA1	NA	13021	-0.23744826018810272	-0.44666463	Yes	
row_89	BIN1	NA	13028	-0.23779092729091644	-0.44055325	Yes	
row_90	GABARAPL2	NA	13029	-0.23780249059200287	-0.43405458	Yes	
row_91	ITGB1	NA	13122	-0.24319303035736084	-0.4333422	Yes	
row_92	ACTN2	NA	13170	-0.24676252901554108	-0.42962992	Yes	
row_93	HSPB2	NA	13206	-0.24865354597568512	-0.42509207	Yes	
row_94	ABLIM1	NA	13310	-0.2566423714160919	-0.42472157	Yes	
row_95	ITGA7	NA	13379	-0.26023364067077637	-0.42199558	Yes	
row_96	SLN	NA	13396	-0.2609504461288452	-0.41589627	Yes	
row_97	IGFBP3	NA	13414	-0.2624199688434601	-0.40982127	Yes	
row_98	COL4A2	NA	13425	-0.26321274042129517	-0.40327314	Yes	
row_99	MEF2C	NA	13426	-0.26331785321235657	-0.39607722	Yes	
row_100	CASQ1	NA	13450	-0.26516056060791016	-0.39031428	Yes	
row_101	LAMA2	NA	13479	-0.26741334795951843	-0.3848123	Yes	
row_102	GSN	NA	13507	-0.2692406475543976	-0.37919587	Yes	
row_103	SYNGR2	NA	13529	-0.27040016651153564	-0.37316078	Yes	
row_104	LARGE1	NA	13537	-0.27078938484191895	-0.3662121	Yes	
row_105	LDB3	NA	13609	-0.27657777070999146	-0.36323297	Yes	
row_106	ADCY9	NA	13722	-0.2856236696243286	-0.36265093	Yes	
row_107	TNNC1	NA	13831	-0.2940521836280823	-0.36158055	Yes	
row_108	TCAP	NA	13865	-0.2977609634399414	-0.3555717	Yes	
row_109	PDLIM7	NA	13869	-0.29815778136253357	-0.34761712	Yes	
row_110	MB	NA	13941	-0.3034764230251312	-0.3439029	Yes	
row_111	ANKRD2	NA	13961	-0.3048054873943329	-0.33679858	Yes	
row_112	AEBP1	NA	13978	-0.30677518248558044	-0.32944697	Yes	
row_113	TNNI1	NA	14050	-0.3106171190738678	-0.3255376	Yes	
row_114	CASQ2	NA	14054	-0.3109632730484009	-0.3172331	Yes	
row_115	ACTC1	NA	14090	-0.31419503688812256	-0.3109041	Yes	
row_116	SOD3	NA	14190	-0.32325080037117004	-0.30845535	Yes	
row_117	EIF4A2	NA	14231	-0.3266047239303589	-0.3021097	Yes	
row_118	DMD	NA	14255	-0.32915908098220825	-0.29459783	Yes	
row_119	MYOZ1	NA	14280	-0.33120235800743103	-0.28709462	Yes	
row_120	FLII	NA	14301	-0.3330978751182556	-0.27928165	Yes	
row_121	PKIA	NA	14393	-0.3422512412071228	-0.27579767	Yes	
row_122	SGCD	NA	14522	-0.3540862202644348	-0.27437663	Yes	
row_123	SPEG	NA	14532	-0.3552851676940918	-0.26524785	Yes	
row_124	IGFBP7	NA	14586	-0.36145609617233276	-0.25878823	Yes	
row_125	MYOG	NA	14607	-0.3642123341560364	-0.25012493	Yes	
row_126	FHL1	NA	14673	-0.3725195825099945	-0.24413693	Yes	
row_127	COL6A3	NA	14731	-0.3785861134529114	-0.23746717	Yes	
row_128	CKB	NA	14768	-0.38316184282302856	-0.22931796	Yes	
row_129	GNAO1	NA	14849	-0.3934612274169922	-0.22372508	Yes	
row_130	TEAD4	NA	14909	-0.4011068642139435	-0.21656886	Yes	
row_131	REEP1	NA	14968	-0.4074142873287201	-0.20917578	Yes	
row_132	MYL2	NA	14975	-0.4078957140445709	-0.19841579	Yes	
row_133	MYBPC3	NA	14977	-0.40795648097991943	-0.18733165	Yes	
row_134	TNNT2	NA	14981	-0.40801680088043213	-0.17637485	Yes	
row_135	MYL3	NA	14987	-0.4082287549972534	-0.16554126	Yes	
row_136	CSRP3	NA	14990	-0.4082917869091034	-0.15451245	Yes	
row_137	NCAM1	NA	14996	-0.40907713770866394	-0.14365567	Yes	
