NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOS1	NA	240	0.5245757102966309	0.011467203	Yes	
row_1	DDX4	NA	423	0.4652239680290222	0.023618342	Yes	
row_2	DBF4	NA	430	0.46421393752098083	0.04702296	Yes	
row_3	DCC	NA	456	0.4584045708179474	0.06890941	Yes	
row_4	SPATA6	NA	465	0.4560679793357849	0.09176809	Yes	
row_5	SYCP1	NA	627	0.4312954843044281	0.103529386	Yes	
row_6	PCSK4	NA	643	0.42844608426094055	0.124522865	Yes	
row_7	CLVS1	NA	690	0.42053747177124023	0.14311978	Yes	
row_8	TSN	NA	778	0.40223321318626404	0.15814503	Yes	
row_9	NPHP1	NA	1037	0.37134814262390137	0.16060342	Yes	
row_10	MAP7	NA	1253	0.3439524471759796	0.1644199	Yes	
row_11	COIL	NA	1328	0.3385920822620392	0.17701872	Yes	
row_12	CLGN	NA	1359	0.33616891503334045	0.19231966	Yes	
row_13	ACRBP	NA	1391	0.3324890434741974	0.2073678	Yes	
row_14	NPY5R	NA	1584	0.31501078605651855	0.21117847	Yes	
row_15	CHFR	NA	1642	0.31046831607818604	0.22342798	Yes	
row_16	MTOR	NA	1650	0.3097560703754425	0.23885271	Yes	
row_17	ZC2HC1C	NA	2237	0.26953378319740295	0.21502446	Yes	
row_18	TOPBP1	NA	2272	0.2669181227684021	0.22651951	Yes	
row_19	STRBP	NA	2408	0.25891798734664917	0.23111689	Yes	
row_20	GRM8	NA	2428	0.25757911801338196	0.24309684	Yes	
row_21	SHE	NA	2567	0.24991929531097412	0.24704036	Yes	
row_22	EZH2	NA	2760	0.23902800679206848	0.24695708	Yes	
row_23	IL13RA2	NA	2763	0.23883500695228577	0.25906843	Yes	
row_24	RFC4	NA	2774	0.23792099952697754	0.27061903	Yes	
row_25	GSG1	NA	2795	0.23651772737503052	0.2814554	Yes	
row_26	ZPBP	NA	3097	0.2209043949842453	0.2734418	Yes	
row_27	TALDO1	NA	3738	0.18764324486255646	0.24194814	Yes	
row_28	ACE	NA	3778	0.18586516380310059	0.24896823	Yes	
row_29	CCNB2	NA	3915	0.17959892749786377	0.24943644	Yes	
row_30	HSPA2	NA	4000	0.17577460408210754	0.25304884	Yes	
row_31	CDKN3	NA	4042	0.1736844778060913	0.2593162	Yes	
row_32	CSNK2A2	NA	4074	0.1725260466337204	0.26616657	Yes	
row_33	ACTL7B	NA	4277	0.1643475741147995	0.2616137	Yes	
row_34	IFT88	NA	4380	0.16065354645252228	0.26329497	Yes	
row_35	PRKAR2A	NA	4437	0.15805214643478394	0.2677977	Yes	
row_36	SLC12A2	NA	4532	0.15407276153564453	0.2696556	Yes	
row_37	MEP1B	NA	4552	0.15300124883651733	0.27627614	Yes	
row_38	GFI1	NA	4579	0.15178491175174713	0.28238472	Yes	
row_39	HSPA4L	NA	4588	0.15162266790866852	0.2896412	Yes	
row_40	SCG3	NA	4897	0.13868071138858795	0.27696413	No	
row_41	NCAPH	NA	4941	0.13658739626407623	0.2812019	No	
row_42	CAMK4	NA	4968	0.135245218873024	0.28646284	No	
row_43	CFTR	NA	5324	0.1192045509815216	0.26976866	No	
row_44	SIRT1	NA	5350	0.1177792027592659	0.27419874	No	
row_45	RAD17	NA	5433	0.11418462544679642	0.27478325	No	
row_46	LPIN1	NA	5554	0.10961493104696274	0.27269268	No	
row_47	MAST2	NA	5691	0.10422627627849579	0.2692982	No	
row_48	GPR182	NA	5943	0.09367427229881287	0.257976	No	
row_49	ZC3H14	NA	6071	0.08885350078344345	0.2543718	No	
row_50	SNAP91	NA	6208	0.08280086517333984	0.2498793	No	
row_51	CDK1	NA	6298	0.07886765152215958	0.24820425	No	
row_52	STAM2	NA	6374	0.07561913132667542	0.247262	No	
row_53	IDE	NA	6385	0.07525747269392014	0.25047645	No	
row_54	KIF2C	NA	6447	0.07302220165729523	0.2503004	No	
row_55	NEK2	NA	6718	0.06157948076725006	0.23611295	No	
row_56	TEKT2	NA	6775	0.05941805616021156	0.23556088	No	
row_57	MLF1	NA	7124	0.045613083988428116	0.21554491	No	
row_58	AGFG1	NA	7251	0.04090983793139458	0.20954794	No	
row_59	TTK	NA	7306	0.03824162855744362	0.20803909	No	
row_60	CHRM4	NA	7540	0.028340797871351242	0.1945249	No	
row_61	PGS1	NA	7571	0.02747253328561783	0.19400577	No	
row_62	PACRG	NA	7988	0.010063016787171364	0.16780001	No	
row_63	SEPTIN4	NA	8169	0.001831299508921802	0.15633167	No	
row_64	AURKA	NA	8332	-1.2684146895480808E-5	0.14592637	No	
