NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LITAF	NA	24	0.7623013854026794	0.023185195	No	
row_1	NFKB1	NA	221	0.534905195236206	0.027902987	No	
row_2	BTG1	NA	547	0.44460827112197876	0.021373913	No	
row_3	DDX58	NA	599	0.4375452697277069	0.032281704	No	
row_4	LAMB3	NA	749	0.40911510586738586	0.035948586	No	
row_5	IL7R	NA	1013	0.37434545159339905	0.031137284	No	
row_6	SMAD3	NA	1036	0.3715479373931885	0.04177358	No	
row_7	RHOB	NA	1104	0.36291155219078064	0.049228314	No	
row_8	TANK	NA	1374	0.3345624506473541	0.04273942	No	
row_9	IL23A	NA	1431	0.329222708940506	0.049810354	No	
row_10	CEBPB	NA	1536	0.3194994628429413	0.053471044	No	
row_11	NFKBIE	NA	1677	0.30792319774627686	0.05443506	No	
row_12	BCL2A1	NA	1689	0.3074803948402405	0.06370193	No	
row_13	SPHK1	NA	1703	0.30629411339759827	0.07280136	No	
row_14	IFIH1	NA	1858	0.2956811785697937	0.07246555	No	
row_15	KYNU	NA	1945	0.2873800992965698	0.076244675	No	
row_16	PLEK	NA	2013	0.28289878368377686	0.08110343	No	
row_17	CD44	NA	2349	0.26241442561149597	0.0680184	No	
row_18	NAMPT	NA	2464	0.25527483224868774	0.06895059	No	
row_19	PTGS2	NA	2513	0.2529025971889496	0.07406115	No	
row_20	GCH1	NA	2572	0.24971795082092285	0.078423634	No	
row_21	TLR2	NA	2687	0.24366790056228638	0.07897925	No	
row_22	CFLAR	NA	2872	0.2330004721879959	0.074675545	No	
row_23	TNIP2	NA	2886	0.23261936008930206	0.08138463	No	
row_24	ABCA1	NA	2914	0.23127631843090057	0.08714749	No	
row_25	ZC3H12A	NA	2974	0.22759820520877838	0.09072783	No	
row_26	SDC4	NA	3078	0.22167256474494934	0.09127904	No	
row_27	BMP2	NA	3476	0.20212191343307495	0.07224042	No	
row_28	ICOSLG	NA	3696	0.1894264668226242	0.06426637	No	
row_29	BHLHE40	NA	3860	0.18231220543384552	0.059672073	No	
row_30	FOS	NA	3977	0.17664176225662231	0.057924103	No	
row_31	CCNL1	NA	4148	0.1699359267950058	0.05247694	No	
row_32	PLAU	NA	4162	0.16895753145217896	0.057120536	No	
row_33	MAP3K8	NA	4213	0.16653278470039368	0.0592999	No	
