NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NFKB1	NA	221	0.534905195236206	0.007631313	No	
row_1	DAB2	NA	461	0.4577326476573944	0.010947845	No	
row_2	SMAD3	NA	1036	0.3715479373931885	-0.010841488	No	
row_3	PIK3CD	NA	1172	0.35232269763946533	-0.0051343897	No	
row_4	MGMT	NA	1282	0.34178295731544495	0.0018168408	No	
row_5	RND3	NA	1769	0.30183786153793335	-0.01715316	No	
row_6	BCKDHB	NA	1971	0.2859310805797577	-0.01841246	No	
row_7	ADORA2B	NA	2306	0.2647702097892761	-0.029105388	No	
row_8	PRKCA	NA	2655	0.24494633078575134	-0.041510746	No	
row_9	PEX14	NA	2664	0.2445477545261383	-0.032028005	No	
row_10	INSIG1	NA	2865	0.2331443727016449	-0.035381023	No	
row_11	ATP2C1	NA	3387	0.20636975765228271	-0.060509022	No	
row_12	TENT4A	NA	3471	0.20247676968574524	-0.057578173	No	
row_13	SLC22A18	NA	3534	0.19902873039245605	-0.053435374	No	
row_14	CITED2	NA	3575	0.19615408778190613	-0.04799276	No	
row_15	BHLHE40	NA	3860	0.18231220543384552	-0.05883568	No	
row_16	SFMBT1	NA	3862	0.1822950690984726	-0.05144712	No	
row_17	ATRN	NA	4204	0.1670224666595459	-0.06658736	No	
row_18	LAMC1	NA	4241	0.16560283303260803	-0.062136106	No	
row_19	MMP16	NA	4281	0.16421419382095337	-0.057934906	No	
row_20	NEK7	NA	4295	0.16370031237602234	-0.05207967	No	
row_21	SCAF8	NA	4347	0.16193224489688873	-0.048744857	No	
row_22	ACVR2A	NA	4369	0.16098329424858093	-0.043516103	No	
row_23	NR3C1	NA	4463	0.15669314563274384	-0.043101326	No	
row_24	NOTCH2	NA	4473	0.15643316507339478	-0.037285503	No	
row_25	ITGB3	NA	4672	0.14856982231140137	-0.043967437	No	
row_26	PHF3	NA	4723	0.14611604809761047	-0.04121483	No	
row_27	IRS1	NA	4937	0.13682755827903748	-0.049343206	No	
