NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TCF7	NA	102	0.6039786338806152	0.07147855	Yes	
row_1	WNT6	NA	307	0.5010871291160583	0.123139225	Yes	
row_2	RBPJ	NA	441	0.4618983268737793	0.17428301	Yes	
row_3	DKK1	NA	624	0.43197542428970337	0.21842568	Yes	
row_4	PSEN2	NA	1090	0.3646620512008667	0.23576012	Yes	
row_5	MAML1	NA	1533	0.31970468163490295	0.24876024	Yes	
row_6	NCOR2	NA	1735	0.30427196621894836	0.2751931	Yes	
row_7	NCSTN	NA	2060	0.2811432182788849	0.29076573	Yes	
row_8	HDAC11	NA	2101	0.27764463424682617	0.32406485	Yes	
row_9	NUMB	NA	2177	0.2728942334651947	0.35451013	Yes	
row_10	HDAC2	NA	3650	0.19158485531806946	0.28503436	No	
row_11	SKP2	NA	3971	0.1768643707036972	0.28739482	No	
row_12	LEF1	NA	6280	0.0793575793504715	0.1499134	No	
row_13	AXIN1	NA	6724	0.0613488145172596	0.12948133	No	
row_14	KAT2A	NA	7741	0.020302198827266693	0.06707116	No	
row_15	CTNNB1	NA	7969	0.011009231209754944	0.053963207	No	
row_16	CCND2	NA	8755	-0.018744293600320816	0.00613771	No	
row_17	ADAM17	NA	8764	-0.01905919797718525	0.008087251	No	
row_18	PTCH1	NA	8997	-0.02809979021549225	-0.0031333962	No	
row_19	FZD8	NA	9669	-0.056779004633426666	-0.038749553	No	
row_20	NOTCH1	NA	9729	-0.059318482875823975	-0.034864705	No	
row_21	CSNK1E	NA	9760	-0.060837335884571075	-0.028927453	No	
row_22	NKD1	NA	9971	-0.0719553753733635	-0.033075713	No	
row_23	AXIN2	NA	10060	-0.07670020312070847	-0.028802153	No	
row_24	DLL1	NA	10167	-0.0817878469824791	-0.025023641	No	
row_25	HEY1	NA	11732	-0.16789411008358002	-0.103447944	No	
row_26	CUL1	NA	12426	-0.20300592482089996	-0.12158622	No	
row_27	JAG2	NA	12540	-0.2094692885875702	-0.101764955	No	
row_28	JAG1	NA	12953	-0.23358778655529022	-0.097967096	No	
row_29	MYC	NA	13932	-0.30283021926879883	-0.121454805	No	
row_30	FZD1	NA	15100	-0.42608770728111267	-0.14112064	No	
row_31	WNT5B	NA	15181	-0.4424489736557007	-0.08909642	No	
row_32	HEY2	NA	15183	-0.442607045173645	-0.031995125	No	
row_33	PPARD	NA	15328	-0.4816431999206543	0.020994741	No	
