NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHRS7	NA	203	0.6567371487617493	0.0032933832	Yes	
row_1	PREB	NA	235	0.6436591148376465	0.017356452	Yes	
row_2	MGST3	NA	290	0.6229667067527771	0.029419353	Yes	
row_3	SLC5A6	NA	299	0.6200969815254211	0.044378188	Yes	
row_4	SLC25A1	NA	382	0.5990344882011414	0.05403751	Yes	
row_5	DDT	NA	416	0.5922662615776062	0.066689014	Yes	
row_6	SOWAHC	NA	539	0.5714354515075684	0.0730791	Yes	
row_7	PEMT	NA	540	0.571390688419342	0.08733854	Yes	
row_8	ELOVL6	NA	605	0.5622777342796326	0.09724179	Yes	
row_9	FAH	NA	633	0.5574739575386047	0.1094121	Yes	
row_10	JAGN1	NA	657	0.553661584854126	0.12174531	Yes	
row_11	C3	NA	674	0.5513278841972351	0.13447188	Yes	
row_12	AK2	NA	712	0.5451793670654297	0.14569025	Yes	
row_13	PFKL	NA	716	0.5442787408828735	0.15907955	Yes	
row_14	ACLY	NA	893	0.5172823667526245	0.16063456	Yes	
row_15	LTC4S	NA	917	0.5140767693519592	0.17197992	Yes	
row_16	ME1	NA	1013	0.5027035474777222	0.17839658	Yes	
row_17	SLC19A1	NA	1043	0.49731117486953735	0.18893647	Yes	
row_18	QDPR	NA	1257	0.4677888751029968	0.1868694	Yes	
row_19	PPP1R15B	NA	1270	0.4663723409175873	0.19773388	Yes	
row_20	ATL2	NA	1279	0.46525120735168457	0.20882845	Yes	
row_21	ALDH2	NA	1372	0.45515069365501404	0.21425194	Yes	
row_22	SLC25A10	NA	1417	0.4489468038082123	0.22261716	Yes	
row_23	GPX4	NA	1425	0.4479559063911438	0.23334463	Yes	
row_24	RMDN3	NA	1543	0.435275137424469	0.2366593	Yes	
row_25	CAT	NA	1683	0.4183575212955475	0.23813254	Yes	
row_26	SOD1	NA	1891	0.39364880323410034	0.23460232	Yes	
row_27	YWHAG	NA	1902	0.3921276032924652	0.243743	Yes	
row_28	UBQLN1	NA	1920	0.389376699924469	0.25236344	Yes	
row_29	IDH1	NA	1952	0.38627204298973083	0.26000327	Yes	
row_30	DHRS7B	NA	2016	0.37936460971832275	0.2654063	Yes	
row_31	MRAP	NA	2084	0.37206897139549255	0.27036923	Yes	
row_32	ANGPTL4	NA	2168	0.3631764352321625	0.27407804	Yes	
row_33	ENPP2	NA	2459	0.33162131905555725	0.2636454	Yes	
row_34	UCK1	NA	2520	0.3262336850166321	0.26791605	Yes	
row_35	GPAM	NA	2588	0.3203648328781128	0.27158868	Yes	
row_36	G3BP2	NA	2643	0.31486818194389343	0.27596277	Yes	
row_37	PEX14	NA	2681	0.31049075722694397	0.28132433	Yes	
row_38	REEP6	NA	2940	0.2873134911060333	0.27185035	Yes	
row_39	LPCAT3	NA	2947	0.286784291267395	0.27862018	Yes	
row_40	NABP1	NA	2976	0.2833464443683624	0.28388494	Yes	
row_41	DRAM2	NA	3032	0.278617799282074	0.28728986	Yes	
row_42	TALDO1	NA	3079	0.2736970782279968	0.2911526	Yes	
row_43	RIOK3	NA	3409	0.24941356480121613	0.27615246	No	
row_44	GPX3	NA	3459	0.24407288432121277	0.27908236	No	
row_45	CIDEA	NA	3572	0.23455454409122467	0.2777105	No	
row_46	HIBCH	NA	3601	0.2321179360151291	0.28169683	No	
row_47	RAB34	NA	3727	0.22102689743041992	0.2791487	No	
row_48	SCARB1	NA	3753	0.21942637860774994	0.28301182	No	
row_49	GADD45A	NA	4511	0.1584320366382599	0.23813005	No	
row_50	ABCA1	NA	4575	0.155366450548172	0.23794307	No	
row_51	SCP2	NA	4601	0.15389637649059296	0.24017085	No	
row_52	MCCC1	NA	4679	0.1486741304397583	0.23891369	No	
row_53	DBT	NA	4761	0.14100487530231476	0.23720708	No	
row_54	SLC66A3	NA	4773	0.14018578827381134	0.2399959	No	
row_55	ACOX1	NA	4938	0.12985201179981232	0.23265646	No	
row_56	APLP2	NA	4944	0.129476398229599	0.23556508	No	
row_57	CHUK	NA	5067	0.12170496582984924	0.23073184	No	
row_58	PPM1B	NA	5114	0.11885150521993637	0.23073031	No	
row_59	PHYH	NA	5125	0.11775176972150803	0.23302376	No	
row_60	MIGA2	NA	5431	0.09698525816202164	0.21576795	No	
row_61	TKT	NA	5544	0.09011451154947281	0.21079148	No	
row_62	NMT1	NA	5839	0.07147160172462463	0.19360858	No	
row_63	UBC	NA	5996	0.061151064932346344	0.18507078	No	
row_64	TANK	NA	6041	0.05807289108633995	0.1836815	No	
row_65	SNCG	NA	6054	0.05739540606737137	0.1843397	No	
row_66	AIFM1	NA	6202	0.049201760441064835	0.17608431	No	
row_67	NKIRAS1	NA	6205	0.04909507930278778	0.17718048	No	
row_68	TOB1	NA	6394	0.03852096572518349	0.16601355	No	
row_69	PRDX3	NA	6522	0.03143605217337608	0.15860504	No	
row_70	ESYT1	NA	6730	0.01894461363554001	0.14572383	No	
row_71	GPHN	NA	7380	-0.007467666175216436	0.10404193	No	
row_72	FZD4	NA	7599	-0.018190104514360428	0.090432264	No	
row_73	ECHS1	NA	7618	-0.01872863620519638	0.089738436	No	
row_74	ANGPT1	NA	7822	-0.027253437787294388	0.07732263	No	
row_75	PIM3	NA	7846	-0.028434427455067635	0.07654846	No	
row_76	GPAT4	NA	7872	-0.02999715507030487	0.07568426	No	
row_77	STOM	NA	7881	-0.030511686578392982	0.075929604	No	
row_78	LIFR	NA	7985	-0.036150507628917694	0.07018703	No	
row_79	BCL2L13	NA	8148	-0.04426755756139755	0.06084082	No	
row_80	CMPK1	NA	8264	-0.05035760998725891	0.05467865	No	
row_81	AGPAT3	NA	8269	-0.05047531798481941	0.05568025	No	
row_82	REEP5	NA	8374	-0.05617261305451393	0.050372828	No	
row_83	DLAT	NA	8806	-0.07617942988872528	0.024469279	No	
row_84	BAZ2A	NA	8858	-0.078758604824543	0.023144642	No	
row_85	PHLDB1	NA	8988	-0.08481348305940628	0.016939174	No	
row_86	ARL4A	NA	9100	-0.09040766954421997	0.01203453	No	
row_87	CD36	NA	9169	-0.09318065643310547	0.009973101	No	
row_88	MRPL15	NA	9244	-0.0966620147228241	0.007611481	No	
row_89	CAVIN2	NA	9320	-0.10052912682294846	0.0052818544	No	
row_90	MYLK	NA	9342	-0.102412149310112	0.0064828666	No	
row_91	ITGA7	NA	9379	-0.10398469120264053	0.006755443	No	
row_92	PDCD4	NA	9403	-0.10507401823997498	0.007893859	No	
row_93	DHCR7	NA	9521	-0.1105865016579628	0.0031057189	No	
row_94	PTCD3	NA	9596	-0.11428792029619217	0.0011839643	No	
row_95	NDUFA5	NA	9624	-0.11572231352329254	0.0023300685	No	
row_96	PPARG	NA	9707	-0.11981432139873505	3.0133167E-5	No	
row_97	SSPN	NA	9895	-0.1270473152399063	-0.008863054	No	
row_98	DLD	NA	9981	-0.1321023404598236	-0.0110498695	No	
row_99	ATP1B3	NA	10092	-0.1373278945684433	-0.014719077	No	
row_100	SDHC	NA	10241	-0.14330650866031647	-0.02069054	No	
row_101	OMD	NA	10262	-0.1441127508878708	-0.018384349	No	
row_102	PLIN2	NA	10333	-0.14800497889518738	-0.019206624	No	
row_103	SQOR	NA	10377	-0.15076249837875366	-0.01821826	No	
row_104	SPARCL1	NA	10464	-0.15451480448246002	-0.01991027	No	
row_105	ADIPOR2	NA	10582	-0.15982560813426971	-0.023469616	No	
row_106	ADCY6	NA	10651	-0.16368825733661652	-0.02377148	No	
row_107	DNAJC15	NA	10721	-0.16780796647071838	-0.024035048	No	
row_108	ITIH5	NA	10949	-0.17868672311306	-0.034220017	No	
row_109	SAMM50	NA	11260	-0.19483208656311035	-0.04935656	No	
row_110	COQ9	NA	11290	-0.1964942067861557	-0.046323765	No	
row_111	NDUFAB1	NA	11319	-0.1985074132680893	-0.04317622	No	
row_112	RNF11	NA	11410	-0.20342770218849182	-0.04390562	No	
row_113	SORBS1	NA	11435	-0.20508652925491333	-0.040335838	No	
row_114	IMMT	NA	11498	-0.20816704630851746	-0.039140634	No	
row_115	PGM1	NA	11590	-0.21259182691574097	-0.03970585	No	
row_116	GHITM	NA	11654	-0.21531431376934052	-0.038396794	No	
row_117	CAVIN1	NA	11659	-0.21572910249233246	-0.03327118	No	
row_118	ATP5PO	NA	11663	-0.215889111161232	-0.028077058	No	
row_119	BCL6	NA	11679	-0.2167520672082901	-0.023635546	No	
row_120	MAP4K3	NA	11738	-0.21981501579284668	-0.02189161	No	
row_121	SDHB	NA	11839	-0.225017249584198	-0.022727352	No	
row_122	ACAA2	NA	11843	-0.22506840527057648	-0.017304156	No	
row_123	DECR1	NA	11855	-0.22566375136375427	-0.012382199	No	
