NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MET	NA	190	0.664504885673523	0.004231243	Yes	
row_1	MIF	NA	241	0.6406099796295166	0.016905133	Yes	
row_2	PPP2CB	NA	248	0.6379246115684509	0.032352176	Yes	
row_3	MERTK	NA	312	0.6173257231712341	0.04360908	Yes	
row_4	PYGL	NA	315	0.6162850260734558	0.058777157	Yes	
row_5	GPC3	NA	336	0.6092696189880371	0.072609365	Yes	
row_6	ALDOB	NA	347	0.6060035824775696	0.08700591	Yes	
row_7	POLR3K	NA	651	0.5548033714294434	0.08122105	Yes	
row_8	PAM	NA	805	0.5295006036758423	0.08448929	Yes	
row_9	EXT1	NA	841	0.5247440338134766	0.09525532	Yes	
row_10	EGFR	NA	913	0.5148886442184448	0.10345325	Yes	
row_11	GYS2	NA	949	0.5101518630981445	0.11385708	Yes	
row_12	SLC37A4	NA	1000	0.5043515563011169	0.12314882	Yes	
row_13	B4GALT7	NA	1007	0.5034961104393005	0.13525914	Yes	
row_14	ME1	NA	1013	0.5027035474777222	0.14741433	Yes	
row_15	CHPF2	NA	1109	0.48896223306655884	0.15341973	Yes	
row_16	ALDH9A1	NA	1126	0.4855435788631439	0.16443902	Yes	
row_17	GUSB	NA	1375	0.4548065960407257	0.15972185	Yes	
row_18	SDC1	NA	1403	0.4508225619792938	0.16916937	Yes	
row_19	SLC25A10	NA	1417	0.4489468038082123	0.17947389	Yes	
row_20	NANP	NA	1427	0.44739553332328796	0.18999808	Yes	
row_21	B4GALT2	NA	1480	0.44252294301986694	0.19762605	Yes	
row_22	EXT2	NA	1492	0.441087931394577	0.2078646	Yes	
row_23	SDC2	NA	1504	0.44026097655296326	0.21808262	Yes	
row_24	CHST4	NA	1616	0.4256964921951294	0.221485	Yes	
row_25	ENO1	NA	1642	0.42331182956695557	0.23037875	Yes	
row_26	FKBP4	NA	1681	0.4186449348926544	0.23831761	Yes	
row_27	ADORA2B	NA	1782	0.4062281847000122	0.24194671	Yes	
row_28	CITED2	NA	1850	0.39798226952552795	0.247501	Yes	
row_29	SOD1	NA	1891	0.39364880323410034	0.25469035	Yes	
row_30	IDH1	NA	1952	0.38627204298973083	0.26040575	Yes	
row_31	ANKZF1	NA	1979	0.3832722306251526	0.2682411	Yes	
row_32	CTH	NA	2124	0.3681088089942932	0.26808423	Yes	
row_33	ALDH7A1	NA	2159	0.36455416679382324	0.27493864	Yes	
row_34	ANGPTL4	NA	2168	0.3631764352321625	0.2834369	Yes	
row_35	LHPP	NA	2180	0.3611380457878113	0.29169098	Yes	
