NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VCAM1	NA	28	0.9137205481529236	0.030006729	Yes	
row_1	CSF2RB	NA	140	0.6989918351173401	0.047196504	Yes	
row_2	SERPING1	NA	340	0.6089067459106445	0.05558667	Yes	
row_3	GCH1	NA	399	0.595294177532196	0.07257748	Yes	
row_4	C1R	NA	427	0.5897601842880249	0.09137075	Yes	
row_5	IL6	NA	747	0.5399965643882751	0.089638986	Yes	
row_6	CFH	NA	1088	0.49073174595832825	0.08484067	Yes	
row_7	XAF1	NA	1193	0.4760027527809143	0.09471818	Yes	
row_8	UBE2L6	NA	1201	0.47517114877700806	0.1108095	Yes	
row_9	C1S	NA	1256	0.4678226709365845	0.12362016	Yes	
row_10	TDRD7	NA	1271	0.46632495522499084	0.13895302	Yes	
row_11	SAMHD1	NA	1330	0.4597086012363434	0.15122376	Yes	
row_12	IFI35	NA	1416	0.44921162724494934	0.16139142	Yes	
row_13	VAMP5	NA	1562	0.4331652522087097	0.16713896	Yes	
row_14	PSMA2	NA	1621	0.4253130555152893	0.17821233	Yes	
row_15	EIF2AK2	NA	1777	0.40696924924850464	0.18240435	Yes	
row_16	SOCS3	NA	1814	0.40212953090667725	0.19408652	Yes	
row_17	PELI1	NA	1828	0.3997848927974701	0.20716731	Yes	
row_18	IL4R	NA	1887	0.39400872588157654	0.21715091	Yes	
row_19	PSMA3	NA	1905	0.3915327489376068	0.22968699	Yes	
row_20	PARP12	NA	1929	0.3885875940322876	0.2417344	Yes	
row_21	RIPK2	NA	2122	0.36816516518592834	0.2421943	Yes	
row_22	IFNAR2	NA	2392	0.33728525042533875	0.23662359	Yes	
row_23	ADAR	NA	2474	0.3302515745162964	0.2429074	Yes	
row_24	STAT3	NA	2671	0.3110903799533844	0.24112295	Yes	
row_25	CD40	NA	2759	0.3036271333694458	0.24609375	Yes	
row_26	BTG1	NA	2769	0.30266162753105164	0.25605088	Yes	
row_27	GZMA	NA	3203	0.26414400339126587	0.2373792	Yes	
row_28	ST8SIA4	NA	3561	0.23549050092697144	0.22260125	Yes	
row_29	MTHFD2	NA	3709	0.22225430607795715	0.22087777	Yes	
row_30	CDKN1A	NA	3785	0.21696752309799194	0.22360404	Yes	
row_31	PTGS2	NA	3825	0.21404214203357697	0.22854538	Yes	
row_32	STAT2	NA	3903	0.20841413736343384	0.23084517	Yes	
row_33	IRF7	NA	3947	0.20485830307006836	0.23520936	Yes	
row_34	LYSMD2	NA	4022	0.198862224817276	0.23736972	Yes	
row_35	IFI30	NA	4170	0.18602800369262695	0.2343851	Yes	
row_36	PTPN6	NA	4201	0.1841748207807541	0.23886591	Yes	
row_37	LATS2	NA	4341	0.17202824354171753	0.2359088	Yes	
row_38	NMI	NA	4369	0.17066477239131927	0.24011238	Yes	
row_39	CD86	NA	4523	0.15806303918361664	0.2357681	Yes	
row_40	IL10RA	NA	4549	0.1568455845117569	0.2396193	Yes	
row_41	DDX58	NA	4561	0.15598177909851074	0.24434145	Yes	
row_42	EPSTI1	NA	4567	0.1558140367269516	0.24944392	Yes	
row_43	TRIM14	NA	4582	0.15518531203269958	0.25394526	Yes	
row_44	NOD1	NA	4586	0.15494923293590546	0.25914633	Yes	
row_45	CASP7	NA	4672	0.14893658459186554	0.2588607	Yes	
row_46	VAMP8	NA	4697	0.14703378081321716	0.2624347	Yes	
row_47	IRF8	NA	4817	0.13691647350788116	0.25954244	Yes	
row_48	IL7	NA	4844	0.13546721637248993	0.26258507	Yes	
row_49	NAMPT	NA	4986	0.12664645910263062	0.2579194	No	
row_50	DHX58	NA	5335	0.1031169593334198	0.23911244	No	
row_51	PSMB2	NA	5405	0.09907200932502747	0.23812065	No	
row_52	RNF213	NA	5495	0.09322703629732132	0.2356382	No	
row_53	OGFR	NA	5989	0.06154804676771164	0.20605217	No	
row_54	IRF1	NA	6168	0.05093056336045265	0.1963694	No	
row_55	TNFSF10	NA	6206	0.04888594150543213	0.19568998	No	
row_56	STAT1	NA	6306	0.04284290596842766	0.19080995	No	
row_57	MYD88	NA	6321	0.04224516078829765	0.19137959	No	
row_58	UPP1	NA	6357	0.040538251399993896	0.19053829	No	
row_59	PML	NA	6542	0.029800357297062874	0.17973377	No	
row_60	TNFAIP6	NA	6825	0.014149721711874008	0.1620773	No	
row_61	SLC25A28	NA	6889	0.010415418073534966	0.1583853	No	
row_62	NUP93	NA	6913	0.009283076971769333	0.15722823	No	
row_63	CD74	NA	6983	0.005898800678551197	0.15299286	No	
row_64	CMPK2	NA	6987	0.005651072133332491	0.15299651	No	
row_65	TOR1B	NA	7085	0.0010083860252052546	0.14678885	No	
row_66	EIF4E3	NA	7097	7.187463343143463E-4	0.14610593	No	
row_67	SOCS1	NA	7320	-0.004506744910031557	0.13197526	No	
row_68	CASP3	NA	7484	-0.012836211360991001	0.12193172	No	
row_69	HELZ2	NA	7524	-0.014292702078819275	0.1199193	No	
row_70	IFIH1	NA	7719	-0.022478096187114716	0.1082163	No	
row_71	ARID5B	NA	7741	-0.023641124367713928	0.10768778	No	
row_72	STAT4	NA	8145	-0.04409586265683174	0.08328644	No	
row_73	TNFAIP2	NA	8603	-0.06751304119825363	0.05622497	No	
row_74	IL15	NA	8664	-0.06972295045852661	0.054790687	No	
row_75	GPR18	NA	8687	-0.07088427990674973	0.05584245	No	
row_76	CMKLR1	NA	8774	-0.07495664805173874	0.052917052	No	
row_77	ARL4A	NA	9100	-0.09040766954421997	0.03514789	No	
row_78	ST3GAL5	NA	9271	-0.09844793379306793	0.027634177	No	
row_79	NFKBIA	NA	9413	-0.1057220920920372	0.022240086	No	
row_80	RIPK1	NA	9558	-0.11261342465877533	0.01689282	No	
row_81	IL2RB	NA	9601	-0.11452264338731766	0.018176574	No	
row_82	PDE4B	NA	9774	-0.12245891988277435	0.011370021	No	
row_83	PIM1	NA	9816	-0.12387895584106445	0.013043847	No	
row_84	SSPN	NA	9895	-0.1270473152399063	0.012446713	No	
row_85	TRAFD1	NA	9903	-0.1274905949831009	0.016434452	No	
row_86	PTPN2	NA	9907	-0.12761934101581573	0.020684106	No	
row_87	USP18	NA	9925	-0.1288650631904602	0.024076112	No	
row_88	BPGM	NA	10161	-0.14039428532123566	0.013839356	No	
