NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GP1BA	NA	259	0.632765531539917	0.0053864783	No	
row_1	SLC38A3	NA	653	0.5541849136352539	-5.941525E-4	No	
row_2	SIDT1	NA	796	0.5305754542350769	0.008762245	No	
row_3	C5	NA	835	0.525896430015564	0.024651362	No	
row_4	FGFR3	NA	895	0.5169321894645691	0.038875885	No	
row_5	CELSR2	NA	993	0.5048776268959045	0.050233558	No	
row_6	SERPINA10	NA	1106	0.48910507559776306	0.060075566	No	
row_7	TSHB	NA	1124	0.4858042597770691	0.07591889	No	
row_8	YPEL1	NA	1429	0.44720521569252014	0.071938455	No	
row_9	GAMT	NA	1637	0.42401444911956787	0.07339464	No	
row_10	THRB	NA	2316	0.3458574116230011	0.041801337	No	
row_11	PTGFR	NA	2319	0.3454761207103729	0.053717792	No	
row_12	P2RY4	NA	2389	0.3374939262866974	0.061042268	No	
row_13	GPR19	NA	2413	0.335257887840271	0.07125041	No	
row_14	BMPR1B	NA	2492	0.3281332552433014	0.07766907	No	
row_15	HNF1A	NA	2591	0.3201814889907837	0.082522824	No	
row_16	SLC30A3	NA	2650	0.3135948181152344	0.08972226	No	
row_17	ADRA2C	NA	2780	0.30185529589653015	0.091941185	No	
row_18	EPHA5	NA	3135	0.26896676421165466	0.078527205	No	
row_19	TLX1	NA	3217	0.26414400339126587	0.08252169	No	
row_20	DCC	NA	3320	0.25654125213623047	0.08489906	No	
row_21	DTNB	NA	3493	0.24156370759010315	0.082247406	No	
row_22	RGS11	NA	3504	0.24066562950611115	0.08999452	No	
row_23	GTF3C5	NA	3543	0.23731936514377594	0.09582223	No	
row_24	SELENOP	NA	3726	0.2210661917924881	0.09181208	No	
row_25	NR4A2	NA	3733	0.22068175673484802	0.099119976	No	
row_26	ZC2HC1C	NA	4156	0.1878010481595993	0.07849806	No	
row_27	CLSTN3	NA	4178	0.18524695932865143	0.083604746	No	
row_28	GPRC5C	NA	4268	0.17791712284088135	0.08407782	No	
row_29	SLC29A3	NA	4429	0.16606742143630981	0.079566546	No	
row_30	IDUA	NA	4554	0.15646812319755554	0.07703838	No	
row_31	NTF3	NA	4849	0.13517333567142487	0.06282261	No	
row_32	PDCD1	NA	5363	0.10125406086444855	0.0333243	No	
row_33	EFHD1	NA	5391	0.099777452647686	0.035064753	No	
row_34	MYO15A	NA	5575	0.08800039440393448	0.02635081	No	
row_35	THNSL2	NA	5626	0.08497742563486099	0.026094435	No	
row_36	IGFBP2	NA	5646	0.08352340012788773	0.027783245	No	
row_37	ABCG4	NA	5882	0.06836096942424774	0.015036633	No	
row_38	HTR1D	NA	5889	0.06796883046627045	0.017020106	No	
row_39	SMPX	NA	5911	0.06680300086736679	0.017997183	No	
row_40	ABCB11	NA	6055	0.057383328676223755	0.010791087	No	
row_41	MTHFR	NA	6061	0.05702517554163933	0.012457386	No	
row_42	SNCB	NA	6204	0.0491752065718174	0.005029491	No	
row_43	CD80	NA	6617	0.025841163471341133	-0.020595424	No	
row_44	ARHGDIG	NA	6664	0.02299485169351101	-0.022755323	No	
row_45	CHST2	NA	6712	0.020137974992394447	-0.025079213	No	
row_46	PNMT	NA	6739	0.018488021567463875	-0.02610858	No	
row_47	PAX3	NA	6902	0.009752736426889896	-0.036198627	No	
row_48	TG	NA	6946	0.007629499305039644	-0.0387011	No	
row_49	SHOX2	NA	7064	0.0022683260031044483	-0.046154846	No	
row_50	IFNG	NA	7130	0.0	-0.050339755	No	
row_51	HTR1B	NA	7305	-0.0037971397396177053	-0.061410043	No	
row_52	ENTPD7	NA	7435	-0.010200440883636475	-0.06935983	No	
row_53	CDKAL1	NA	7454	-0.011041242629289627	-0.070133775	No	
row_54	FGGY	NA	7539	-0.015519454143941402	-0.07500087	No	
row_55	SNN	NA	7575	-0.017245488241314888	-0.076653	No	
row_56	GRID2	NA	7639	-0.0195098165422678	-0.08002893	No	
row_57	PDE6B	NA	7707	-0.02185800112783909	-0.08358051	No	
row_58	DLK2	NA	7724	-0.022671543061733246	-0.08382019	No	
row_59	VPS50	NA	7827	-0.027529191225767136	-0.089427456	No	
row_60	MFSD6	NA	7845	-0.02840396575629711	-0.089531645	No	
row_61	CALCB	NA	8085	-0.04120736941695213	-0.103482515	No	
row_62	CD40LG	NA	8326	-0.05360409617424011	-0.11706555	No	
row_63	ITGB1BP2	NA	8539	-0.0641338899731636	-0.12847872	No	
row_64	CLPS	NA	8579	-0.06652970612049103	-0.12867008	No	
row_65	NR6A1	NA	8584	-0.06677403301000595	-0.12659949	No	
row_66	TENT5C	NA	8629	-0.06861000508069992	-0.12704022	No	
row_67	SLC16A7	NA	8657	-0.06957491487264633	-0.1263528	No	
row_68	SOX10	NA	8953	-0.08334717899560928	-0.1424399	No	
row_69	PRKN	NA	8972	-0.08420243114233017	-0.14066304	No	
row_70	MAST3	NA	9091	-0.08977054059505463	-0.14513035	No	
row_71	NOS1	NA	9189	-0.09393710643053055	-0.14810036	No	
row_72	KCNMB1	NA	9735	-0.12091219425201416	-0.17897354	No	
row_73	RYR2	NA	9782	-0.1226654127240181	-0.17765836	No	
row_74	SLC6A14	NA	9835	-0.12474608421325684	-0.17665695	No	
row_75	SKIL	NA	10126	-0.1386900246143341	-0.19049257	No	
row_76	CLDN16	NA	10580	-0.15973488986492157	-0.21408892	No	
row_77	RSAD2	NA	10796	-0.1708069145679474	-0.22197603	No	
row_78	KCNE2	NA	10854	-0.17404387891292572	-0.21957773	No	
row_79	TFAP2B	NA	10876	-0.1749749779701233	-0.21482918	No	
row_80	KCNQ2	NA	10935	-0.1779516637325287	-0.21235901	No	
row_81	MYOT	NA	10984	-0.18039731681346893	-0.20915976	No	
row_82	PTPRJ	NA	11066	-0.18485510349273682	-0.20792972	No	
row_83	FGF22	NA	11115	-0.18701568245887756	-0.2044997	No	
row_84	EGF	NA	11159	-0.18969731032848358	-0.20065428	No	
row_85	LFNG	NA	11565	-0.21135668456554413	-0.21936041	No	
row_86	CPB1	NA	11599	-0.21305347979068756	-0.21405682	No	
row_87	CPA2	NA	11617	-0.2137513905763626	-0.20769878	No	
row_88	CCNA1	NA	11806	-0.22295814752578735	-0.21202926	No	
row_89	ZBTB16	NA	11923	-0.2295757681131363	-0.21149342	No	
row_90	HSD11B2	NA	12368	-0.2552119493484497	-0.23118146	Yes	
row_91	NGB	NA	12381	-0.256058007478714	-0.22302644	Yes	
row_92	CPEB3	NA	12388	-0.25623026490211487	-0.21447913	Yes	
row_93	SYNPO	NA	12457	-0.26058584451675415	-0.20977172	Yes	
row_94	CAPN9	NA	12730	-0.27474620938301086	-0.21770477	Yes	
row_95	BARD1	NA	12832	-0.28249800205230713	-0.21435802	Yes	
row_96	GPR3	NA	12858	-0.28377071022987366	-0.20607378	Yes	
row_97	ACTC1	NA	12977	-0.29052701592445374	-0.2035416	Yes	
row_98	KLHDC8A	NA	12983	-0.29131659865379333	-0.1937066	Yes	
row_99	CAMK1D	NA	13030	-0.2943881154060364	-0.18640421	Yes	
row_100	PLAG1	NA	13058	-0.295894593000412	-0.17782603	Yes	
row_101	BTG2	NA	13160	-0.302577406167984	-0.1737792	Yes	
row_102	NRIP2	NA	13261	-0.3087408244609833	-0.1694531	Yes	
row_103	ASB7	NA	13346	-0.31503745913505554	-0.16387732	Yes	
row_104	CNTFR	NA	13367	-0.31623461842536926	-0.1541393	Yes	
row_105	PKP1	NA	13538	-0.32813188433647156	-0.15364394	Yes	
row_106	IRS4	NA	13601	-0.3331228792667389	-0.14602117	Yes	
row_107	TGFB2	NA	13778	-0.3482150435447693	-0.1452119	Yes	
row_108	COQ8A	NA	13817	-0.35140132904052734	-0.13540666	Yes	
row_109	TFCP2L1	NA	13844	-0.3538121283054352	-0.124744765	Yes	
row_110	INSL5	NA	14215	-0.38777875900268555	-0.13504642	Yes	
row_111	EDN1	NA	14219	-0.3880583941936493	-0.121709704	Yes	
row_112	SLC12A3	NA	14359	-0.3997230529785156	-0.1167224	Yes	
row_113	CHRNG	NA	14400	-0.40334847569465637	-0.10523475	Yes	
row_114	WNT16	NA	14446	-0.40624675154685974	-0.093967974	Yes	
row_115	CACNG1	NA	14478	-0.4071699380874634	-0.08176764	Yes	
row_116	ARPP21	NA	14530	-0.408382773399353	-0.07081269	Yes	
row_117	ATP6V1B1	NA	14595	-0.4145008623600006	-0.060481407	Yes	
row_118	RIBC2	NA	14684	-0.42486900091171265	-0.05133383	Yes	
row_119	FGF16	NA	14726	-0.43059486150741577	-0.03896061	Yes	
row_120	SSTR4	NA	14916	-0.46051210165023804	-0.03507302	Yes	
row_121	EDAR	NA	15151	-0.5059090852737427	-0.032499883	Yes	
row_122	SGK1	NA	15294	-0.5512048006057739	-0.02242423	Yes	
row_123	TENM2	NA	15340	-0.568398654460907	-0.005503933	Yes	
row_124	GDNF	NA	15568	-0.7395426630973816	0.005665653	Yes	
