NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ROCK1	NA	751	0.5387586951255798	-0.035969716	No	
row_1	CDC42EP1	NA	877	0.5192131400108337	-0.03196275	No	
row_2	FSCN1	NA	994	0.5047581195831299	-0.02771082	No	
row_3	SHROOM1	NA	1255	0.46783962845802307	-0.033618383	No	
row_4	ATG4B	NA	1458	0.4441940486431122	-0.036330055	No	
row_5	YWHAE	NA	1833	0.3990720212459564	-0.05120052	No	
row_6	BCAR1	NA	2186	0.36087214946746826	-0.06553885	No	
row_7	MAPRE1	NA	2237	0.3561582565307617	-0.060481604	No	
row_8	LLGL1	NA	2883	0.29270613193511963	-0.09532991	No	
row_9	CEP57	NA	3714	0.22181250154972076	-0.14377627	No	
row_10	MAP1S	NA	3885	0.20940706133842468	-0.14988385	No	
row_11	ARHGDIA	NA	4059	0.19653886556625366	-0.1564846	No	
row_12	SASS6	NA	4240	0.1809322088956833	-0.16390058	No	
row_13	ARL8A	NA	4256	0.17910873889923096	-0.16070212	No	
row_14	FGD4	NA	4660	0.14990243315696716	-0.18324295	No	
row_15	ABL1	NA	4661	0.14978553354740143	-0.17975795	No	
row_16	ARHGAP10	NA	4677	0.1486908197402954	-0.17726722	No	
row_17	MARCKS	NA	4731	0.14437377452850342	-0.17733124	No	
row_18	KATNB1	NA	4874	0.13351555168628693	-0.18339613	No	
row_19	BUB1	NA	4955	0.12890204787254333	-0.18556397	No	
row_20	KNTC1	NA	5013	0.12479779124259949	-0.1863418	No	
row_21	PAFAH1B1	NA	5324	0.1036062091588974	-0.20395319	No	
row_22	ARHGAP29	NA	5383	0.09998662024736404	-0.20537288	No	
row_23	SUN2	NA	5403	0.09910834580659866	-0.20429413	No	
row_24	RAB3GAP1	NA	5434	0.09687362611293793	-0.20397781	No	
row_25	FLNB	NA	5563	0.08870949596166611	-0.21018098	No	
row_26	ESPL1	NA	5658	0.08267224580049515	-0.21432865	No	
row_27	GEMIN4	NA	5715	0.07856247574090958	-0.21611764	No	
row_28	RANBP9	NA	5865	0.0695451870560646	-0.22412302	No	
row_29	OPHN1	NA	5897	0.06738011538982391	-0.2245575	No	
row_30	ALS2	NA	5927	0.06554842740297318	-0.22490543	No	
row_31	DOCK2	NA	6281	0.04490744695067406	-0.24665979	No	
row_32	CDC42EP4	NA	6328	0.04164838045835495	-0.24866177	No	
row_33	CNTRL	NA	6393	0.03861103951931	-0.25189698	No	
row_34	CEP131	NA	6457	0.03518720343708992	-0.25514728	No	
row_35	CDC42EP2	NA	6748	0.018114594742655754	-0.27345604	No	
row_36	ARHGAP27	NA	6838	0.013225981965661049	-0.27889654	No	
row_37	RHOF	NA	6980	0.006015510763972998	-0.28786334	No	
row_38	SEPTIN9	NA	6995	0.005245384760200977	-0.28864554	No	
row_39	CDC42	NA	7311	-0.004137810319662094	-0.30889416	No	
row_40	NET1	NA	7337	-0.005395920947194099	-0.31038326	No	
row_41	WASF2	NA	7412	-0.00931805744767189	-0.3149459	No	
row_42	CDC42BPA	NA	7743	-0.023717114701867104	-0.33570778	No	
row_43	NCK2	NA	7788	-0.025358639657497406	-0.33795962	No	
row_44	ARF6	NA	8187	-0.045808326452970505	-0.3625994	No	
row_45	MYH10	NA	8271	-0.05062355101108551	-0.3667823	No	
row_46	SORBS2	NA	8304	-0.05236279219388962	-0.36763078	No	
row_47	NOTCH2	NA	8341	-0.05407760292291641	-0.3686977	No	
row_48	ARHGEF11	NA	8429	-0.05879666656255722	-0.37294877	No	
row_49	PPP4R2	NA	8499	-0.062408868223428726	-0.37595323	No	
row_50	BRCA2	NA	8544	-0.06455108523368835	-0.37729317	No	
row_51	VCL	NA	8549	-0.06480297446250916	-0.37604377	No	
row_52	RALBP1	NA	8595	-0.06728069484233856	-0.37738478	No	
row_53	PALLD	NA	8701	-0.07162784039974213	-0.38249987	No	
row_54	RFC1	NA	8708	-0.07205266505479813	-0.38121098	No	
row_55	CLASP1	NA	8727	-0.0728108137845993	-0.3806795	No	
row_56	DYNLL2	NA	8776	-0.07512263208627701	-0.3820318	No	
row_57	ARAP3	NA	8785	-0.07562631368637085	-0.38078892	No	
row_58	TBCD	NA	8899	-0.08059234917163849	-0.38621214	No	
row_59	FGD6	NA	8923	-0.08175314217805862	-0.38579553	No	
row_60	TUBGCP2	NA	9067	-0.08830526471138	-0.3929769	No	
row_61	SOS1	NA	9206	-0.09474559873342514	-0.3996855	No	
row_62	KIF3B	NA	9219	-0.09518816322088242	-0.3982458	No	
row_63	ARHGEF3	NA	9239	-0.09642457216978073	-0.3972295	No	
row_64	MID1	NA	9252	-0.09735588729381561	-0.3957394	No	
row_65	ABR	NA	9294	-0.09935867786407471	-0.39607573	No	
row_66	MYH9	NA	9573	-0.11310651898384094	-0.4113993	No	
row_67	STAU1	NA	9611	-0.11478478461503983	-0.41111836	No	
row_68	CLIP2	NA	9632	-0.11612945795059204	-0.40970817	No	
row_69	AKAP13	NA	9654	-0.11709405481815338	-0.4083401	No	
row_70	STK38L	NA	9666	-0.11757318675518036	-0.40631503	No	
row_71	RASA1	NA	9698	-0.11938107013702393	-0.40553963	No	
row_72	KIF20B	NA	9729	-0.12069237977266312	-0.40466914	No	
row_73	CSNK1D	NA	9756	-0.12162403762340546	-0.40351862	No	
row_74	SMC3	NA	9955	-0.13085967302322388	-0.41326216	No	
row_75	CLIP1	NA	10040	-0.13508948683738708	-0.4155444	No	
row_76	GSN	NA	10064	-0.13618482649326324	-0.41386133	No	
row_77	WASF1	NA	10090	-0.1372404247522354	-0.41228288	No	
row_78	MYO9B	NA	10136	-0.13909059762954712	-0.41195315	No	
row_79	MYO1E	NA	10195	-0.1413404792547226	-0.41241068	No	
row_80	EZR	NA	10223	-0.14244581758975983	-0.41084027	No	
row_81	KIF5B	NA	10248	-0.14368866384029388	-0.40904722	No	
row_82	ARFGEF1	NA	10502	-0.15633375942707062	-0.42175037	No	
row_83	RASAL2	NA	10618	-0.1619422435760498	-0.42541	No	
row_84	NEDD9	NA	10665	-0.1645512729883194	-0.42455247	No	
row_85	CTTN	NA	10689	-0.16580846905708313	-0.42218015	No	
row_86	KATNA1	NA	10816	-0.17159491777420044	-0.42632568	No	
row_87	ABI1	NA	10868	-0.17460615932941437	-0.42555714	No	
row_88	PDLIM5	NA	11069	-0.18491704761981964	-0.43417212	No	
row_89	FARP1	NA	11122	-0.18783694505691528	-0.4331603	No	
row_90	SPTAN1	NA	11169	-0.19011139869689941	-0.43170807	No	
row_91	ALMS1	NA	11343	-0.20004743337631226	-0.43822718	No	
row_92	KIF3C	NA	11459	-0.20635569095611572	-0.44085348	No	
row_93	PCM1	NA	11558	-0.21097224950790405	-0.4422744	No	
row_94	KIFAP3	NA	11579	-0.21209098398685455	-0.43863147	No	
row_95	CCNB2	NA	11606	-0.21331682801246643	-0.4353476	No	
row_96	ARHGEF12	NA	11632	-0.21445345878601074	-0.43197265	No	
row_97	RABGAP1	NA	11786	-0.22211292386054993	-0.43668664	No	
row_98	DYNC1H1	NA	12084	-0.2378719002008438	-0.4503345	Yes	
row_99	AURKA	NA	12171	-0.24233673512935638	-0.45025063	Yes	
row_100	PREX1	NA	12213	-0.24507714807987213	-0.44719657	Yes	
row_101	KLC1	NA	12234	-0.24651500582695007	-0.44275272	Yes	
row_102	RAPGEF5	NA	12416	-0.2578833997249603	-0.4484429	Yes	
row_103	BCL2L11	NA	12420	-0.25812339782714844	-0.442631	Yes	
row_104	EPB41	NA	12445	-0.25958549976348877	-0.4381414	Yes	
row_105	NIN	NA	12450	-0.26004159450531006	-0.43234947	Yes	
row_106	SYNPO	NA	12457	-0.26058584451675415	-0.42667404	Yes	
row_107	BIRC5	NA	12555	-0.2654191553592682	-0.42676356	Yes	
row_108	CAPZB	NA	12563	-0.26572149991989136	-0.42103323	Yes	
row_109	TUBGCP6	NA	12768	-0.27789393067359924	-0.42774332	Yes	
row_110	NEK2	NA	12795	-0.28084248304367065	-0.4228883	Yes	
row_111	TUBGCP5	NA	12797	-0.2809339463710785	-0.41641653	Yes	
row_112	PLK1	NA	12806	-0.2816108763217926	-0.41038108	Yes	
row_113	KIF11	NA	12824	-0.2823057770729065	-0.40491074	Yes	
row_114	PKD2	NA	12897	-0.2856878936290741	-0.40291402	Yes	
row_115	BCR	NA	12925	-0.2876412868499756	-0.39796543	Yes	
row_116	EPB41L2	NA	12976	-0.29026535153388977	-0.39444128	Yes	
row_117	KIF2C	NA	12986	-0.2916713356971741	-0.38823637	Yes	
row_118	RACGAP1	NA	13074	-0.29734960198402405	-0.3869371	Yes	
row_119	PXN	NA	13093	-0.2984597682952881	-0.38115552	Yes	
row_120	KIF23	NA	13150	-0.30197665095329285	-0.3777464	Yes	
row_121	PRC1	NA	13259	-0.3086273670196533	-0.3775411	Yes	
row_122	HOOK3	NA	13315	-0.31265807151794434	-0.37381887	Yes	
row_123	ARHGEF7	NA	13364	-0.31605541706085205	-0.36956552	Yes	
row_124	PCGF5	NA	13410	-0.3193485140800476	-0.36504176	Yes	
row_125	MID1IP1	NA	13413	-0.3193950951099396	-0.3577397	Yes	
row_126	TRIO	NA	13431	-0.32096901535987854	-0.3513698	Yes	
row_127	KIF4A	NA	13580	-0.3312380611896515	-0.3532219	Yes	
row_128	LRPPRC	NA	13596	-0.33234667778015137	-0.3464581	Yes	
row_129	TIAM1	NA	13624	-0.3346112072467804	-0.34041667	Yes	
row_130	PIF1	NA	13753	-0.34647801518440247	-0.34062243	Yes	
row_131	FBXO5	NA	13781	-0.3483150005340576	-0.33426216	Yes	
row_132	CDK1	NA	13810	-0.3505823314189911	-0.32791373	Yes	
row_133	ANLN	NA	13821	-0.3518572747707367	-0.3203731	Yes	
row_134	TSC1	NA	13839	-0.3535462021827698	-0.31324524	Yes	
row_135	NUSAP1	NA	13870	-0.3565155267715454	-0.30688792	Yes	
row_136	CCDC88A	NA	13884	-0.35745662450790405	-0.29941073	Yes	
row_137	KIF15	NA	13921	-0.36109209060668945	-0.29333448	Yes	
row_138	KIF1B	NA	13935	-0.3623254895210266	-0.285744	Yes	
