NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DTX2	NA	1225	0.4730049967765808	0.01732995	No	
row_1	APH1A	NA	2450	0.33213943243026733	0.006222026	No	
row_2	PRKCA	NA	3382	0.25170204043388367	-0.0024150978	No	
row_3	FZD5	NA	3743	0.2201019823551178	0.019086331	No	
row_4	RBX1	NA	3928	0.20609933137893677	0.049014945	No	
row_5	CCND1	NA	4253	0.17947854101657867	0.06460015	No	
row_6	KAT2A	NA	4989	0.12644286453723907	0.04315885	No	
row_7	SKP1	NA	5344	0.10258395969867706	0.041266296	No	
row_8	PSEN2	NA	5551	0.0894891768693924	0.046193194	No	
row_9	FZD7	NA	5842	0.07132850587368011	0.042071298	No	
row_10	DLL1	NA	6163	0.05131670460104942	0.03198095	No	
row_11	DTX1	NA	7038	0.0031700599938631058	-0.023295745	No	
row_12	ST3GAL6	NA	7052	0.002665637293830514	-0.023588132	No	
row_13	WNT2	NA	7405	-0.008824732154607773	-0.044323385	No	
row_14	FZD1	NA	7440	-0.010474489070475101	-0.044379346	No	
row_15	TCF7L2	NA	7972	-0.035652030259370804	-0.071138866	No	
row_16	SAP30	NA	7993	-0.03656755015254021	-0.06501961	No	
row_17	NOTCH2	NA	8341	-0.05407760292291641	-0.076278776	No	
row_18	FBXW11	NA	8767	-0.0746937170624733	-0.08835702	No	
row_19	WNT5A	NA	9245	-0.09677835553884506	-0.09929372	No	
row_20	JAG1	NA	10909	-0.17667001485824585	-0.16994537	No	
row_21	LFNG	NA	11565	-0.21135668456554413	-0.16908737	No	
row_22	PPARD	NA	12035	-0.23522810637950897	-0.15149918	No	
row_23	CUL1	NA	12846	-0.28321924805641174	-0.14601779	No	
row_24	HES1	NA	14754	-0.434375137090683	-0.18013799	Yes	
row_25	MAML2	NA	14989	-0.47190195322036743	-0.09962752	Yes	
row_26	NOTCH1	NA	15537	-0.7029871940612793	0.0076137213	Yes	
