NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATOX1	NA	50	0.8430913090705872	0.07598353	Yes	
row_1	LSP1	NA	238	0.6424970626831055	0.124354884	Yes	
row_2	SRXN1	NA	669	0.5521485209465027	0.14868154	Yes	
row_3	HHEX	NA	729	0.5418649911880493	0.19579698	Yes	
row_4	GPX4	NA	1425	0.4479559063911438	0.19337003	Yes	
row_5	MGST1	NA	1506	0.44023463129997253	0.22959553	Yes	
row_6	CAT	NA	1683	0.4183575212955475	0.25761953	Yes	
row_7	SOD1	NA	1891	0.39364880323410034	0.28133795	Yes	
row_8	PRDX1	NA	1932	0.3882213830947876	0.31523937	Yes	
row_9	LAMTOR5	NA	1935	0.3877667486667633	0.3515312	Yes	
row_10	SBNO2	NA	2253	0.3544023931026459	0.36452037	Yes	
row_11	HMOX2	NA	2867	0.2944277822971344	0.35292408	Yes	
row_12	PTPA	NA	2911	0.2897143065929413	0.37738144	Yes	
row_13	FES	NA	3356	0.25379207730293274	0.3727894	Yes	
row_14	GPX3	NA	3459	0.24407288432121277	0.38918233	Yes	
row_15	STK25	NA	5185	0.11297791451215744	0.28934398	No	
row_16	TXN	NA	5266	0.10789069533348083	0.29435503	No	
row_17	GCLM	NA	6112	0.05418764054775238	0.24534021	No	
row_18	SELENOS	NA	6133	0.05301595851778984	0.24903901	No	
row_19	PRDX6	NA	6651	0.02369415946304798	0.21816158	No	
row_20	MSRA	NA	6850	0.012552490457892418	0.20666286	No	
row_21	GCLC	NA	6989	0.005553645547479391	0.19834852	No	
row_22	PDLIM1	NA	7316	-0.004241547547280788	0.17787354	No	
row_23	PRDX4	NA	7892	-0.03085099533200264	0.14395465	No	
row_24	GSR	NA	8324	-0.05350877344608307	0.12138394	No	
row_25	GLRX2	NA	8936	-0.0825309008359909	0.0900139	No	
row_26	SCAF4	NA	10717	-0.1675892174243927	-0.008216811	No	
row_27	PRNP	NA	10961	-0.1792888343334198	-0.0069365865	No	
row_28	NDUFS2	NA	11021	-0.18250299990177155	0.006426799	No	
row_29	NDUFB4	NA	11168	-0.19009996950626373	0.014933213	No	
row_30	PFKP	NA	11324	-0.1987665891647339	0.023677355	No	
row_31	SOD2	NA	11392	-0.20253115892410278	0.0384096	No	
row_32	NDUFA6	NA	12337	-0.25353890657424927	0.0017794466	No	
row_33	ABCC1	NA	12435	-0.2592548727989197	0.019918444	No	
row_34	TXNRD2	NA	12475	-0.26178061962127686	0.04200833	No	
row_35	MBP	NA	13143	-0.30145835876464844	0.027614819	No	
row_36	OXSR1	NA	13681	-0.340455561876297	0.025207741	No	
row_37	TXNRD1	NA	14193	-0.38552913069725037	0.028698817	No	
row_38	IPCEF1	NA	15526	-0.6911157965660095	0.008323703	No	
