NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	NA	213	0.6529625654220581	0.041410066	Yes	
row_1	NOG	NA	445	0.5857983231544495	0.07600417	Yes	
row_2	SMURF1	NA	565	0.5674000382423401	0.11622146	Yes	
row_3	SLC20A1	NA	599	0.5630085468292236	0.16157742	Yes	
row_4	CDKN1C	NA	1287	0.46475645899772644	0.15675576	Yes	
row_5	CDK9	NA	1481	0.44249412417411804	0.1817014	Yes	
row_6	TGFBR1	NA	1945	0.3866156339645386	0.18464018	Yes	
row_7	FURIN	NA	2343	0.34257569909095764	0.18809354	Yes	
row_8	ACVR1	NA	3424	0.24806742370128632	0.13982727	No	
row_9	IFNGR2	NA	3436	0.24667420983314514	0.15992087	No	
row_10	CTNNB1	NA	3731	0.22082167863845825	0.1597065	No	
row_11	SMAD6	NA	4426	0.16632963716983795	0.12927468	No	
row_12	HIPK2	NA	4510	0.1585579365491867	0.13732667	No	
row_13	RHOA	NA	4804	0.13811588287353516	0.13020305	No	
row_14	ENG	NA	5269	0.10766571760177612	0.10955821	No	
row_15	THBS1	NA	5614	0.08575469255447388	0.09475284	No	
row_16	LTBP2	NA	5905	0.0671762153506279	0.081840135	No	
row_17	KLF10	NA	6288	0.044583819806575775	0.06112928	No	
row_18	SMAD3	NA	6487	0.03365812450647354	0.051283788	No	
row_19	UBE2D3	NA	6823	0.014409772120416164	0.031039516	No	
row_20	ID2	NA	6884	0.010583478026092052	0.028088413	No	
row_21	TGIF1	NA	7771	-0.024800071492791176	-0.026575428	No	
row_22	HDAC1	NA	7847	-0.02843516692519188	-0.028982231	No	
row_23	SMAD1	NA	7856	-0.028929121792316437	-0.027055543	No	
row_24	FKBP1A	NA	8147	-0.04418234899640083	-0.041906968	No	
row_25	BCAR3	NA	8275	-0.05071336030960083	-0.04576638	No	
row_26	BMPR1A	NA	8319	-0.05318986624479294	-0.044036165	No	
row_27	PPM1A	NA	8398	-0.057347290217876434	-0.044197425	No	
row_28	BMP2	NA	9987	-0.1323627084493637	-0.13476045	No	
row_29	SKIL	NA	10126	-0.1386900246143341	-0.13190678	No	
row_30	FNTA	NA	10128	-0.13886654376983643	-0.120262355	No	
row_31	ID1	NA	10607	-0.1611732542514801	-0.13729252	No	
row_32	MAP3K7	NA	10726	-0.16795997321605682	-0.13068981	No	
row_33	RAB31	NA	11224	-0.19284459948539734	-0.14626671	No	
row_34	PMEPA1	NA	12068	-0.23695284128189087	-0.18028851	No	
row_35	ARID4B	NA	12093	-0.23854747414588928	-0.16171286	No	
row_36	XIAP	NA	12621	-0.2683493196964264	-0.17284533	No	
row_37	SMURF2	NA	12796	-0.28090783953666687	-0.16030668	No	
row_38	TRIM33	NA	12801	-0.28133609890937805	-0.13684216	No	
row_39	APC	NA	13966	-0.36571845412254333	-0.18056954	No	
row_40	NCOR2	NA	14093	-0.37620511651039124	-0.1569212	No	
row_41	TJP1	NA	14990	-0.47206804156303406	-0.17451438	No	
row_42	BMPR2	NA	15234	-0.5317316651344299	-0.14524756	No	
row_43	WWTR1	NA	15283	-0.5470041036605835	-0.10220188	No	
row_44	SPTBN1	NA	15544	-0.7116670608520508	-0.058852863	No	
row_45	SKI	NA	15594	-0.7823473811149597	0.003971646	No	
