NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATF4	NA	142	0.696668267250061	0.022004636	Yes	
row_1	PREB	NA	235	0.6436591148376465	0.04485393	Yes	
row_2	SEC11A	NA	639	0.5568481087684631	0.043836925	Yes	
row_3	FKBP14	NA	744	0.5401601195335388	0.06129016	Yes	
row_4	SRPRB	NA	871	0.5200701951980591	0.076431796	Yes	
row_5	ZBTB17	NA	1005	0.5036886930465698	0.09039155	Yes	
row_6	EIF4G1	NA	1080	0.491974413394928	0.10761963	Yes	
row_7	PAIP1	NA	1241	0.4695828855037689	0.118320145	Yes	
row_8	LSM1	NA	1507	0.44002196192741394	0.12095167	Yes	
row_9	EIF4A3	NA	1620	0.4253218173980713	0.13275921	Yes	
row_10	IGFBP1	NA	1739	0.4116285443305969	0.14356928	Yes	
row_11	EIF4EBP1	NA	1776	0.4071810245513916	0.15945053	Yes	
row_12	CEBPB	NA	1914	0.3901284337043762	0.16807878	Yes	
row_13	SERP1	NA	2088	0.3716917335987091	0.17356956	Yes	
row_14	EXOSC1	NA	2176	0.361941933631897	0.18415166	Yes	
row_15	GOSR2	NA	2204	0.3593501150608063	0.19847399	Yes	
row_16	PSAT1	NA	2261	0.3537844717502594	0.21068387	Yes	
row_17	XPOT	NA	2516	0.3263833522796631	0.2089444	Yes	
row_18	SPCS3	NA	2763	0.3031693696975708	0.20668174	Yes	
row_19	EXOSC2	NA	2789	0.3009200394153595	0.21852165	Yes	
row_20	EXOSC4	NA	2806	0.29934775829315186	0.23086973	Yes	
row_21	IMP3	NA	2840	0.29713672399520874	0.24202645	Yes	
row_22	EIF2S1	NA	2956	0.2860194742679596	0.24741647	Yes	
row_23	ALDH18A1	NA	2961	0.28513017296791077	0.25990045	Yes	
row_24	NABP1	NA	2976	0.2833464443683624	0.27166203	Yes	
row_25	ATP6V0D1	NA	3383	0.25168612599372864	0.25681606	Yes	
row_26	ASNS	NA	3532	0.2385542094707489	0.25796428	Yes	
row_27	POP4	NA	3681	0.22423841059207916	0.2584728	Yes	
row_28	MTHFD2	NA	3709	0.22225430607795715	0.266669	Yes	
row_29	SRPRA	NA	3799	0.2159852236509323	0.2706005	Yes	
row_30	TTC37	NA	3915	0.20739488303661346	0.2724772	Yes	
row_31	RPS14	NA	3922	0.20674526691436768	0.28133	Yes	
row_32	SHC1	NA	4257	0.17908647656440735	0.26786718	Yes	
row_33	XBP1	NA	4292	0.17603643238544464	0.27354828	Yes	
row_34	EXOSC10	NA	4297	0.17580027878284454	0.28114682	Yes	
row_35	HERPUD1	NA	4545	0.1569211184978485	0.2722848	Yes	
row_36	PARN	NA	4629	0.15182864665985107	0.27373508	Yes	
row_37	SPCS1	NA	4662	0.14971931278705597	0.2783687	Yes	
row_38	NHP2	NA	4687	0.14785155653953552	0.28343305	Yes	
row_39	NFYB	NA	4701	0.14666315913200378	0.28915122	Yes	
row_40	ARFGAP1	NA	4758	0.14136120676994324	0.29186895	Yes	
row_41	CHAC1	NA	4982	0.12696470320224762	0.28321075	No	
row_42	SSR1	NA	5038	0.12333093583583832	0.2851871	No	
row_43	SEC31A	NA	5262	0.10797961801290512	0.27568054	No	
row_44	LSM4	NA	5347	0.10217196494340897	0.27484763	No	
row_45	EDEM1	NA	5557	0.08919143676757812	0.26540127	No	
row_46	NFYA	NA	5712	0.07876959443092346	0.2590239	No	
row_47	GEMIN4	NA	5715	0.07856247574090958	0.26240593	No	
row_48	PDIA5	NA	6109	0.0545574314892292	0.23958677	No	
row_49	SLC30A5	NA	6149	0.0519663542509079	0.23940246	No	
row_50	EIF4E	NA	6287	0.0445878766477108	0.23259024	No	
row_51	NOP56	NA	6373	0.03977043554186821	0.22890465	No	
row_52	HYOU1	NA	6704	0.020553043112158775	0.20861484	No	
row_53	SLC7A5	NA	6724	0.019477440044283867	0.20826411	No	
row_54	RRP9	NA	6788	0.01614793762564659	0.20493683	No	
row_55	EEF2	NA	7842	-0.02833976410329342	0.13852967	No	
row_56	NOLC1	NA	7844	-0.028399711474776268	0.13973445	No	
row_57	DDIT4	NA	7916	-0.032163865864276886	0.1366087	No	
row_58	ATF3	NA	8080	-0.04113827273249626	0.12797138	No	
row_59	KDELR3	NA	8155	-0.04456549882888794	0.125207	No	
row_60	TARS1	NA	8160	-0.044625140726566315	0.126944	No	
row_61	WFS1	NA	8377	-0.05622265115380287	0.11557457	No	
row_62	CNOT2	NA	8507	-0.06276621669530869	0.11008879	No	
row_63	VEGFA	NA	8804	-0.07610725611448288	0.0944665	No	
row_64	PDIA6	NA	8823	-0.07666102796792984	0.096735284	No	
row_65	CKS1B	NA	8859	-0.07880554348230362	0.09800735	No	
row_66	STC2	NA	8912	-0.08113178610801697	0.09829082	No	
row_67	DKC1	NA	9464	-0.10776685923337936	0.06769507	No	
row_68	DNAJA4	NA	9572	-0.1130911260843277	0.06587193	No	
row_69	DCTN1	NA	9743	-0.12105941027402878	0.06035602	No	
row_70	YWHAZ	NA	10005	-0.13339070975780487	0.0495428	No	
row_71	CNOT6	NA	10006	-0.13340947031974792	0.0555042	No	
row_72	KIF5B	NA	10248	-0.14368866384029388	0.04643649	No	
row_73	HSP90B1	NA	10363	-0.15007315576076508	0.045816027	No	
row_74	EXOSC9	NA	10446	-0.15368564426898956	0.047413543	No	
row_75	DNAJC3	NA	10808	-0.17127124965190887	0.03186628	No	
row_76	NOP14	NA	10899	-0.17639440298080444	0.033964396	No	
row_77	SDAD1	NA	11198	-0.19167861342430115	0.023377875	No	
row_78	EIF2AK3	NA	11716	-0.21853239834308624	-8.323355E-5	No	
row_79	EDC4	NA	11811	-0.22316044569015503	0.0038475527	No	
row_80	ATF6	NA	12022	-0.23455899953842163	8.326698E-4	No	
row_81	CNOT4	NA	12120	-0.23992715775966644	0.0053198743	No	
