NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	101	0.53667957	2.385774	0.0	0.0	0.0	1264	tags=37%, list=8%, signal=40%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	132	0.48406783	2.2304688	0.0	0.0	0.0	2601	tags=39%, list=17%, signal=47%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	138	0.38530204	1.8015716	0.0	0.00624871	0.017	1578	tags=24%, list=10%, signal=26%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	81	0.398379	1.7074732	0.0016447369	0.00988614	0.037	4750	tags=51%, list=30%, signal=72%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	81	0.38839674	1.6378092	0.0031746032	0.018781336	0.085	3196	tags=38%, list=20%, signal=48%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	110	0.35485116	1.5922767	0.0015772871	0.025848687	0.138	4053	tags=41%, list=26%, signal=55%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	50	0.39018166	1.5145203	0.014035088	0.050219886	0.286	4582	tags=50%, list=29%, signal=70%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	117	0.3372809	1.497341	0.010835913	0.052644335	0.325	2991	tags=33%, list=19%, signal=41%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	163	0.31300184	1.4827305	0.0031796503	0.05457659	0.372	4624	tags=41%, list=30%, signal=58%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	167	0.30893484	1.4587723	0.012383901	0.06019211	0.438	3883	tags=33%, list=25%, signal=43%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	133	0.30690885	1.4190054	0.017488075	0.07789201	0.571	2122	tags=21%, list=14%, signal=24%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	39	0.38918233	1.4184375	0.061962135	0.07189042	0.573	3459	tags=38%, list=22%, signal=49%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	51	0.36219907	1.390812	0.05972696	0.086082354	0.684	1988	tags=20%, list=13%, signal=22%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	57	0.34779093	1.3833141	0.07578254	0.08509032	0.701	2671	tags=30%, list=17%, signal=36%	
