NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	174	-0.455889	-2.3515396	0.0	0.0	0.0	3487	tags=43%, list=22%, signal=55%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	171	-0.42218512	-2.1765795	0.0	0.0	0.0	4874	tags=52%, list=31%, signal=75%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	35	-0.52388775	-1.9611881	0.0	7.2857144E-4	0.002	6205	tags=74%, list=40%, signal=123%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	140	-0.40054137	-1.9530308	0.0	5.464286E-4	0.002	5043	tags=59%, list=32%, signal=87%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	168	-0.3396804	-1.7562685	0.0	0.0032148007	0.016	4090	tags=40%, list=26%, signal=54%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	152	-0.3510834	-1.7401934	0.0	0.0028554713	0.017	4811	tags=49%, list=31%, signal=70%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	135	-0.30995068	-1.5312266	0.0	0.022361241	0.143	5259	tags=53%, list=34%, signal=79%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	164	-0.26341593	-1.3559803	0.020710059	0.08852842	0.532	4921	tags=42%, list=31%, signal=61%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	153	-0.24108593	-1.2147521	0.08055556	0.23690568	0.893	3899	tags=33%, list=25%, signal=43%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	125	-0.24007957	-1.1726221	0.15608466	0.281261	0.953	3290	tags=28%, list=21%, signal=35%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	36	-0.25668874	-0.96557534	0.495	0.8660917	1.0	5392	tags=53%, list=34%, signal=80%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	27	-0.26802674	-0.9495595	0.518847	0.85772145	1.0	904	tags=11%, list=6%, signal=12%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	148	-0.17802513	-0.89641815	0.7521866	0.9768958	1.0	3702	tags=30%, list=24%, signal=39%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	151	-0.17592967	-0.8807474	0.76261127	0.957462	1.0	3667	tags=30%, list=23%, signal=39%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	46	-0.21431662	-0.8444345	0.7532467	0.9870918	1.0	668	tags=11%, list=4%, signal=11%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	43	-0.19169791	-0.76793295	0.8646789	1.0	1.0	3501	tags=23%, list=22%, signal=30%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	89	-0.16664311	-0.7670735	0.9045093	0.98581326	1.0	4688	tags=40%, list=30%, signal=57%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	33	-0.16753225	-0.615854	0.981352	0.9947863	1.0	3867	tags=27%, list=25%, signal=36%	
