NAME	TITLE	SCORE	
TRNAR-CCU	NA	1.7025311	
AIPL1	NA	1.6825391	
PCSK4	NA	1.3236644	
LOC103532500	NA	1.2803583	
LOC115599277	NA	1.2303547	
TMC1	NA	1.187229	
LOC103528988	NA	1.1373634	
LOC103532208	NA	1.1081415	
LOC115600420	NA	1.0981065	
PSTPIP2	NA	1.0736619	
THPO	NA	1.0309768	
LOC103529287	NA	1.0193567	
RASSF1	NA	1.0082422	
LOC103526199	NA	1.0073773	
TRNAM-CAU_2	NA	0.9989202	
LOC103536990	NA	0.997821	
LRRC3C	NA	0.9976441	
CNN2	NA	0.98097456	
RND2	NA	0.9535122	
C1QA	NA	0.94893175	
LOC115600005	NA	0.94302404	
SLC2A4RG	NA	0.93735385	
LOC103534471	NA	0.9360732	
LOC115599055	NA	0.93116575	
TDRD5	NA	0.930473	
LOC115598078	NA	0.92913634	
GRIN3B	NA	0.92730373	
TAFA2	NA	0.91451436	
VCAM1	NA	0.91372055	
LOC115599588	NA	0.91325295	
STK16	NA	0.9096667	
CFAP53	NA	0.9088008	
LOC115599410	NA	0.89862233	
TIGD5	NA	0.89226156	
PPCDC	NA	0.8854866	
LOC115599849	NA	0.88153845	
CTSO	NA	0.8810802	
CACNA1I	NA	0.87957776	
TLE2	NA	0.8792931	
LOC103531398	NA	0.87701964	
LSM10	NA	0.86722875	
NR2C2AP	NA	0.8671291	
LOC103531107	NA	0.8654121	
SLC2A6	NA	0.8649376	
LOC115600238	NA	0.86065054	
LOC115599156	NA	0.86015004	
BIN2	NA	0.8573855	
LOC115599462	NA	0.8561277	
ARID3C	NA	0.8515369	
LOC115598956	NA	0.84890646	
ATOX1	NA	0.8430913	
SPI1	NA	0.83836657	
NT5C3B	NA	0.8374786	
NLGN3	NA	0.83049697	
LOC115599432	NA	0.82562596	
IGHMBP2	NA	0.82411987	
NXNL2	NA	0.8210539	
LOC115599284	NA	0.821001	
CEP57L1	NA	0.81707203	
TEKT4	NA	0.8155262	
FAM183A	NA	0.81404155	
LOC115598040	NA	0.81077045	
LOC115598786	NA	0.8086167	
ARHGEF28	NA	0.7970735	
FAM222A	NA	0.79688966	
LOC103526353	NA	0.7914576	
UFC1	NA	0.78915435	
LOC103530326	NA	0.7869556	
PLCXD1	NA	0.7844622	
C2H1orf35	NA	0.78441304	
LOC115599541	NA	0.7816447	
POLR3H	NA	0.7816078	
LOC103539333	NA	0.7795693	
ZFPM1	NA	0.7791938	
KCNAB2	NA	0.77819693	
LOC103533418	NA	0.7777829	
COL9A2	NA	0.77684355	
LOC115600406	NA	0.77638245	
SLC43A3	NA	0.77520674	
LOC115597776	NA	0.7732042	
TRNAG-CCC_3	NA	0.7729527	
THUMPD2	NA	0.7726593	
LOC115599309	NA	0.7722632	
LOC115598270	NA	0.77005386	
LOC103536140	NA	0.76774555	
LOC103534357	NA	0.76600724	
CUTA	NA	0.76438105	
LOC115598987	NA	0.76066893	
THYN1	NA	0.7600039	
DCTN5	NA	0.7593085	
LOC103529022	NA	0.7588164	
LOC103538971	NA	0.75865704	
LOC103538133	NA	0.7575802	
CLRN2	NA	0.7560932	
PRTG	NA	0.75433844	
TERF2IP	NA	0.749045	
LOC115598113	NA	0.7486729	
RNF215	NA	0.74786603	
TRNAI-UAU	NA	0.7450482	
DRD1	NA	0.74419105	
LOC115599062	NA	0.7435962	
HOGA1	NA	0.741059	
B3GALNT1	NA	0.7409327	
LOC103535173	NA	0.74005246	
LOC115598645	NA	0.73819166	
IGBP1	NA	0.7365464	
GEMIN6	NA	0.73652273	
LOC115598768	NA	0.734345	
SELENOK	NA	0.7337351	
LAPTM5	NA	0.7318008	
LOC103532403	NA	0.7302634	
VASN	NA	0.7301008	
LOC103534402	NA	0.7282011	
LOC115598481	NA	0.7276996	
MEA1	NA	0.72698873	
LOC115600167	NA	0.7268959	
LOC103530628	NA	0.72168016	
FAM207A	NA	0.716206	
TRUB2	NA	0.7158841	
POU3F2	NA	0.7155707	
NEIL1	NA	0.71483	
SNRNP25	NA	0.7126689	
LOC103535070	NA	0.7119746	
MLKL	NA	0.7114651	
CSF1	NA	0.7112485	
CDIP1	NA	0.71097255	
LOC115599339	NA	0.7094764	
CTNND2	NA	0.7089276	
LOC103535183	NA	0.70856833	
ZNF410	NA	0.7077561	
CGRRF1	NA	0.70694536	
HRH4	NA	0.7054478	
SLC24A5	NA	0.70462966	
HAPLN4	NA	0.70438945	
LOC103527685	NA	0.7039348	
OVCA2	NA	0.7013363	
ATXN7L2	NA	0.70124197	
PDXP	NA	0.7000256	
TMEM132B	NA	0.69983035	
RETREG2	NA	0.69981617	
CSF2RB	NA	0.69899184	
HPDL	NA	0.6984949	
ATF4	NA	0.69666827	
LOC103530737	NA	0.6965997	
GPRIN2	NA	0.69501555	
LOC115600080	NA	0.6918888	
CTSK	NA	0.6917681	
RAD21L1	NA	0.69097716	
ASIC5	NA	0.69061685	
PI4K2A	NA	0.6900907	
ENC1	NA	0.6900618	
LOC115599298	NA	0.690044	
NUP85	NA	0.6885524	
LOC115600021	NA	0.6879266	
NPR2	NA	0.6874999	
QPRT	NA	0.68740773	
PSMB1	NA	0.68671846	
MNS1	NA	0.6861124	
TADA2A	NA	0.6846057	
OGFOD2	NA	0.6841824	
BSDC1	NA	0.68377954	
LRRC47	NA	0.6832195	
ZAR1L	NA	0.6806176	
LOC115599142	NA	0.67894906	
LOC103538999	NA	0.67884713	
LOC115598390	NA	0.67831814	
LOC103538580	NA	0.6782815	
LOC115598386	NA	0.67827743	
HOXC13	NA	0.6781479	
LGALS8	NA	0.6778826	
SPR	NA	0.6769188	
SLC8B1	NA	0.67551774	
IFITM10	NA	0.67476034	
LOC115598925	NA	0.67392665	
LOC103539608	NA	0.67224234	
CTSA	NA	0.6720471	
LOC115600388	NA	0.67176175	
EMILIN1	NA	0.67067915	
DNAI2	NA	0.6702416	
TMEM35B	NA	0.6700137	
KCNJ4	NA	0.66957396	
APBA3	NA	0.6694571	
C1QC	NA	0.66917247	
LOC115598474	NA	0.66862375	
LOC103526490	NA	0.6677113	
LOC115598160	NA	0.667215	
DYNLT1	NA	0.6669307	
SRA1	NA	0.66660947	
ARL4C	NA	0.6660517	
TMX2	NA	0.6652133	
MET	NA	0.6645049	
LOC103529392	NA	0.66449213	
SLC45A2	NA	0.66358703	
LOC115598345	NA	0.66319495	
SKIDA1	NA	0.66203177	
SPRY4	NA	0.66173244	
LOC103526343	NA	0.6597319	
VAMP7	NA	0.65952647	
CREM	NA	0.65836585	
WNT9B	NA	0.6582494	
LOC115599883	NA	0.6577094	
ANKRD34C	NA	0.65769744	
BHLHE41	NA	0.65705293	
DHRS7	NA	0.65673715	
PLEK	NA	0.6566057	
GRN	NA	0.6560142	
SERINC4	NA	0.65595806	
PLPPR1	NA	0.6556113	
CSMD3	NA	0.6555119	
PCP4L1	NA	0.6548285	
CNPY2	NA	0.65435624	
SMC1B	NA	0.65421325	
LOC115597898	NA	0.6532438	
ID3	NA	0.65296257	
PMVK	NA	0.6528455	
LOC103526489	NA	0.6525233	
ARHGAP25	NA	0.6522277	
CRYBB1	NA	0.650291	
LOC115598642	NA	0.64978206	
C7H2orf69	NA	0.6497648	
ITGB2	NA	0.64930737	
CDK5R1	NA	0.64920807	
