NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLIN2	NA	231	0.5024089813232422	0.00103073	No	
row_1	PHLDB1	NA	241	0.49726176261901855	0.016219882	No	
row_2	STOM	NA	572	0.41232728958129883	0.008007149	No	
row_3	LAMA4	NA	606	0.4060090184211731	0.018754097	No	
row_4	COL4A1	NA	780	0.3782064616680145	0.019587662	No	
row_5	COQ5	NA	842	0.36937108635902405	0.02736637	No	
row_6	ACAA2	NA	981	0.3509587049484253	0.029593742	No	
row_7	PPP1R15B	NA	1093	0.33862581849098206	0.033171818	No	
row_8	ADIPOQ	NA	1231	0.32512614130973816	0.03464447	No	
row_9	LTC4S	NA	1266	0.32216009497642517	0.042667788	No	
row_10	SCARB1	NA	1302	0.318949431180954	0.050524775	No	
row_11	NDUFA5	NA	1601	0.2924620509147644	0.040575117	No	
row_12	SLC66A3	NA	1621	0.2907196879386902	0.04856904	No	
row_13	COQ3	NA	1729	0.28282633423805237	0.050635584	No	
row_14	ECHS1	NA	1814	0.2774263918399811	0.054014657	No	
row_15	GPAT4	NA	1839	0.275706946849823	0.061209917	No	
row_16	ITSN1	NA	1866	0.2732985317707062	0.068199776	No	
row_17	ESYT1	NA	1945	0.2677018642425537	0.07165752	No	
row_18	CAVIN2	NA	1980	0.2651969790458679	0.07787436	No	
row_19	SAMM50	NA	2170	0.25239068269729614	0.07368571	No	
row_20	CPT2	NA	2324	0.24388593435287476	0.07154979	No	
row_21	CRAT	NA	2381	0.23977474868297577	0.07554114	No	
row_22	ARL4A	NA	2419	0.23782280087471008	0.080696315	No	
row_23	PTCD3	NA	2467	0.23569412529468536	0.08513887	No	
row_24	ACADL	NA	2477	0.23495306074619293	0.09200937	No	
row_25	CAVIN1	NA	2533	0.2325437366962433	0.095835924	No	
row_26	MDH2	NA	2672	0.2255062758922577	0.09408479	No	
row_27	COQ9	NA	2689	0.2246585339307785	0.10017724	No	
row_28	CS	NA	2767	0.22037561237812042	0.10219864	No	
row_29	SPARCL1	NA	2769	0.22026294469833374	0.10911936	No	
row_30	NDUFAB1	NA	2915	0.21314431726932526	0.10652462	No	
row_31	ACADS	NA	2918	0.21311089396476746	0.113154024	No	
row_32	FZD4	NA	2972	0.21053509414196014	0.11641163	No	
row_33	PGM1	NA	3057	0.20681940019130707	0.11755153	No	
row_34	IDH3A	NA	3077	0.2058596909046173	0.12285427	No	
row_35	CCNG2	NA	3094	0.2048630267381668	0.12831894	No	
row_36	PPARG	NA	3112	0.20373579859733582	0.13368335	No	
row_37	LPL	NA	3167	0.20095820724964142	0.13657273	No	
row_38	ATP5PO	NA	3234	0.1983404904603958	0.13860495	No	
row_39	SDHB	NA	3257	0.19744156301021576	0.14344719	No	
row_40	ACO2	NA	3290	0.19563926756381989	0.14758715	No	
row_41	NDUFS3	NA	3391	0.19114552438259125	0.1471978	No	
row_42	SDHC	NA	3508	0.18560299277305603	0.14560047	No	
row_43	PTGER3	NA	3708	0.1764746457338333	0.13835916	No	
row_44	ITIH5	NA	3834	0.170819491147995	0.1357124	No	
row_45	GHITM	NA	3948	0.1653863489627838	0.13366747	No	
row_46	HADH	NA	4014	0.16265586018562317	0.13463253	No	
row_47	CHCHD10	NA	4028	0.16204464435577393	0.13893284	No	
row_48	DNAJC15	NA	4032	0.16184282302856445	0.14387184	No	
row_49	ITGA7	NA	4124	0.1580505669116974	0.14301355	No	
row_50	RNF11	NA	4157	0.15672573447227478	0.14591944	No	
row_51	SUCLG1	NA	4362	0.14807067811489105	0.1374548	No	
row_52	GRPEL1	NA	4606	0.13702473044395447	0.12612388	No	
row_53	IMMT	NA	4759	0.1306038349866867	0.12045992	No	
row_54	CDKN2C	NA	4819	0.12827537953853607	0.12072174	No	
row_55	MGLL	NA	4829	0.12791354954242706	0.124197684	No	
