NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSC22D1	NA	692	0.39124003052711487	-0.015732877	No	
row_1	ADAMTS1	NA	1335	0.31479430198669434	-0.033865206	No	
row_2	PLPP1	NA	1459	0.3040522038936615	-0.019448392	No	
row_3	ABCC4	NA	1599	0.2925011217594147	-0.0069071865	No	
row_4	SPDEF	NA	1922	0.2691854238510132	-0.007832252	No	
row_5	HERC3	NA	1930	0.26871010661125183	0.011441609	No	
row_6	AKAP12	NA	2123	0.25562551617622375	0.017871702	No	
row_7	GPD1L	NA	2382	0.23971617221832275	0.01889457	No	
row_8	RRP12	NA	3151	0.20157019793987274	-0.015642008	No	
row_9	GUCY1A1	NA	3500	0.18592679500579834	-0.024348404	No	
row_10	ALDH1A3	NA	3848	0.17009982466697693	-0.034152273	No	
row_11	CDC14B	NA	3867	0.16915202140808105	-0.022892622	No	
row_12	SMS	NA	4671	0.13419871032238007	-0.064622514	No	
row_13	SRP19	NA	4911	0.12485940009355545	-0.07080975	No	
row_14	CAMKK2	NA	4982	0.12102371454238892	-0.06642294	No	
row_15	ARID5B	NA	5076	0.11648565530776978	-0.0638466	No	
row_16	PDLIM5	NA	5487	0.09640906006097794	-0.08310619	No	
row_17	VAPA	NA	5536	0.09432622790336609	-0.07926583	No	
row_18	HOMER2	NA	5745	0.08529789745807648	-0.08636565	No	
row_19	ITGAV	NA	5769	0.08413282036781311	-0.08166763	No	
row_20	SLC26A2	NA	5928	0.07721403986215591	-0.0861491	No	
row_21	SELENOP	NA	5942	0.0768325924873352	-0.08134458	No	
row_22	STEAP4	NA	5964	0.07588692009449005	-0.07712335	No	
row_23	TPD52	NA	6617	0.04750003293156624	-0.1155176	No	
row_24	TMEM50A	NA	6751	0.04219987988471985	-0.12096327	No	
row_25	TNFAIP8	NA	6764	0.04127419739961624	-0.11870452	No	
row_26	ANKH	NA	6814	0.03900725021958351	-0.11898885	No	
row_27	PA2G4	NA	6845	0.03773261979222298	-0.11814628	No	
row_28	RAB4A	NA	6887	0.03565541282296181	-0.11816275	No	
row_29	PIAS1	NA	6978	0.031407807022333145	-0.12163849	No	
row_30	ELOVL5	NA	6979	0.03140537440776825	-0.11933331	No	
row_31	SRF	NA	7446	0.011578623205423355	-0.14841664	No	
row_32	CCND1	NA	7652	0.0035342539194971323	-0.16132526	No	
row_33	XRCC6	NA	7940	-0.004591033793985844	-0.17942353	No	
row_34	ACTN1	NA	7973	-0.005857076495885849	-0.18104911	No	
row_35	NCOA4	NA	8308	-0.02020338922739029	-0.20102043	No	
row_36	HPGD	NA	8363	-0.022554531693458557	-0.20283356	No	
row_37	MAK	NA	8378	-0.023139312863349915	-0.2020344	No	
row_38	NDRG1	NA	8429	-0.025026803836226463	-0.20340914	No	
row_39	SGK1	NA	8571	-0.031032929196953773	-0.21018834	No	
row_40	CDK6	NA	8590	-0.03205140307545662	-0.20899196	No	
row_41	DHCR24	NA	8656	-0.03541862592101097	-0.21056744	No	
row_42	RPS6KA3	NA	8683	-0.03658997640013695	-0.20955181	No	
row_43	UBE2I	NA	8701	-0.037223223596811295	-0.20791158	No	
row_44	GSR	NA	8934	-0.04715526103973389	-0.21935272	No	
row_45	PTPN21	NA	9230	-0.05944215878844261	-0.23393875	No	
row_46	PTK2B	NA	9288	-0.06188797205686569	-0.2330575	No	
row_47	SEC24D	NA	9363	-0.06508450210094452	-0.23303358	No	
row_48	IQGAP2	NA	9561	-0.07355863600969315	-0.2402885	No	
row_49	B4GALT1	NA	9601	-0.07515161484479904	-0.23727746	No	
row_50	MAF	NA	9627	-0.0760779157280922	-0.23329915	No	
row_51	INPP4B	NA	9973	-0.08955235779285431	-0.2488868	No	
row_52	ZBTB10	NA	10036	-0.09163636714220047	-0.24614315	No	
row_53	PMEPA1	NA	10077	-0.09309419244527817	-0.24187934	No	
row_54	UAP1	NA	10335	-0.10358262062072754	-0.25078455	No	
row_55	SORD	NA	10501	-0.11129116266965866	-0.25321436	No	
row_56	SAT1	NA	10537	-0.11268144100904465	-0.24719165	No	
row_57	XRCC5	NA	10585	-0.11436440050601959	-0.24181625	No	
row_58	CCND3	NA	10672	-0.11833280324935913	-0.23865469	No	
row_59	FADS1	NA	10771	-0.12248244881629944	-0.23595937	No	
row_60	TMPRSS2	NA	10867	-0.12685953080654144	-0.23275006	No	
row_61	ZMIZ1	NA	11479	-0.1524653136730194	-0.26080617	No	
row_62	CENPN	NA	11668	-0.1619400978088379	-0.26099572	Yes	
row_63	ADRM1	NA	11763	-0.16709402203559875	-0.25476894	Yes	
row_64	ABHD2	NA	11778	-0.1677059829235077	-0.24335848	Yes	
row_65	NGLY1	NA	11811	-0.16928282380104065	-0.2329885	Yes	
row_66	LMAN1	NA	12119	-0.1845826953649521	-0.23915996	Yes	
row_67	ACSL3	NA	12232	-0.19018474221229553	-0.23239452	Yes	
row_68	SLC38A2	NA	12378	-0.199055016040802	-0.22709772	Yes	
row_69	HMGCR	NA	12449	-0.2027437686920166	-0.2167126	Yes	
row_70	APPBP2	NA	12457	-0.2031654417514801	-0.20224975	Yes	
row_71	GNAI3	NA	12525	-0.20539286732673645	-0.19147748	Yes	
row_72	BMPR1B	NA	12629	-0.21155329048633575	-0.18256547	Yes	
row_73	HMGCS1	NA	12665	-0.21327294409275055	-0.1691593	Yes	
row_74	PGM3	NA	12700	-0.21548216044902802	-0.15552673	Yes	
row_75	AKT1	NA	12954	-0.22921329736709595	-0.1549536	Yes	
row_76	ELL2	NA	13178	-0.2426329106092453	-0.15146844	Yes	
row_77	SCD	NA	13262	-0.24751967191696167	-0.13863178	Yes	
row_78	SPCS3	NA	13363	-0.25403866171836853	-0.1264086	Yes	
row_79	LIFR	NA	13443	-0.25795453786849976	-0.11254908	Yes	
row_80	MAP7	NA	13556	-0.2647797763347626	-0.100308314	Yes	
row_81	IDI1	NA	13841	-0.2840604782104492	-0.09770063	Yes	
row_82	STK39	NA	14347	-0.3255074918270111	-0.10624651	Yes	
row_83	DBI	NA	14539	-0.34506142139434814	-0.093187526	Yes	
row_84	DNAJB9	NA	14680	-0.3595462739467621	-0.07578939	Yes	
row_85	MERTK	NA	15194	-0.4444226324558258	-0.07612069	Yes	
row_86	UBE2J1	NA	15223	-0.4535748064517975	-0.044626556	Yes	
row_87	INSIG1	NA	15303	-0.47396034002304077	-0.014912065	Yes	
row_88	ELK4	NA	15412	-0.511201024055481	0.015673121	Yes	
