NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LUM	NA	203	0.5148105025291443	0.0785598	Yes	
row_1	VCAN	NA	722	0.38545292615890503	0.11396117	Yes	
row_2	FGFR1	NA	740	0.38240846991539	0.18087694	Yes	
row_3	COL3A1	NA	956	0.3543752133846283	0.23013881	Yes	
row_4	TNFRSF21	NA	1492	0.3012661933898926	0.24948157	Yes	
row_5	COL5A2	NA	1969	0.26612475514411926	0.26635018	Yes	
row_6	MSX1	NA	2006	0.26314419507980347	0.31084156	Yes	
row_7	VEGFA	NA	2831	0.2174275517463684	0.2967841	Yes	
row_8	LPL	NA	3167	0.20095820724964142	0.31108585	Yes	
row_9	APP	NA	3882	0.16859182715415955	0.29538214	No	
row_10	PTK2	NA	4977	0.12113763391971588	0.2469259	No	
row_11	POSTN	NA	5060	0.11722230166196823	0.26252484	No	
row_12	ITGAV	NA	5769	0.08413282036781311	0.23218572	No	
row_13	FSTL1	NA	6039	0.0720369964838028	0.22778443	No	
row_14	PDGFA	NA	6688	0.04463207721710205	0.19425994	No	
row_15	SLCO2A1	NA	7226	0.02143249846994877	0.16371205	No	
row_16	THBD	NA	7648	0.0036871288903057575	0.13743064	No	
row_17	JAG1	NA	9981	-0.08977439999580383	0.004185362	No	
row_18	LRPAP1	NA	10121	-0.09473194926977158	0.01213777	No	
row_19	JAG2	NA	10520	-0.11194968223571777	0.0065802396	No	
row_20	VTN	NA	10610	-0.11533038318157196	0.021394836	No	
row_21	NRP1	NA	10775	-0.12254104018211365	0.032692928	No	
row_22	KCNJ8	NA	11147	-0.1378498077392578	0.03346876	No	
row_23	APOH	NA	11732	-0.16564418375492096	0.02555874	No	
row_24	CCND2	NA	12117	-0.1845228224992752	0.033802625	No	
row_25	VAV2	NA	14496	-0.3399561643600464	-0.057896208	No	
row_26	STC1	NA	14499	-0.3403565585613251	0.002501245	No	
row_27	SPP1	NA	14966	-0.40186822414398193	0.04414889	No	
