NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNK4	NA	90	0.6008539795875549	0.017446093	Yes	
row_1	ACTA1	NA	270	0.48628726601600647	0.024721472	Yes	
row_2	MAPK13	NA	313	0.4726654589176178	0.040302236	Yes	
row_3	CALB2	NA	463	0.43416327238082886	0.04749493	Yes	
row_4	COL9A1	NA	466	0.43324846029281616	0.06412937	Yes	
row_5	CNTN1	NA	480	0.42922264337539673	0.079898864	Yes	
row_6	COL16A1	NA	489	0.4275094270706177	0.09592443	Yes	
row_7	THBS3	NA	590	0.40873783826828003	0.1052924	Yes	
row_8	CD34	NA	592	0.40868595242500305	0.12104093	Yes	
row_9	VCAN	NA	722	0.38545292615890503	0.12763833	Yes	
row_10	VWF	NA	744	0.38169538974761963	0.14105311	Yes	
row_11	LDLRAP1	NA	795	0.3762441575527191	0.15238735	Yes	
row_12	MMP2	NA	815	0.3731217384338379	0.16559936	Yes	
row_13	SGCE	NA	1009	0.3472980558872223	0.16659434	Yes	
row_14	PKD1	NA	1026	0.34602949023246765	0.17895149	Yes	
row_15	CERCAM	NA	1058	0.3425893783569336	0.19020848	Yes	
row_16	ITGA2	NA	1346	0.3137960433959961	0.18384698	Yes	
row_17	CDH15	NA	1458	0.30408573150634766	0.18845655	Yes	
row_18	LAYN	NA	1467	0.30318254232406616	0.19967161	Yes	
row_19	FBN1	NA	1757	0.2811441123485565	0.19191779	Yes	
row_20	DLG1	NA	1898	0.27077868580818176	0.19336899	Yes	
row_21	AKT3	NA	2102	0.25701573491096497	0.19022603	Yes	
row_22	DSC1	NA	2197	0.251235693693161	0.19388671	Yes	
row_23	ACTC1	NA	2313	0.24427777528762817	0.19592428	Yes	
row_24	CRAT	NA	2381	0.23977474868297577	0.20088221	Yes	
row_25	CLDN19	NA	2711	0.22349701821804047	0.18831907	Yes	
row_26	CLDN18	NA	2867	0.21565288305282593	0.18667027	Yes	
row_27	CLDN5	NA	3199	0.1996745765209198	0.17305644	Yes	
row_28	ITGB1	NA	3237	0.1982877254486084	0.17834325	Yes	
row_29	NFASC	NA	3281	0.19616101682186127	0.18316095	Yes	
row_30	ADAMTS5	NA	3308	0.19475531578063965	0.18902025	Yes	
row_31	TUBG1	NA	3365	0.1920621246099472	0.19284123	Yes	
row_32	PECAM1	NA	3404	0.19044478237628937	0.1977601	Yes	
row_33	TJP1	NA	3453	0.18827126920223236	0.20195018	Yes	
row_34	TNFRSF11B	NA	3557	0.18382012844085693	0.20242216	Yes	
row_35	LAMC2	NA	3582	0.18286408483982086	0.2079503	Yes	
row_36	MAPK11	NA	3588	0.18252715468406677	0.21469034	Yes	
row_37	MAPK14	NA	3634	0.1795896589756012	0.21873792	Yes	
row_38	ACTG1	NA	3748	0.1748797595500946	0.21821927	Yes	
row_39	THY1	NA	3772	0.17389239370822906	0.22346474	Yes	
row_40	NRAP	NA	3841	0.17036941647529602	0.22567275	Yes	
row_41	EXOC4	NA	3896	0.1679261475801468	0.22868879	Yes	
row_42	PLCG1	NA	3926	0.16618630290031433	0.23324929	Yes	
row_43	HADH	NA	4014	0.16265586018562317	0.2339339	Yes	
row_44	CD86	NA	4061	0.16071709990501404	0.23718677	Yes	
row_45	VCL	NA	4102	0.15877804160118103	0.24075145	Yes	
row_46	FYB1	NA	4161	0.15659047663211823	0.243071	Yes	
row_47	SPEG	NA	4382	0.14729002118110657	0.23458652	Yes	
row_48	EPB41L2	NA	4497	0.1423865109682083	0.23274615	Yes	
row_49	MYL9	NA	4517	0.14153437316417694	0.23699751	Yes	
row_50	SDC3	NA	4547	0.14002986252307892	0.24054594	Yes	
row_51	VCAM1	NA	4576	0.13848455250263214	0.24409907	Yes	
row_52	ACTN2	NA	4582	0.1382005661725998	0.24912402	Yes	
