NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCUBE1	NA	186	0.5215936303138733	0.06844043	Yes	
row_1	PCSK9	NA	395	0.4463433623313904	0.12388098	Yes	
row_2	ATP6V0A4	NA	563	0.4138634204864502	0.1769428	Yes	
row_3	MAL	NA	840	0.36965739727020264	0.21621774	Yes	
row_4	CROCC	NA	1066	0.34162434935569763	0.2544391	Yes	
row_5	GAS1	NA	1523	0.2991754710674286	0.2713347	Yes	
row_6	SRPX	NA	1554	0.2968592941761017	0.31514278	Yes	
row_7	ATP8B1	NA	1764	0.28062987327575684	0.3449927	Yes	
row_8	CRYBG1	NA	2328	0.24359868466854095	0.34647793	Yes	
row_9	RTN4RL1	NA	2422	0.2377152293920517	0.3771426	Yes	
row_10	HSPB1	NA	2553	0.23116883635520935	0.40443048	Yes	
row_11	SULF2	NA	2793	0.219297394156456	0.42291227	Yes	
row_12	THY1	NA	3772	0.17389239370822906	0.3870948	Yes	
row_13	APP	NA	3882	0.16859182715415955	0.4060875	Yes	
row_14	ADAM10	NA	4135	0.15775947272777557	0.4142578	Yes	
row_15	GATA3	NA	4258	0.15191777050495148	0.42984983	Yes	
row_16	NCOA6	NA	4900	0.12540870904922485	0.408136	No	
row_17	FLOT2	NA	4962	0.12182848900556564	0.42299783	No	
row_18	AFAP1L2	NA	5136	0.11370251327753067	0.42943853	No	
row_19	SHROOM2	NA	5774	0.08397725224494934	0.40159863	No	
row_20	MDGA1	NA	6217	0.06494519114494324	0.3833094	No	
row_21	EFNA5	NA	6934	0.034153856337070465	0.3427377	No	
row_22	CX3CL1	NA	7179	0.023651881143450737	0.33076206	No	
row_23	AKAP7	NA	7284	0.018975883722305298	0.32702783	No	
row_24	IL2RG	NA	8823	-0.04256633296608925	0.23513389	No	
row_25	RHCG	NA	8926	-0.04678840562701225	0.23581196	No	
row_26	ADIPOR2	NA	9238	-0.05977511778473854	0.22511195	No	
row_27	B4GALT1	NA	9601	-0.07515161484479904	0.21351592	No	
row_28	IL2RB	NA	9851	-0.08532249182462692	0.21072	No	
row_29	NTNG1	NA	10267	-0.10044851154088974	0.19962808	No	
row_30	LYN	NA	10511	-0.11166168749332428	0.20127356	No	
row_31	BRCA1	NA	10762	-0.12215597182512283	0.2040875	No	
row_32	TMEM8B	NA	10817	-0.12437869608402252	0.21979022	No	
row_33	DCBLD2	NA	11427	-0.14960405230522156	0.20385188	No	
row_34	PKHD1	NA	15140	-0.4335991144180298	0.03303023	No	
