NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SATB1	NA	138	0.5536802411079407	0.017429413	Yes	
row_1	LUM	NA	203	0.5148105025291443	0.037774254	Yes	
row_2	TIMP2	NA	411	0.44332438707351685	0.045518834	Yes	
row_3	JUN	NA	578	0.4109252989292145	0.054362506	Yes	
row_4	CCNA1	NA	745	0.38167303800582886	0.06181611	Yes	
row_5	PMAIP1	NA	764	0.3797162175178528	0.078701764	Yes	
row_6	MMP2	NA	815	0.3731217384338379	0.09321457	Yes	
row_7	AVPR1A	NA	837	0.37011560797691345	0.10945093	Yes	
row_8	TGFB2	NA	888	0.36280542612075806	0.12347351	Yes	
row_9	CFLAR	NA	1033	0.3453351557254791	0.13061622	Yes	
row_10	IL18	NA	1100	0.33698341250419617	0.14238201	Yes	
row_11	LEF1	NA	1131	0.3343229293823242	0.15633827	Yes	
row_12	MADD	NA	1164	0.33013057708740234	0.16996661	Yes	
row_13	DCN	NA	1451	0.3047773241996765	0.16604312	Yes	
row_14	CD38	NA	1510	0.2999739944934845	0.1765651	Yes	
row_15	BTG2	NA	1634	0.289602130651474	0.1824109	Yes	
row_16	BCL2L1	NA	1670	0.2872471511363983	0.19380833	Yes	
row_17	PEA15	NA	1700	0.28418809175491333	0.20544654	Yes	
row_18	IL6	NA	1714	0.28357207775115967	0.21808521	Yes	
row_19	GSN	NA	1801	0.27787619829177856	0.22575507	Yes	
row_20	CAV1	NA	2069	0.2590014934539795	0.22087914	Yes	
row_21	CDKN1A	NA	2193	0.25130829215049744	0.22490522	Yes	
row_22	ANXA1	NA	2326	0.24374529719352722	0.22799268	Yes	
row_23	XIAP	NA	2388	0.23935267329216003	0.23544085	Yes	
row_24	HSPB1	NA	2553	0.23116883635520935	0.23587123	Yes	
row_25	DAP	NA	2730	0.222227081656456	0.23510437	Yes	
row_26	FEZ1	NA	2763	0.22061216831207275	0.24352838	Yes	
row_27	BMP2	NA	2784	0.21956104040145874	0.25267476	Yes	
row_28	F2R	NA	2791	0.21936026215553284	0.2627126	Yes	
row_29	NEDD9	NA	2958	0.21133150160312653	0.26207158	No	
row_30	VDAC2	NA	3448	0.18852095305919647	0.23955885	No	
row_31	APP	NA	3882	0.16859182715415955	0.21970317	No	
row_32	SQSTM1	NA	4039	0.16155368089675903	0.21734029	No	
row_33	PPP3R1	NA	4262	0.1518227458000183	0.21026735	No	
row_34	DNM1L	NA	4310	0.15014874935150146	0.21437757	No	
row_35	PLCB2	NA	4326	0.14957581460475922	0.22052003	No	
row_36	CASP6	NA	4548	0.13999763131141663	0.21294951	No	
row_37	BMF	NA	4601	0.1374378502368927	0.21613392	No	
row_38	LGALS3	NA	4687	0.13346101343631744	0.21700552	No	
row_39	DIABLO	NA	4691	0.13335111737251282	0.22314928	No	
row_40	SOD2	NA	4773	0.13015498220920563	0.22412123	No	
row_41	PTK2	NA	4977	0.12113763391971588	0.21681294	No	
row_42	PSEN2	NA	5021	0.11935364454984665	0.2197172	No	
row_43	NEFH	NA	5334	0.10385151952505112	0.20457242	No	
row_44	FDXR	NA	5418	0.09990194439888	0.20397802	No	
row_45	CYLD	NA	5472	0.09696188569068909	0.20517465	No	
row_46	MGMT	NA	5593	0.09173137694597244	0.20181072	No	
row_47	CASP2	NA	5699	0.0873446986079216	0.19920371	No	
row_48	RARA	NA	5709	0.08684445917606354	0.20275134	No	
row_49	CDKN1B	NA	5750	0.08509576320648193	0.20422074	No	
row_50	DAP3	NA	5922	0.0773317962884903	0.19689026	No	
row_51	TGFBR3	NA	5938	0.07693557441234589	0.19958088	No	
row_52	IFNGR1	NA	6273	0.06214646250009537	0.18103838	No	
row_53	GADD45A	NA	6502	0.05263848975300789	0.16886605	No	
row_54	PDCD4	NA	6608	0.047886356711387634	0.164384	No	
row_55	ANKH	NA	6814	0.03900725021958351	0.15304415	No	
row_56	EREG	NA	6815	0.038930684328079224	0.15489413	No	
row_57	ATF3	NA	6838	0.03802589699625969	0.15528524	No	
row_58	GPX3	NA	6890	0.03555956482887268	0.15369275	No	
row_59	ERBB2	NA	7000	0.03040977567434311	0.14812277	No	
row_60	PLAT	NA	7047	0.029052117839455605	0.14654283	No	
row_61	BNIP3L	NA	7168	0.024141386151313782	0.13996704	No	
row_62	IGF2R	NA	7468	0.010751502588391304	0.1212348	No	
row_63	CCND1	NA	7652	0.0035342539194971323	0.10962517	No	
row_64	CASP7	NA	7959	-0.005420940462499857	0.090189114	No	
row_65	CASP9	NA	8132	-0.013075062073767185	0.07974081	No	
row_66	BCL10	NA	8391	-0.02345672994852066	0.06425102	No	
row_67	ERBB3	NA	8447	-0.025775669142603874	0.061936166	No	
row_68	ENO2	NA	8472	-0.026763882488012314	0.061663385	No	
row_69	HGF	NA	8519	-0.029105449095368385	0.06008599	No	
row_70	TIMP3	NA	8593	-0.03216676786541939	0.056916397	No	
row_71	PSEN1	NA	8606	-0.03283331170678139	0.057704333	No	
row_72	PAK1	NA	8680	-0.03648491948843002	0.054739937	No	
row_73	SPTAN1	NA	8923	-0.04670414701104164	0.041384596	No	
row_74	GSR	NA	8934	-0.04715526103973389	0.04298183	No	
row_75	CD44	NA	8943	-0.04756849259138107	0.044727415	No	
row_76	EMP1	NA	9046	-0.05252368003129959	0.040658787	No	
row_77	IRF1	NA	9169	-0.057198140770196915	0.03552512	No	
row_78	WEE1	NA	9202	-0.05864768102765083	0.036252588	No	
row_79	BCL2L11	NA	9228	-0.059386346489191055	0.03746567	No	
row_80	FAS	NA	9282	-0.061502449214458466	0.03697727	No	
row_81	CDC25B	NA	9867	-0.08581902831792831	0.0034701116	No	
row_82	ADD1	NA	9967	-0.08920340985059738	0.0013375778	No	
row_83	DNAJA1	NA	10014	-0.09076549112796783	0.0026902666	No	
row_84	FASLG	NA	10031	-0.09130208194255829	0.0059992047	No	
row_85	DFFA	NA	10102	-0.09398269653320312	0.005960175	No	
row_86	HMOX1	NA	10202	-0.09792421013116837	0.0042420533	No	
row_87	DDIT3	NA	10231	-0.09906085580587387	0.0071473876	No	
row_88	TOP2A	NA	10519	-0.11192390322685242	-0.0060048383	No	
row_89	SAT1	NA	10537	-0.11268144100904465	-0.0017443122	No	
row_90	RNASEL	NA	10612	-0.1154589056968689	-0.0010202271	No	
row_91	BRCA1	NA	10762	-0.12215597182512283	-0.0048047733	No	
