NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TFCP2L1	NA	614	0.4052397608757019	-0.015043522	No	
row_1	NEDD4	NA	1129	0.3343920409679413	-0.027928563	No	
row_2	NR3C2	NA	1289	0.3197518289089203	-0.018902773	No	
row_3	GNPAT	NA	1522	0.2992292046546936	-0.015798163	No	
row_4	SLC29A1	NA	1537	0.2979987859725952	0.001228326	No	
row_5	ABCA2	NA	2515	0.2333814799785614	-0.04745795	No	
row_6	ACSL1	NA	2897	0.2139817327260971	-0.059047166	No	
row_7	CROT	NA	3087	0.2052316665649414	-0.058836065	No	
row_8	AR	NA	3425	0.1893196851015091	-0.06908391	No	
row_9	NR1H4	NA	3539	0.18436464667320251	-0.0652487	No	
row_10	AMACR	NA	3652	0.1789700984954834	-0.06167379	No	
row_11	SULT2B1	NA	4119	0.15817339718341827	-0.08207712	No	
row_12	FDXR	NA	5418	0.09990194439888	-0.15940112	No	
row_13	PEX19	NA	5432	0.09914909303188324	-0.15427169	No	
row_14	OPTN	NA	5557	0.09322284907102585	-0.15662509	No	
row_15	PAOX	NA	5565	0.09290896356105804	-0.15148582	No	
row_16	LCK	NA	6243	0.06389281153678894	-0.19110683	No	
row_17	IDH2	NA	6623	0.047374483197927475	-0.21258944	No	
row_18	ABCA3	NA	6708	0.043943557888269424	-0.21533905	No	
row_19	PEX11A	NA	7270	0.01961575262248516	-0.25017607	No	
row_20	BMP6	NA	7539	0.00830191932618618	-0.26688263	No	
row_21	SLC35B2	NA	7994	-0.006771801970899105	-0.2956227	No	
row_22	NR0B2	NA	8033	-0.008522865362465382	-0.2975497	No	
row_23	BCAR3	NA	8174	-0.014519493095576763	-0.3056645	No	
row_24	DHCR24	NA	8656	-0.03541862592101097	-0.33441484	No	
row_25	ABCD2	NA	8713	-0.03770826756954193	-0.33574185	No	
row_26	ABCG4	NA	9145	-0.05615906044840813	-0.36003456	No	
row_27	SLC22A18	NA	9329	-0.06371288001537323	-0.36795092	No	
row_28	ABCA1	NA	9377	-0.06574441492557526	-0.3670137	No	
row_29	PEX6	NA	9495	-0.0706808790564537	-0.37027365	No	
row_30	MLYCD	NA	9606	-0.07531468570232391	-0.37280545	No	
row_31	RXRA	NA	9858	-0.08556666225194931	-0.38377294	No	
row_32	GCLM	NA	9883	-0.08663533627986908	-0.38010246	No	
row_33	ALDH1A1	NA	9933	-0.08816193789243698	-0.37794518	No	
row_34	EFHC1	NA	10002	-0.09047831594944	-0.3768684	No	
row_35	PNPLA8	NA	10113	-0.09451889246702194	-0.37824503	No	
row_36	RXRG	NA	10313	-0.10245490819215775	-0.3848582	No	
row_37	SLC23A1	NA	10435	-0.10786302387714386	-0.38613835	No	
row_38	PEX1	NA	10509	-0.1115485355257988	-0.38411513	No	
row_39	NUDT12	NA	10670	-0.11824099719524384	-0.3872749	Yes	
row_40	FADS2	NA	10684	-0.11877470463514328	-0.38096493	Yes	
row_41	RBP1	NA	10718	-0.12041317671537399	-0.37584046	Yes	
row_42	FADS1	NA	10771	-0.12248244881629944	-0.37181133	Yes	
row_43	PEX13	NA	10922	-0.12854158878326416	-0.37370944	Yes	
row_44	PEX11G	NA	10998	-0.1317029446363449	-0.3706023	Yes	
row_45	AGXT	NA	11102	-0.13567042350769043	-0.36905417	Yes	
row_46	ATXN1	NA	11192	-0.13991521298885345	-0.36635187	Yes	
row_47	GC	NA	11470	-0.15175117552280426	-0.37500745	Yes	
row_48	AKR1D1	NA	11769	-0.16733887791633606	-0.38407364	Yes	
row_49	NPC1	NA	11865	-0.1722748875617981	-0.37981004	Yes	
row_50	ABCG8	NA	12037	-0.18030577898025513	-0.37994266	Yes	
row_51	IDH1	NA	12043	-0.18069133162498474	-0.36939466	Yes	
row_52	GSTK1	NA	12281	-0.19266414642333984	-0.3730212	Yes	
row_53	APOA1	NA	12442	-0.2023105025291443	-0.37112397	Yes	
row_54	PEX16	NA	12676	-0.21407756209373474	-0.37320563	Yes	
row_55	BBOX1	NA	12911	-0.22710266709327698	-0.374568	Yes	
row_56	AQP9	NA	12932	-0.22820667922496796	-0.36212486	Yes	
row_57	ALDH9A1	NA	13089	-0.23707003891468048	-0.35787997	Yes	
row_58	LONP2	NA	13193	-0.24344241619110107	-0.3498491	Yes	
row_59	DIO2	NA	13244	-0.24643400311470032	-0.3382356	Yes	
row_60	PHYH	NA	13500	-0.261650413274765	-0.33886808	Yes	
row_61	ALDH8A1	NA	13554	-0.26453134417533875	-0.3263586	Yes	
row_62	HSD17B4	NA	13635	-0.27127957344055176	-0.3151766	Yes	
row_63	CH25H	NA	13830	-0.28348633646965027	-0.3105793	Yes	
row_64	IDI1	NA	13841	-0.2840604782104492	-0.29413444	Yes	
row_65	SLC23A2	NA	13921	-0.2890315353870392	-0.28182045	Yes	
row_66	HAO1	NA	13962	-0.2931830585002899	-0.26675287	Yes	
row_67	ABCA4	NA	14019	-0.2971801459789276	-0.25247207	Yes	
row_68	ABCD3	NA	14418	-0.33187317848205566	-0.25806126	Yes	
row_69	SCP2	NA	14641	-0.35524871945381165	-0.25094494	Yes	
row_70	PEX7	NA	14652	-0.35623180866241455	-0.2301588	Yes	
row_71	SOD1	NA	14656	-0.3566060960292816	-0.20890073	Yes	
row_72	GNMT	NA	14750	-0.3677356541156769	-0.19275132	Yes	
row_73	CAT	NA	14802	-0.3743952810764313	-0.17350486	Yes	
row_74	ACSL5	NA	14868	-0.3845062553882599	-0.15454902	Yes	
row_75	SLC27A2	NA	15016	-0.41116055846214294	-0.13925436	Yes	
row_76	DIO1	NA	15073	-0.4199099838733673	-0.1175911	Yes	
row_77	PEX12	NA	15171	-0.4387930631637573	-0.097424224	Yes	
row_78	ABCA5	NA	15217	-0.45143115520477295	-0.07315867	Yes	
row_79	HACL1	NA	15629	-0.7744964361190796	-0.052957688	Yes	
row_80	PECR	NA	15647	-0.9081451296806335	5.778895E-4	Yes	
