NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPX8	NA	30	0.7191768288612366	0.057307214	No	
row_1	PNRC1	NA	675	0.3943551480770111	0.048519112	No	
row_2	AVPR1A	NA	837	0.37011560797691345	0.06868433	No	
row_3	PDK3	NA	893	0.36249828338623047	0.095014475	No	
row_4	ANXA13	NA	1545	0.2974347472190857	0.077795714	No	
row_5	CD9	NA	1950	0.267411470413208	0.07393155	No	
row_6	ATXN2	NA	2052	0.2602890729904175	0.08889642	No	
row_7	NFIL3	NA	2070	0.25877538323402405	0.10911917	No	
row_8	ANXA5	NA	2288	0.24613551795482635	0.115485355	No	
row_9	ABCA2	NA	2515	0.2333814799785614	0.12022444	No	
row_10	PPARG	NA	3112	0.20373579859733582	0.09881316	No	
row_11	LPL	NA	3167	0.20095820724964142	0.111903355	No	
row_12	ACTG1	NA	3748	0.1748797595500946	0.08914081	No	
row_13	S100A11	NA	4463	0.14394204318523407	0.055243872	No	
row_14	LGALS3	NA	4687	0.13346101343631744	0.051946	No	
row_15	ERRFI1	NA	5802	0.08303016424179077	-0.01259865	No	
row_16	LGMN	NA	6149	0.06786274909973145	-0.029180609	No	
row_17	ATF3	NA	6838	0.03802589699625969	-0.0701345	No	
row_18	MAL2	NA	7032	0.029445543885231018	-0.08007648	No	
row_19	ANTXR2	NA	8095	-0.011254952289164066	-0.1472003	No	
row_20	ACSS2	NA	9380	-0.06581366807222366	-0.2240561	No	
row_21	STARD4	NA	9760	-0.08194451034069061	-0.2415929	No	
row_22	JAG1	NA	9981	-0.08977439999580383	-0.24829645	No	
row_23	ALDOC	NA	10097	-0.09389735758304596	-0.24793227	No	
row_24	GUSB	NA	10342	-0.10391125828027725	-0.2550094	No	
row_25	ALCAM	NA	10462	-0.10974988341331482	-0.25359598	No	
row_26	FADS2	NA	10684	-0.11877470463514328	-0.25797522	No	
row_27	NIBAN1	NA	11008	-0.1322343498468399	-0.26778188	No	
row_28	CTNNB1	NA	11488	-0.15282832086086273	-0.28588867	No	
row_29	HMGCR	NA	12449	-0.2027437686920166	-0.330706	Yes	
row_30	HMGCS1	NA	12665	-0.21327294409275055	-0.32691815	Yes	
row_31	FASN	NA	12861	-0.22428828477859497	-0.32094154	Yes	
row_32	DHCR7	NA	13181	-0.2429254651069641	-0.3213757	Yes	
row_33	ACAT2	NA	13234	-0.2459818571805954	-0.3044493	Yes	
row_34	SCD	NA	13262	-0.24751967191696167	-0.28579432	Yes	
row_35	TMEM97	NA	13643	-0.27164867520332336	-0.28777164	Yes	
row_36	CHKA	NA	13646	-0.27178215980529785	-0.26551652	Yes	
row_37	SC5D	NA	13824	-0.282841295003891	-0.25356424	Yes	
row_38	IDI1	NA	13841	-0.2840604782104492	-0.23119499	Yes	
row_39	LSS	NA	14027	-0.2979731559753418	-0.2185091	Yes	
row_40	SREBF2	NA	14033	-0.2988196611404419	-0.19421947	Yes	
row_41	SQLE	NA	14034	-0.29887741804122925	-0.16960469	Yes	
row_42	FDPS	NA	14222	-0.31510114669799805	-0.15563634	Yes	
row_43	GLDC	NA	14394	-0.32946211099624634	-0.13946001	Yes	
row_44	TP53INP1	NA	14570	-0.34881728887557983	-0.12194596	Yes	
row_45	PCYT2	NA	14725	-0.3642973303794861	-0.10181137	Yes	
row_46	MVK	NA	14811	-0.37570324540138245	-0.07631604	Yes	
row_47	HSD17B7	NA	14816	-0.37620624899864197	-0.045588974	Yes	
row_48	PMVK	NA	14905	-0.3917267620563507	-0.018966218	Yes	
row_49	CPEB2	NA	14961	-0.40081173181533813	0.010519318	Yes	
row_50	NSDHL	NA	15021	-0.41223636269569397	0.04068945	Yes	
