NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPARC	NA	140	0.5524513125419617	0.024047002	Yes	
row_1	CAPN5	NA	242	0.4966343641281128	0.047262195	Yes	
row_2	F2RL2	NA	274	0.48438963294029236	0.074244805	Yes	
row_3	F3	NA	509	0.42403092980384827	0.08456722	Yes	
row_4	VWF	NA	744	0.38169538974761963	0.092357196	Yes	
row_5	GDA	NA	769	0.3792040944099426	0.11349776	Yes	
row_6	MMP2	NA	815	0.3731217384338379	0.13292453	Yes	
row_7	F8	NA	841	0.3693854510784149	0.15341347	Yes	
row_8	WDR1	NA	1193	0.32813435792922974	0.15047829	Yes	
row_9	ITGA2	NA	1346	0.3137960433959961	0.15947792	Yes	
row_10	S100A13	NA	1647	0.28860148787498474	0.15745643	Yes	
row_11	FBN1	NA	1757	0.2811441123485565	0.16726707	Yes	
row_12	S100A1	NA	1760	0.2809205949306488	0.18394272	Yes	
row_13	GSN	NA	1801	0.27787619829177856	0.19799347	Yes	
row_14	P2RY1	NA	1900	0.2706679701805115	0.20788458	Yes	
row_15	CD9	NA	1950	0.267411470413208	0.22073078	Yes	
row_16	CTSH	NA	1967	0.26618003845214844	0.2356247	Yes	
row_17	TFPI2	NA	2042	0.26089733839035034	0.24647416	Yes	
row_18	PRSS23	NA	2112	0.2562418282032013	0.25736654	Yes	
row_19	DUSP14	NA	2281	0.24657967686653137	0.26131684	Yes	
row_20	ANXA1	NA	2326	0.24374529719352722	0.27306882	Yes	
row_21	DPP4	NA	2625	0.2277689278125763	0.26753697	Yes	
row_22	ISCU	NA	2700	0.2240993082523346	0.27618524	Yes	
row_23	PECAM1	NA	3404	0.19044478237628937	0.24238576	No	
row_24	C1QA	NA	3676	0.1777452975511551	0.23559727	No	
row_25	MSRB2	NA	3716	0.17604032158851624	0.24362065	No	
row_26	CTSE	NA	4011	0.16272810101509094	0.23445532	No	
row_27	PDGFB	NA	4504	0.1420237421989441	0.21132328	No	
row_28	ITGB3	NA	4734	0.13163451850414276	0.20447645	No	
row_29	PEF1	NA	5080	0.11631377041339874	0.1892562	No	
row_30	MMP11	NA	5112	0.11456548422574997	0.19411653	No	
row_31	A2M	NA	5799	0.08316444605588913	0.15499255	No	
row_32	MEP1A	NA	5909	0.07797790318727493	0.15265012	No	
row_33	MMP9	NA	6098	0.06980592012405396	0.14474043	No	
row_34	LGMN	NA	6149	0.06786274909973145	0.14558567	No	
row_35	COMP	NA	6541	0.051131218671798706	0.123509265	No	
row_36	CSRP1	NA	6744	0.042548663914203644	0.11306911	No	
row_37	PLAT	NA	7047	0.029052117839455605	0.09539323	No	
row_38	CRIP2	NA	7297	0.018539445474743843	0.080495544	No	
row_39	THBD	NA	7648	0.0036871288903057575	0.058216747	No	
row_40	CTSK	NA	7709	0.0012101934989914298	0.054432105	No	
row_41	ACOX2	NA	7724	2.6993820210918784E-4	0.053548276	No	
row_42	RAC1	NA	7825	-1.349214871879667E-4	0.04712796	No	
row_43	C8G	NA	7838	-6.388473557308316E-4	0.04639477	No	
row_44	CTSO	NA	7972	-0.005797829013317823	0.03819183	No	
row_45	CFH	NA	8046	-0.009298489429056644	0.034055326	No	
row_46	CASP9	NA	8132	-0.013075062073767185	0.029373327	No	
row_47	CTSB	NA	8148	-0.013577069155871868	0.029221227	No	
row_48	SERPING1	NA	8225	-0.01659241132438183	0.025328184	No	
row_49	FGG	NA	8244	-0.017242269590497017	0.025202477	No	
row_50	C9	NA	8315	-0.02040460892021656	0.021923177	No	
row_51	THBS1	NA	8354	-0.022171031683683395	0.020806625	No	
row_52	FGA	NA	8369	-0.022704506292939186	0.021264797	No	
row_53	TIMP3	NA	8593	-0.03216676786541939	0.008853657	No	
row_54	GP1BA	NA	8635	-0.03419331833720207	0.008263407	No	
row_55	PLAU	NA	8932	-0.04710479825735092	-0.007946888	No	
row_56	HMGCS2	NA	8970	-0.04893973842263222	-0.007397895	No	
row_57	CPQ	NA	9019	-0.05124906450510025	-0.007417885	No	
row_58	MMP15	NA	9101	-0.054542649537324905	-0.009362226	No	
