NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINH1	NA	20	0.7503283619880676	0.020522961	Yes	
row_1	TGM2	NA	81	0.6118505001068115	0.03443768	Yes	
row_2	SPARC	NA	140	0.5524513125419617	0.046754614	Yes	
row_3	FSTL3	NA	144	0.550103485584259	0.062553965	Yes	
row_4	LUM	NA	203	0.5148105025291443	0.07377658	Yes	
row_5	COL6A2	NA	287	0.4805023968219757	0.08238781	Yes	
row_6	MATN2	NA	398	0.44601428508758545	0.08825332	Yes	
row_7	ECM2	NA	431	0.4389874339103699	0.09895005	Yes	
row_8	COL1A1	NA	456	0.4354034662246704	0.110059045	Yes	
row_9	COL16A1	NA	489	0.4275094270706177	0.12042207	Yes	
row_10	IGFBP3	NA	575	0.4114688038825989	0.1268972	Yes	
row_11	JUN	NA	578	0.4109252989292145	0.13871482	Yes	
row_12	COL6A3	NA	645	0.39960992336273193	0.14607176	Yes	
row_13	COL4A2	NA	651	0.3986210525035858	0.157338	Yes	
row_14	SGCG	NA	695	0.3904520273208618	0.16591352	Yes	
row_15	FBLN2	NA	721	0.385721892118454	0.17551358	Yes	
row_16	VCAN	NA	722	0.38545292615890503	0.18671976	Yes	
row_17	COL4A1	NA	780	0.3782064616680145	0.19403547	Yes	
row_18	MMP2	NA	815	0.3731217384338379	0.20268819	Yes	
row_19	PCOLCE2	NA	871	0.3647739589214325	0.2097425	Yes	
row_20	COL1A2	NA	954	0.35487377643585205	0.21476592	Yes	
row_21	COL3A1	NA	956	0.3543752133846283	0.22500403	Yes	
row_22	NT5E	NA	1034	0.3452182114124298	0.23006953	Yes	
row_23	SGCB	NA	1047	0.3435804545879364	0.23928367	Yes	
row_24	FAP	NA	1178	0.32934799790382385	0.2404662	Yes	
row_25	EDIL3	NA	1232	0.32497596740722656	0.2464926	Yes	
row_26	ITGA2	NA	1346	0.3137960433959961	0.24832049	Yes	
row_27	DCN	NA	1451	0.3047773241996765	0.25046718	Yes	
row_28	MFAP5	NA	1491	0.3012773394584656	0.2567084	Yes	
row_29	GAS1	NA	1523	0.2991754710674286	0.26340497	Yes	
row_30	CCN1	NA	1556	0.29662197828292847	0.26996273	Yes	
row_31	ANPEP	NA	1620	0.2909378111362457	0.27435395	Yes	
row_32	WNT5A	NA	1665	0.28756996989250183	0.27987388	Yes	
row_33	IL6	NA	1714	0.28357207775115967	0.28501934	Yes	
row_34	FMOD	NA	1752	0.2815355062484741	0.2908157	Yes	
row_35	FBN1	NA	1757	0.2811441123485565	0.29873112	Yes	
row_36	FBN2	NA	1923	0.2691745460033417	0.29590473	Yes	
row_37	COL5A2	NA	1969	0.26612475514411926	0.3007366	Yes	
row_38	MSX1	NA	2006	0.26314419507980347	0.30606285	Yes	
row_39	TPM2	NA	2007	0.26311177015304565	0.31371224	Yes	
row_40	TFPI2	NA	2042	0.26089733839035034	0.3191023	Yes	
row_41	NID2	NA	2196	0.2512466609477997	0.31652936	Yes	
row_42	LGALS1	NA	2204	0.2507320046424866	0.32336694	Yes	
row_43	SGCD	NA	2310	0.24444644153118134	0.3236951	Yes	
row_44	SPOCK1	NA	2450	0.23657365143299103	0.32159942	Yes	
row_45	PRRX1	NA	2474	0.23517096042633057	0.32695165	Yes	
row_46	GEM	NA	2475	0.23510268330574036	0.33378676	Yes	
row_47	CAP2	NA	2530	0.23262476921081543	0.33706367	Yes	
row_48	SLC6A8	NA	2544	0.23188704252243042	0.34296602	Yes	
row_49	TPM1	NA	2551	0.2313465178012848	0.34930456	Yes	
row_50	LOX	NA	2735	0.22198927402496338	0.3439443	Yes	
row_51	ACTA2	NA	2744	0.22153833508491516	0.3498686	Yes	
row_52	TNC	NA	2752	0.22123974561691284	0.35584873	Yes	
row_53	VEGFA	NA	2831	0.2174275517463684	0.35713443	Yes	
row_54	FBLN5	NA	3092	0.20488542318344116	0.346306	Yes	
row_55	CALD1	NA	3117	0.20352515578269958	0.35067365	Yes	
row_56	ITGB1	NA	3237	0.1982877254486084	0.34875605	Yes	
row_57	FGF2	NA	3286	0.196000874042511	0.35135555	Yes	
row_58	PMP22	NA	3476	0.18736672401428223	0.34460142	Yes	
row_59	ECM1	NA	3519	0.18515925109386444	0.34727308	Yes	
row_60	TNFRSF11B	NA	3557	0.18382012844085693	0.3502286	Yes	
row_61	ABI3BP	NA	3561	0.18360750377178192	0.3553729	Yes	
row_62	LAMC2	NA	3582	0.18286408483982086	0.3593981	Yes	
row_63	LOXL1	NA	3646	0.17915157973766327	0.3605394	Yes	
row_64	THY1	NA	3772	0.17389239370822906	0.3575252	Yes	
row_65	THBS2	NA	3826	0.1710602343082428	0.35907683	Yes	
row_66	QSOX1	NA	3836	0.1707310974597931	0.36345944	Yes	
row_67	GPC1	NA	3903	0.16746968030929565	0.36406744	Yes	
