NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AADAT	NA	174	0.5304769277572632	0.013260762	No	
row_1	UROS	NA	568	0.4129565358161926	0.0070105745	No	
row_2	MCEE	NA	824	0.37224459648132324	0.0077636694	No	
row_3	ACAA2	NA	981	0.3509587049484253	0.013906033	No	
row_4	GAD2	NA	1185	0.3288313150405884	0.016003758	No	
row_5	LTC4S	NA	1266	0.32216009497642517	0.025708964	No	
row_6	CA6	NA	1331	0.3149283230304718	0.036110353	No	
row_7	HSDL2	NA	1402	0.308467298746109	0.04582775	No	
row_8	NBN	NA	1719	0.283265084028244	0.038553085	No	
row_9	ECHS1	NA	1814	0.2774263918399811	0.04529494	No	
row_10	ECI1	NA	1818	0.2772359848022461	0.057883874	No	
row_11	G0S2	NA	2106	0.25684621930122375	0.051257316	No	
row_12	LGALS1	NA	2204	0.2507320046424866	0.056575377	No	
row_13	CPT2	NA	2324	0.24388593435287476	0.060162093	No	
row_14	CRAT	NA	2381	0.23977474868297577	0.06761332	No	
row_15	IL4I1	NA	2469	0.235631063580513	0.07287865	No	
row_16	ACADL	NA	2477	0.23495306074619293	0.08326073	No	
row_17	IDH3B	NA	2636	0.22731837630271912	0.083573945	No	
row_18	MDH2	NA	2672	0.2255062758922577	0.09171867	No	
row_19	DLST	NA	2766	0.2204451709985733	0.09589776	No	
row_20	ETFDH	NA	2813	0.21832811832427979	0.10300369	No	
row_21	ACSL1	NA	2897	0.2139817327260971	0.10752827	No	
row_22	ACADS	NA	2918	0.21311089396476746	0.11606676	No	
row_23	SERINC1	NA	2922	0.21277646720409393	0.12568378	No	
row_24	FH	NA	3020	0.20866061747074127	0.12906215	No	
row_25	BPHL	NA	3168	0.20093876123428345	0.12886697	No	
row_26	ACO2	NA	3290	0.19563926756381989	0.13010058	No	
row_27	SDHA	NA	3394	0.1909462958574295	0.13227612	No	
row_28	PTS	NA	3488	0.18662796914577484	0.13489605	No	
row_29	SDHC	NA	3508	0.18560299277305603	0.14223064	No	
row_30	CPOX	NA	3935	0.16595660150051117	0.12246895	No	
row_31	HADH	NA	4014	0.16265586018562317	0.124948904	No	
row_32	SUCLA2	NA	4043	0.16130943596363068	0.13058428	No	
row_33	SDHD	NA	4323	0.14968450367450714	0.119531825	No	
row_34	SUCLG1	NA	4362	0.14807067811489105	0.12391333	No	
row_35	SMS	NA	4671	0.13419871032238007	0.11028075	No	
row_36	MGLL	NA	4829	0.12791354954242706	0.10607526	No	
row_37	DLD	NA	5119	0.11440412700176239	0.092752695	No	
row_38	DECR1	NA	5182	0.1107390969991684	0.09386863	No	
row_39	ODC1	NA	5569	0.09276914596557617	0.07330663	No	
row_40	RAP1GDS1	NA	6172	0.06684526801109314	0.03764979	No	
row_41	D2HGDH	NA	6464	0.05455636978149414	0.021439247	No	
row_42	PPARA	NA	6959	0.03261015564203262	-0.008846194	No	
row_43	ELOVL5	NA	6979	0.03140537440776825	-0.008620898	No	
row_44	PRDX6	NA	7008	0.030204039067029953	-0.009030141	No	
row_45	CD36	NA	7060	0.028824932873249054	-0.010983019	No	
row_46	AUH	NA	7075	0.028383629396557808	-0.010575291	No	
row_47	YWHAH	NA	7193	0.022884489968419075	-0.017049158	No	
row_48	UBE2L6	NA	7247	0.020506776869297028	-0.019514244	No	
row_49	PDHB	NA	7375	0.01578376814723015	-0.026958993	No	
row_50	PDHA1	NA	7384	0.015314463526010513	-0.026767718	No	
row_51	SUCLG2	NA	7516	0.008813595399260521	-0.034791227	No	
row_52	HIBCH	NA	7529	0.008465766906738281	-0.03517311	No	
row_53	REEP6	NA	7576	0.006919607054442167	-0.037814185	No	
row_54	CA4	NA	8147	-0.013564711436629295	-0.07386832	No	
row_55	TP53INP2	NA	8173	-0.014474311843514442	-0.07480974	No	
row_56	MDH1	NA	8298	-0.019483333453536034	-0.081890866	No	
row_57	FABP1	NA	8334	-0.021215764805674553	-0.08316496	No	
row_58	HPGD	NA	8363	-0.022554531693458557	-0.08392689	No	
row_59	ENO2	NA	8472	-0.026763882488012314	-0.08964274	No	
row_60	GABARAPL1	NA	8486	-0.027733514085412025	-0.08920064	No	
row_61	ALAD	NA	8623	-0.03367520123720169	-0.09639965	No	
row_62	DHCR24	NA	8656	-0.03541862592101097	-0.096825875	No	
row_63	HMGCS2	NA	8970	-0.04893973842263222	-0.114711076	No	
row_64	UROD	NA	9199	-0.058623552322387695	-0.12668005	No	
