NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MNAT1	NA	356	0.4586603343486786	-0.0049894517	No	
row_1	AMD1	NA	664	0.39665791392326355	-0.009247895	No	
row_2	ILF3	NA	1170	0.3296765387058258	-0.028920608	No	
row_3	RPS6KA5	NA	1461	0.3038853108882904	-0.035721928	No	
row_4	SLC12A2	NA	1887	0.2720074951648712	-0.052491773	No	
row_5	HMGA1	NA	2305	0.24479493498802185	-0.069812916	No	
row_6	SYNCRIP	NA	2961	0.21119028329849243	-0.10382151	No	
row_7	RASAL2	NA	3005	0.20911471545696259	-0.098391995	No	
row_8	TOP1	NA	3204	0.1993907392024994	-0.10335311	No	
row_9	PRPF4B	NA	3334	0.19350606203079224	-0.10408952	No	
row_10	NSD2	NA	3362	0.19210752844810486	-0.09829422	No	
row_11	SAP30	NA	3460	0.1881438046693802	-0.097174674	No	
row_12	MAPK14	NA	3634	0.1795896589756012	-0.10129848	No	
row_13	CUL4A	NA	3734	0.1754382848739624	-0.10080668	No	
row_14	MYC	NA	3776	0.1735578030347824	-0.096643366	No	
row_15	HMGB3	NA	3786	0.17318391799926758	-0.09042834	No	
row_16	ARID4A	NA	3794	0.17296861112117767	-0.08409261	No	
row_17	SRSF1	NA	3802	0.1724124252796173	-0.07777871	No	
row_18	SLC38A1	NA	3839	0.17054027318954468	-0.073410936	No	
row_19	NCL	NA	3905	0.16739420592784882	-0.07103928	No	
row_20	DTYMK	NA	4048	0.16112647950649261	-0.07388582	No	
row_21	HIF1A	NA	4637	0.13578112423419952	-0.10652719	No	
row_22	MAP3K20	NA	4639	0.135609969496727	-0.101270065	No	
row_23	HOXC10	NA	4697	0.13317736983299255	-0.09972457	No	
row_24	TACC3	NA	4809	0.12849582731723785	-0.10184982	No	
row_25	CDKN2C	NA	4819	0.12827537953853607	-0.09739712	No	
row_26	HNRNPD	NA	5005	0.11992829293012619	-0.10463709	No	
row_27	ATRX	NA	5268	0.10703087598085403	-0.117355414	No	
row_28	HNRNPU	NA	5463	0.09736424684524536	-0.12606202	No	
row_29	ODC1	NA	5569	0.09276914596557617	-0.12920183	No	
row_30	SLC7A1	NA	5605	0.09126359969377518	-0.12788051	No	
row_31	CDKN1B	NA	5750	0.08509576320648193	-0.13383985	No	
row_32	CUL3	NA	5859	0.08057163655757904	-0.13765204	No	
