NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMM2	NA	216	0.5085002183914185	0.0023582836	No	
row_1	CAPN5	NA	242	0.4966343641281128	0.01666358	No	
row_2	CHST1	NA	441	0.43819886445999146	0.017930204	No	
row_3	ME2	NA	453	0.43593063950538635	0.031193314	No	
row_4	AK3	NA	483	0.42863526940345764	0.043060843	No	
row_5	IGFBP3	NA	575	0.4114688038825989	0.05037658	No	
row_6	VCAN	NA	722	0.38545292615890503	0.053308655	No	
row_7	PYGB	NA	800	0.37520161271095276	0.06036548	No	
row_8	PDK3	NA	893	0.36249828338623047	0.066047005	No	
row_9	NT5E	NA	1034	0.3452182114124298	0.06807667	No	
row_10	KDELR3	NA	1240	0.32429203391075134	0.065240405	No	
row_11	DCN	NA	1451	0.3047773241996765	0.06145592	No	
row_12	ARTN	NA	1562	0.2963457703590393	0.06385529	No	
row_13	ABCB6	NA	1629	0.2899286150932312	0.068888776	No	
row_14	VLDLR	NA	1756	0.28132763504981995	0.069774106	No	
row_15	MPI	NA	1912	0.2697008550167084	0.06841507	No	
row_16	RARS1	NA	1926	0.26887521147727966	0.0761944	No	
row_17	CACNA1H	NA	2174	0.2521953880786896	0.068336464	No	
row_18	SRD5A3	NA	2182	0.25185835361480713	0.0759576	No	
row_19	GOT2	NA	2393	0.23907805979251862	0.07006723	No	
row_20	ERO1A	NA	2433	0.23731444776058197	0.07515686	No	
row_21	GOT1	NA	2658	0.22597363591194153	0.06794288	No	
row_22	PKM	NA	2660	0.22587856650352478	0.07511851	No	
row_23	MDH2	NA	2672	0.2255062758922577	0.08163681	No	
row_24	VEGFA	NA	2831	0.2174275517463684	0.07840861	No	
row_25	GCLC	NA	2871	0.21539035439491272	0.08279549	No	
row_26	HAX1	NA	2886	0.21433646976947784	0.088762134	No	
row_27	MXI1	NA	3067	0.2062608152627945	0.0837561	No	
row_28	PRPS1	NA	3155	0.2014329582452774	0.08459763	No	
row_29	TPST1	NA	3277	0.1964544951915741	0.083085194	No	
row_30	SAP30	NA	3460	0.1881438046693802	0.07736936	No	
row_31	SDHC	NA	3508	0.18560299277305603	0.08028514	No	
row_32	FAM162A	NA	3752	0.17457395792007446	0.07019734	No	
row_33	AGL	NA	3765	0.17403897643089294	0.07500139	No	
row_34	NDUFV3	NA	3803	0.1723649799823761	0.07813825	No	
row_35	QSOX1	NA	3836	0.1707310974597931	0.08154545	No	
row_36	GPC1	NA	3903	0.16746968030929565	0.08265371	No	
row_37	B4GALT2	NA	3927	0.16618511080741882	0.08649606	No	
