NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLI1	NA	207	0.5123100280761719	0.06385458	Yes	
row_1	DPYSL2	NA	600	0.40682119131088257	0.09999217	Yes	
row_2	CNTFR	NA	801	0.3751462399959564	0.14365143	Yes	
row_3	NRP2	NA	813	0.3736311197280884	0.19917943	Yes	
row_4	OPHN1	NA	1415	0.3072974383831024	0.20696169	Yes	
row_5	SLIT1	NA	1691	0.28532636165618896	0.2323026	Yes	
row_6	VLDLR	NA	1756	0.28132763504981995	0.2705466	Yes	
row_7	PTCH1	NA	2819	0.218156635761261	0.23540713	Yes	
row_8	VEGFA	NA	2831	0.2174275517463684	0.26742625	Yes	
row_9	HEY1	NA	3289	0.19564540684223175	0.2676213	Yes	
row_10	LDB1	NA	3431	0.1892121136188507	0.28707343	Yes	
row_11	THY1	NA	3772	0.17389239370822906	0.2914831	Yes	
row_12	RASA1	NA	5028	0.1186101958155632	0.22900899	No	
row_13	RTN1	NA	5280	0.10649855434894562	0.22897215	No	
row_14	HEY2	NA	5783	0.08377418667078018	0.20945023	No	
row_15	NRCAM	NA	6199	0.06558148562908173	0.19275865	No	
row_16	MYH9	NA	6479	0.05371201038360596	0.18298523	No	
row_17	ETS2	NA	7292	0.018746783956885338	0.13383533	No	
row_18	AMOT	NA	7359	0.016262954100966454	0.13205867	No	
row_19	SHH	NA	8064	-0.009944715537130833	0.08849647	No	
row_20	CDK6	NA	8590	-0.03205140307545662	0.059718106	No	
row_21	PML	NA	9011	-0.050699565559625626	0.040466744	No	
row_22	SCG2	NA	10279	-0.10073409974575043	-0.02546581	No	
row_23	PLG	NA	10635	-0.11649605631828308	-0.030654434	No	
row_24	NRP1	NA	10775	-0.12254104018211365	-0.021108393	No	
row_25	UNC5C	NA	11419	-0.14918257296085358	-0.039810825	No	
row_26	CRMP1	NA	11843	-0.17127564549446106	-0.041107316	No	
row_27	NKX6-1	NA	12614	-0.2104463428258896	-0.05871798	No	
row_28	CDK5R1	NA	12661	-0.21318957209587097	-0.02957682	No	
row_29	NF1	NA	14326	-0.3230704069137573	-0.08745705	No	
row_30	TLE3	NA	14384	-0.3283683955669403	-0.04168535	No	
row_31	CELSR1	NA	14964	-0.40140077471733093	-0.018332303	No	
row_32	TLE1	NA	15050	-0.4156709313392639	0.03878645	No	
