NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACKR1	NA	34	0.7003583312034607	0.022697756	Yes	
row_1	ENDOD1	NA	42	0.6799631118774414	0.04641161	Yes	
row_2	EIF2AK1	NA	153	0.5466339588165283	0.05874578	Yes	
row_3	SLC4A1	NA	160	0.5418734550476074	0.07761654	Yes	
row_4	SNCA	NA	230	0.5024843811988831	0.09102531	Yes	
row_5	RNF123	NA	348	0.4617532789707184	0.09989154	Yes	
row_6	ASNS	NA	544	0.4173160791397095	0.102149196	Yes	
row_7	UROS	NA	568	0.4129565358161926	0.115342245	Yes	
row_8	RAP1GAP	NA	618	0.40397438406944275	0.12653963	Yes	
row_9	CAST	NA	698	0.3893149793148041	0.13528168	Yes	
row_10	FBXO34	NA	904	0.36089593172073364	0.13488942	Yes	
row_11	RBM5	NA	953	0.3550424575805664	0.14441231	Yes	
row_12	MFHAS1	NA	964	0.35298824310302734	0.15631236	Yes	
row_13	TAL1	NA	1200	0.3269161880016327	0.15277815	Yes	
row_14	SLC2A1	NA	1236	0.324660062789917	0.16205949	Yes	
row_15	MBOAT2	NA	1597	0.2927486300468445	0.14925115	Yes	
row_16	ABCB6	NA	1629	0.2899286150932312	0.15755607	Yes	
row_17	BTG2	NA	1634	0.289602130651474	0.16759034	Yes	
row_18	NARF	NA	1762	0.2809017598628998	0.16938451	Yes	
row_19	EPB41	NA	1846	0.27504679560661316	0.17380767	Yes	
row_20	RCL1	NA	2152	0.2536315619945526	0.16315547	Yes	
row_21	SEC14L1	NA	2261	0.24740779399871826	0.16498439	Yes	
row_22	ADD2	NA	2307	0.24474549293518066	0.17078087	Yes	
row_23	HTRA2	NA	2408	0.23857636749744415	0.17281176	Yes	
row_24	PPOX	NA	2520	0.2330976277589798	0.17393868	Yes	
row_25	SLC6A8	NA	2544	0.23188704252243042	0.1806967	Yes	
row_26	LMO2	NA	2562	0.2305978387594223	0.18779579	Yes	
row_27	ATG4A	NA	2565	0.23038657009601593	0.19585453	Yes	
row_28	RBM38	NA	2573	0.23014844954013824	0.20358242	Yes	
row_29	ABCG2	NA	2666	0.22581543028354645	0.20567563	Yes	
row_30	SLC25A37	NA	2755	0.22097724676132202	0.20785482	Yes	
row_31	GCLC	NA	2871	0.21539035439491272	0.20809454	Yes	
row_32	RHAG	NA	2885	0.2143668830394745	0.21487468	Yes	
row_33	MXI1	NA	3067	0.2062608152627945	0.21053435	Yes	
row_34	UBAC1	NA	3141	0.2023354321718216	0.21301821	Yes	
row_35	TOP1	NA	3204	0.1993907392024994	0.21610667	Yes	
row_36	TNS1	NA	3462	0.18811506032943726	0.20622107	Yes	
row_37	GYPC	NA	3570	0.18330514430999756	0.20583633	Yes	
row_38	ANK1	NA	3572	0.1832316666841507	0.21228372	Yes	
row_39	TMCC2	NA	3735	0.17543694376945496	0.20807302	Yes	
row_40	TRAK2	NA	3758	0.17442142963409424	0.21285325	Yes	
row_41	VEZF1	NA	3760	0.17436917126178741	0.21898568	Yes	
row_42	FBXO9	NA	3782	0.17325347661972046	0.22378889	Yes	
row_43	CPOX	NA	3935	0.16595660150051117	0.21988605	Yes	
row_44	MKRN1	NA	3946	0.1654176414012909	0.22512004	Yes	
row_45	CTSE	NA	4011	0.16272810101509094	0.2267766	Yes	
row_46	FECH	NA	4013	0.16267380118370056	0.23249339	Yes	
row_47	TFDP2	NA	4083	0.15945588052272797	0.23371126	Yes	
row_48	PIGQ	NA	4086	0.15937525033950806	0.23924634	Yes	
row_49	HEBP1	NA	4312	0.15003031492233276	0.23007056	No	
row_50	TNRC6B	NA	4425	0.1457485556602478	0.2280287	No	
row_51	FOXJ2	NA	4721	0.1320609301328659	0.2137008	No	
row_52	FOXO3	NA	4808	0.12851539254188538	0.21272294	No	
row_53	IGSF3	NA	4830	0.12791289389133453	0.21591479	No	
row_54	SMOX	NA	4853	0.12723477184772491	0.21901804	No	
row_55	KEL	NA	4872	0.12645424902439117	0.22235149	No	
row_56	ARHGEF12	NA	4975	0.1211407333612442	0.22007988	No	
row_57	ISCA1	NA	5107	0.11502862721681595	0.21572118	No	
row_58	GLRX5	NA	5202	0.10989678651094437	0.2135658	No	
row_59	GDE1	NA	5385	0.10168156772851944	0.20544434	No	
row_60	SDCBP	NA	5475	0.0969003438949585	0.20314947	No	
row_61	OPTN	NA	5557	0.09322284907102585	0.20123975	No	
row_62	USP15	NA	5641	0.08997595310211182	0.19908567	No	
row_63	MARK3	NA	5739	0.08565592765808105	0.19587536	No	
row_64	EZH1	NA	5820	0.08225126564502716	0.19364019	No	
row_65	BPGM	NA	6111	0.0692371055483818	0.17740199	No	
row_66	YPEL5	NA	6114	0.06919605284929276	0.17973219	No	
row_67	MARCHF2	NA	6184	0.06624726951122284	0.17763752	No	
row_68	RANBP10	NA	6210	0.06533092260360718	0.17834735	No	
row_69	PICALM	NA	6230	0.0642704889178276	0.17940636	No	
row_70	AGPAT4	NA	6372	0.058557093143463135	0.17239593	No	
row_71	DCAF10	NA	6417	0.05671771243214607	0.17157456	No	
row_72	SYNJ1	NA	6552	0.050575029104948044	0.1647318	No	
row_73	RNF19A	NA	6606	0.047978468239307404	0.16301954	No	
row_74	SLC22A4	NA	6677	0.04513941705226898	0.16011024	No	
row_75	OSBP2	NA	6860	0.03691529482603073	0.14968705	No	
row_76	PDZK1IP1	NA	6869	0.036629222333431244	0.15047298	No	
row_77	MPP1	NA	7122	0.026122158393263817	0.13515271	No	
row_78	BNIP3L	NA	7168	0.024141386151313782	0.13310912	No	
row_79	ARL2BP	NA	7223	0.021577566862106323	0.13039412	No	
row_80	HAGH	NA	7411	0.013796473853290081	0.11882692	No	
row_81	SLC7A11	NA	7575	0.006999161094427109	0.108565636	No	
row_82	ACSL6	NA	7839	-6.620438070967793E-4	0.09163126	No	
row_83	MOSPD1	NA	7963	-0.005504552274942398	0.08389601	No	
row_84	CTSB	NA	8148	-0.013577069155871868	0.07251445	No	
row_85	HTATIP2	NA	8179	-0.0147372642531991	0.07110383	No	
row_86	NCOA4	NA	8308	-0.02020338922739029	0.06356857	No	
row_87	CTNS	NA	8370	-0.02274937555193901	0.060443863	No	
row_88	SLC30A10	NA	8602	-0.0325581394135952	0.046706367	No	
row_89	ALAD	NA	8623	-0.03367520123720169	0.046613578	No	
