NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGM2	NA	81	0.6118505001068115	0.015187187	Yes	
row_1	PLIN2	NA	231	0.5024089813232422	0.02233395	Yes	
row_2	IDS	NA	283	0.4808909595012665	0.03508777	Yes	
row_3	HOXB9	NA	303	0.47665736079216003	0.049765654	Yes	
row_4	WSB1	NA	336	0.4637713134288788	0.06317454	Yes	
row_5	F3	NA	509	0.42403092980384827	0.0662217	Yes	
row_6	IGFBP3	NA	575	0.4114688038825989	0.0757556	Yes	
row_7	JUN	NA	578	0.4109252989292145	0.08933746	Yes	
row_8	PNRC1	NA	675	0.3943551480770111	0.09629958	Yes	
row_9	BRS3	NA	771	0.3788973093032837	0.10281047	Yes	
row_10	PIM1	NA	836	0.37012383341789246	0.1110294	Yes	
row_11	CHST3	NA	875	0.36431971192359924	0.12073274	Yes	
row_12	PDK3	NA	893	0.36249828338623047	0.13173066	Yes	
row_13	SLC2A1	NA	1236	0.324660062789917	0.120490216	Yes	
row_14	KDELR3	NA	1240	0.32429203391075134	0.13111693	Yes	
row_15	ATP7A	NA	1283	0.32063862681388855	0.13910463	Yes	
row_16	SCARB1	NA	1302	0.318949431180954	0.14858498	Yes	
row_17	DCN	NA	1451	0.3047773241996765	0.1492021	Yes	
row_18	SRPX	NA	1554	0.2968592941761017	0.15252392	Yes	
row_19	CCN1	NA	1556	0.29662197828292847	0.16235647	Yes	
row_20	INHA	NA	1588	0.2939627170562744	0.17016406	Yes	
row_21	IL6	NA	1714	0.28357207775115967	0.1715581	Yes	
row_22	VLDLR	NA	1756	0.28132763504981995	0.1782987	Yes	
row_23	FOSL2	NA	2032	0.2616097927093506	0.16927877	Yes	
row_24	CAV1	NA	2069	0.2590014934539795	0.17559715	Yes	
row_25	NFIL3	NA	2070	0.25877538323402405	0.18423145	Yes	
row_26	AKAP12	NA	2123	0.25562551617622375	0.18940452	Yes	
row_27	CDKN1A	NA	2193	0.25130829215049744	0.19333634	Yes	
row_28	BCL2	NA	2391	0.2392151653766632	0.1886034	Yes	
row_29	ERO1A	NA	2433	0.23731444776058197	0.19387545	Yes	
row_30	CAVIN1	NA	2533	0.2325437366962433	0.19524494	Yes	
row_31	ACKR3	NA	2550	0.23135539889335632	0.20193169	Yes	
row_32	TIPARP	NA	2723	0.22265982627868652	0.19825989	Yes	
row_33	LOX	NA	2735	0.22198927402496338	0.20495684	Yes	
row_34	VEGFA	NA	2831	0.2174275517463684	0.20608012	Yes	
row_35	STBD1	NA	2851	0.21619750559329987	0.2120675	Yes	
row_36	LARGE1	NA	2957	0.21137596666812897	0.21234345	Yes	
row_37	ADM	NA	2986	0.20979349315166473	0.21753629	Yes	
row_38	PGM1	NA	3057	0.20681940019130707	0.21991915	Yes	
row_39	MXI1	NA	3067	0.2062608152627945	0.22622037	Yes	
row_40	CCNG2	NA	3094	0.2048630267381668	0.23137777	Yes	
row_41	PHKG1	NA	3309	0.19466909766197205	0.22406131	No	
row_42	SAP30	NA	3460	0.1881438046693802	0.22065775	No	
row_43	FAM162A	NA	3752	0.17457395792007446	0.20770112	No	
row_44	GPC1	NA	3903	0.16746968030929565	0.20360775	No	
row_45	SULT2B1	NA	4119	0.15817339718341827	0.19500904	No	
row_46	SDC4	NA	4164	0.15639422833919525	0.19738747	No	
row_47	PPARGC1A	NA	4394	0.14686153829097748	0.18750775	No	
row_48	PDGFB	NA	4504	0.1420237421989441	0.18521154	No	
row_49	SDC3	NA	4547	0.14002986252307892	0.18717305	No	
row_50	CASP6	NA	4548	0.13999763131141663	0.19184421	No	
row_51	CSRP2	NA	4604	0.13719458878040314	0.19287209	No	
row_52	DUSP1	NA	4626	0.13619966804981232	0.19606116	No	
row_53	DDIT4	NA	4754	0.1307462453842163	0.19222693	No	
row_54	FOXO3	NA	4808	0.12851539254188538	0.1930943	No	
row_55	CCN2	NA	5012	0.11965086311101913	0.18398473	No	
row_56	FOS	NA	5057	0.1175057664513588	0.18506561	No	
row_57	NEDD4L	NA	5195	0.11022215336561203	0.17990115	No	
row_58	COL5A1	NA	5386	0.1016755923628807	0.17103085	No	
row_59	BTG1	NA	5495	0.09609197080135345	0.16726662	No	
row_60	SIAH2	NA	5695	0.08764548599720001	0.15734732	No	
row_61	KLHL24	NA	5744	0.08537176251411438	0.15709786	No	
row_62	CDKN1B	NA	5750	0.08509576320648193	0.15961446	No	
row_63	ERRFI1	NA	5802	0.08303016424179077	0.15909326	No	
row_64	NDST1	NA	5886	0.0794568881392479	0.15638751	No	
row_65	PKP1	NA	6017	0.07320864498615265	0.15043984	No	
