NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOCS3	NA	268	0.48743095993995667	0.031761203	Yes	
row_1	PIK3R5	NA	412	0.4432933032512665	0.067103565	Yes	
row_2	ACVRL1	NA	571	0.4123513698577881	0.09837766	Yes	
row_3	JUN	NA	578	0.4109252989292145	0.13925216	Yes	
row_4	CNTFR	NA	801	0.3751462399959564	0.16268808	Yes	
row_5	PIM1	NA	836	0.37012383341789246	0.19767101	Yes	
row_6	TNFRSF21	NA	1492	0.3012661933898926	0.18593258	Yes	
row_7	CD38	NA	1510	0.2999739944934845	0.21496184	Yes	
row_8	IL6	NA	1714	0.28357207775115967	0.23042119	Yes	
row_9	CD9	NA	1950	0.267411470413208	0.24220663	Yes	
row_10	PDGFC	NA	2020	0.2621558606624603	0.2641054	Yes	
row_11	CSF3R	NA	2139	0.2546621263027191	0.28211075	Yes	
row_12	OSMR	NA	2561	0.23067618906497955	0.2782847	No	
row_13	HAX1	NA	2886	0.21433646976947784	0.27903602	No	
row_14	IL2RA	NA	4097	0.1589752584695816	0.21743388	No	
row_15	ITGB3	NA	4734	0.13163451850414276	0.18988146	No	
row_16	BAK1	NA	5196	0.11012788116931915	0.17138761	No	
row_17	MAP3K8	NA	5207	0.10953126102685928	0.18174411	No	
row_18	IL13RA1	NA	5212	0.10925627499818802	0.19245762	No	
row_19	A2M	NA	5799	0.08316444605588913	0.16324368	No	
row_20	IFNGR1	NA	6273	0.06214646250009537	0.139163	No	
row_21	CSF2RB	NA	6392	0.05791345238685608	0.13741373	No	
row_22	SOCS1	NA	6655	0.045940276235342026	0.1252315	No	
row_23	MYD88	NA	6736	0.04273959994316101	0.12439459	No	
row_24	CSF1	NA	6747	0.04240420088171959	0.12801117	No	
row_25	IL10RB	NA	6968	0.032321032136678696	0.11715381	No	
row_26	IL12RB1	NA	6981	0.03134907782077789	0.1195322	No	
row_27	CD36	NA	7060	0.028824932873249054	0.11742637	No	
row_28	IL15RA	NA	7132	0.025720011442899704	0.11545752	No	
row_29	STAT1	NA	7235	0.021110650151968002	0.111038685	No	
row_30	IL7	NA	8475	-0.027017896994948387	0.03432835	No	
row_31	IL2RG	NA	8823	-0.04256633296608925	0.01635865	No	
row_32	CD44	NA	8943	-0.04756849259138107	0.013506576	No	
row_33	DNTT	NA	9095	-0.05429160222411156	0.009278259	No	
row_34	IRF1	NA	9169	-0.057198140770196915	0.010341773	No	
row_35	FAS	NA	9282	-0.061502449214458466	0.009337462	No	
row_36	IL18R1	NA	9296	-0.062000859528779984	0.014729348	No	
row_37	TLR2	NA	9985	-0.08995553106069565	-0.020341195	No	
row_38	HMOX1	NA	10202	-0.09792421013116837	-0.024355233	No	
row_39	ITGA4	NA	10333	-0.10332243144512177	-0.022314437	No	
row_40	STAT3	NA	10417	-0.10714065283536911	-0.016877452	No	
row_41	TNFRSF1A	NA	10500	-0.11128400266170502	-0.010960351	No	
row_42	PTPN2	NA	10869	-0.12689661979675293	-0.021808991	No	
row_43	PTPN1	NA	10953	-0.12991496920585632	-0.014085343	No	
row_44	IFNAR1	NA	11169	-0.13912257552146912	-0.01389874	No	
row_45	IFNGR2	NA	11174	-0.13926811516284943	-1.7188236E-4	No	
row_46	IL6ST	NA	11403	-0.14842377603054047	1.1527869E-4	No	
row_47	IL17RA	NA	11643	-0.1607850044965744	9.3844417E-4	No	
row_48	ACVR1B	NA	12533	-0.20558911561965942	-0.03540648	No	
row_49	PTPN11	NA	12703	-0.21566666662693024	-0.024585722	No	
row_50	LEPR	NA	12899	-0.22642549872398376	-0.014351385	No	
row_51	CBL	NA	13584	-0.2673318684101105	-0.03135598	No	
row_52	GRB2	NA	13602	-0.26858484745025635	-0.005478362	No	
row_53	STAM2	NA	13869	-0.2855650782585144	0.006142625	No	
row_54	STAT2	NA	14294	-0.31999772787094116	0.011092631	No	
row_55	IL4R	NA	14478	-0.3380473256111145	0.03330363	No	
row_56	INHBE	NA	15070	-0.41974830627441406	0.037564006	No	
