NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF2	NA	43	0.6782588362693787	0.076726556	Yes	
row_1	TRAFD1	NA	55	0.6449902653694153	0.15160489	Yes	
row_2	CMPK2	NA	711	0.3872208893299103	0.15501301	Yes	
row_3	IFI30	NA	856	0.36733904480934143	0.18883298	Yes	
row_4	EPSTI1	NA	1003	0.3482315242290497	0.2202857	Yes	
row_5	NUB1	NA	1427	0.30645057559013367	0.22909388	Yes	
row_6	OGFR	NA	1576	0.294937402009964	0.2541732	Yes	
row_7	RSAD2	NA	2039	0.26118019223213196	0.25517747	Yes	
row_8	GMPR	NA	2099	0.25739866495132446	0.28156036	Yes	
row_9	LAP3	NA	3046	0.207209512591362	0.24522837	No	
row_10	RIPK2	NA	3828	0.17098622024059296	0.21522373	No	
row_11	PNPT1	NA	3858	0.16953356564044952	0.23323238	No	
row_12	LPAR6	NA	4107	0.15856406092643738	0.2359234	No	
row_13	PROCR	NA	4621	0.13641124963760376	0.21903887	No	
row_14	USP18	NA	5291	0.10602664947509766	0.18859822	No	
row_15	CNP	NA	5390	0.10140247642993927	0.19420183	No	
row_16	IFIH1	NA	5400	0.10073745250701904	0.20543008	No	
row_17	MOV10	NA	5634	0.0903451144695282	0.20108797	No	
row_18	SLC25A28	NA	5759	0.08452414721250534	0.20304777	No	
row_19	TRIM14	NA	6380	0.05816115438938141	0.17013761	No	
row_20	WARS1	NA	6546	0.05083085596561432	0.16552205	No	
row_21	CSF1	NA	6747	0.04240420088171959	0.15767641	No	
row_22	NMI	NA	7170	0.0240433681756258	0.13345478	No	
row_23	IL15	NA	7181	0.0236098300665617	0.13558076	No	
row_24	UBE2L6	NA	7247	0.020506776869297028	0.13381906	No	
row_25	IFI35	NA	7538	0.008308572694659233	0.11621129	No	
row_26	CD74	NA	8266	-0.018156107515096664	0.07175725	No	
row_27	IL7	NA	8475	-0.027017896994948387	0.061595988	No	
row_28	ELF1	NA	8493	-0.02796901762485504	0.06378428	No	
row_29	CMTR1	NA	8502	-0.028438188135623932	0.06660422	No	
row_30	CD47	NA	8766	-0.040501631796360016	0.05449899	No	
row_31	IRF1	NA	9169	-0.057198140770196915	0.035444077	No	
row_32	EIF2AK2	NA	9333	-0.06400302052497864	0.032500234	No	
row_33	LAMP3	NA	9346	-0.06455717235803604	0.039296478	No	
row_34	TENT5A	NA	9394	-0.0662258043885231	0.044045676	No	
row_35	DHX58	NA	9429	-0.06770912557840347	0.04980166	No	
row_36	PARP9	NA	9543	-0.07271573692560196	0.051082507	No	
row_37	TDRD7	NA	9618	-0.07565382868051529	0.055206534	No	
row_38	MVB12A	NA	9856	-0.0855267345905304	0.050043486	No	
row_39	C1S	NA	10552	-0.11322089284658432	0.018779973	No	
row_40	HELZ2	NA	10796	-0.12331444025039673	0.017660633	No	
row_41	PARP12	NA	11705	-0.16410185396671295	-0.021288123	No	
row_42	PSMA3	NA	12677	-0.2140815407037735	-0.05841666	No	
row_43	NCOA7	NA	12691	-0.21513159573078156	-0.034039434	No	
row_44	TMEM140	NA	13123	-0.23977118730545044	-0.033557672	No	
row_45	IRF7	NA	13843	-0.28416088223457336	-0.046327367	No	
row_46	STAT2	NA	14294	-0.31999772787094116	-0.037661664	No	
row_47	IL4R	NA	14478	-0.3380473256111145	-0.009773115	No	
row_48	UBA7	NA	14511	-0.34170469641685486	0.028219173	No	
row_49	ADAR	NA	14870	-0.3847014605998993	0.050361972	No	
