NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF2	NA	43	0.6782588362693787	0.03207665	Yes	
row_1	TRAFD1	NA	55	0.6449902653694153	0.06450367	Yes	
row_2	TOR1B	NA	83	0.6114418506622314	0.09417748	Yes	
row_3	AUTS2	NA	221	0.50701504945755	0.11140717	Yes	
row_4	FGL2	NA	251	0.4926990866661072	0.13485211	Yes	
row_5	SOCS3	NA	268	0.48743095993995667	0.15886307	Yes	
row_6	CMPK2	NA	711	0.3872208893299103	0.15030931	Yes	
row_7	PIM1	NA	836	0.37012383341789246	0.16134317	Yes	
row_8	IFI30	NA	856	0.36733904480934143	0.1789916	Yes	
row_9	EPSTI1	NA	1003	0.3482315242290497	0.18748492	Yes	
row_10	RAPGEF6	NA	1299	0.3193191587924957	0.18490352	Yes	
row_11	PTGS2	NA	1508	0.30019432306289673	0.1869388	Yes	
row_12	CD38	NA	1510	0.2999739944934845	0.20228496	Yes	
row_13	OGFR	NA	1576	0.294937402009964	0.21325342	Yes	
row_14	IL6	NA	1714	0.28357207775115967	0.21900423	Yes	
row_15	SRI	NA	1933	0.26844850182533264	0.21876507	Yes	
row_16	RSAD2	NA	2039	0.26118019223213196	0.22542499	Yes	
row_17	CDKN1A	NA	2193	0.25130829215049744	0.22848858	Yes	
row_18	NCOA3	NA	2319	0.24402272701263428	0.23297992	Yes	
row_19	ARL4A	NA	2419	0.23782280087471008	0.23882607	Yes	
row_20	PLA2G4A	NA	2587	0.22953201830387115	0.23986992	Yes	
row_21	MTHFD2	NA	2794	0.21928846836090088	0.23787758	Yes	
row_22	NFKBIA	NA	2921	0.21288494765758514	0.24070492	Yes	
row_23	LAP3	NA	3046	0.207209512591362	0.24336942	Yes	
row_24	PDE4B	NA	3321	0.19423356652259827	0.23571356	Yes	
row_25	ST3GAL5	NA	3531	0.18466009199619293	0.23174916	Yes	
row_26	TNFAIP6	NA	3750	0.1748656928539276	0.22670239	Yes	
row_27	CMKLR1	NA	3774	0.1737184077501297	0.23414655	Yes	
row_28	RIPK2	NA	3828	0.17098622024059296	0.2395196	Yes	
row_29	PNPT1	NA	3858	0.16953356564044952	0.24636261	Yes	
row_30	PNP	NA	3860	0.16949917376041412	0.2550059	Yes	
row_31	CD86	NA	4061	0.16071709990501404	0.25039074	No	
row_32	DDX58	NA	4176	0.15595188736915588	0.25106555	No	
row_33	TNFAIP2	NA	4366	0.14789269864559174	0.2464995	No	
row_34	VCAM1	NA	4576	0.13848455250263214	0.24016294	No	
row_35	HIF1A	NA	4637	0.13578112423419952	0.2432769	No	
row_36	MARCHF1	NA	4673	0.13406966626644135	0.24791189	No	
row_37	SOD2	NA	4773	0.13015498220920563	0.24822684	No	
row_38	ARID5B	NA	5076	0.11648565530776978	0.23477481	No	
row_39	IRF8	NA	5122	0.11430659145116806	0.23775093	No	
row_40	USP18	NA	5291	0.10602664947509766	0.23238562	No	
row_41	IFIH1	NA	5400	0.10073745250701904	0.23061009	No	
row_42	BTG1	NA	5495	0.09609197080135345	0.22949691	No	
row_43	EIF4E3	NA	5575	0.09263543039560318	0.22917154	No	
row_44	SSPN	NA	5603	0.09134639799594879	0.2321266	No	
row_45	SLC25A28	NA	5759	0.08452414721250534	0.2264933	No	
row_46	BPGM	NA	6111	0.0692371055483818	0.20746042	No	
row_47	TRIM14	NA	6380	0.05816115438938141	0.19320028	No	
row_48	CSF2RB	NA	6392	0.05791345238685608	0.19546752	No	
row_49	WARS1	NA	6546	0.05083085596561432	0.18823202	No	
row_50	NOD1	NA	6602	0.04806853458285332	0.18716171	No	
row_51	SOCS1	NA	6655	0.045940276235342026	0.18617517	No	
row_52	MYD88	NA	6736	0.04273959994316101	0.18322214	No	
row_53	JAK2	NA	6945	0.03354262188076973	0.1715588	No	
