NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NGB	NA	162	0.5411387085914612	0.010675938	Yes	
row_1	PTGFR	NA	224	0.5055033564567566	0.026464695	Yes	
row_2	CAPN9	NA	288	0.4801858961582184	0.04113723	Yes	
row_3	PNMT	NA	292	0.4795849025249481	0.059649315	Yes	
row_4	HTR1B	NA	304	0.476464182138443	0.07752462	Yes	
row_5	WNT16	NA	374	0.45313209295272827	0.09075568	Yes	
row_6	FGF22	NA	376	0.452773779630661	0.10835081	Yes	
row_7	INSL5	NA	533	0.4197140336036682	0.11467713	Yes	
row_8	GRID2	NA	537	0.4183514714241028	0.13080093	Yes	
row_9	ATP6V1B1	NA	574	0.4120425283908844	0.14455402	Yes	
row_10	TFCP2L1	NA	614	0.4052397608757019	0.15784863	Yes	
row_11	CHRNG	NA	726	0.38467666506767273	0.16570562	Yes	
row_12	CCNA1	NA	745	0.38167303800582886	0.1794331	Yes	
row_13	CNTFR	NA	801	0.3751462399959564	0.19052385	Yes	
row_14	SOX10	NA	825	0.3720298409461975	0.2035533	Yes	
row_15	TGFB2	NA	888	0.36280542612075806	0.21371204	Yes	
row_16	NTF3	NA	1000	0.3486872613430023	0.22016534	Yes	
row_17	FGF16	NA	1018	0.34679704904556274	0.23259693	Yes	
row_18	HSD11B2	NA	1512	0.29988422989845276	0.2125524	Yes	
row_19	BTG2	NA	1634	0.289602130651474	0.21605738	Yes	
row_20	COQ8A	NA	1882	0.27219364047050476	0.21077107	Yes	
row_21	RSAD2	NA	2039	0.26118019223213196	0.2109141	Yes	
row_22	PRKN	NA	2103	0.256998747587204	0.21688168	Yes	
row_23	SHOX2	NA	2105	0.25692594051361084	0.22683816	Yes	
row_24	GPR3	NA	2276	0.24681095778942108	0.22551937	Yes	
row_25	ACTC1	NA	2313	0.24427777528762817	0.23272914	Yes	
row_26	CACNG1	NA	2354	0.24186299741268158	0.23958719	Yes	
row_27	ITGB1BP2	NA	2728	0.22227711975574493	0.22424172	No	
row_28	TENM2	NA	2975	0.21049048006534576	0.2166132	No	
