NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINH1	NA	20	0.7503283619880676	0.023369376	No	
row_1	FGL2	NA	251	0.4926990866661072	0.024714291	No	
row_2	MTHFD2L	NA	497	0.42623376846313477	0.02290637	No	
row_3	ASNS	NA	544	0.4173160791397095	0.033652354	No	
row_4	HPRT1	NA	553	0.41629621386528015	0.046818018	No	
row_5	IFI30	NA	856	0.36733904480934143	0.03939465	No	
row_6	MLLT11	NA	1085	0.3397013545036316	0.03584021	No	
row_7	SLC2A1	NA	1236	0.324660062789917	0.036826923	No	
row_8	ATP6V1D	NA	1320	0.31678682565689087	0.041880246	No	
row_9	BTG2	NA	1634	0.289602130651474	0.031191815	No	
row_10	VLDLR	NA	1756	0.28132763504981995	0.03262653	No	
row_11	EEF1E1	NA	1869	0.27283862233161926	0.03436326	No	
row_12	CD9	NA	1950	0.267411470413208	0.037987463	No	
row_13	NFIL3	NA	2070	0.25877538323402405	0.03881008	No	
row_14	TBK1	NA	2131	0.25505927205085754	0.043319475	No	
row_15	CDKN1A	NA	2193	0.25130829215049744	0.04764103	No	
row_16	ADD3	NA	2241	0.24852417409420013	0.052774888	No	
row_17	ERO1A	NA	2433	0.23731444776058197	0.048244007	No	
row_18	GOT1	NA	2658	0.22597363591194153	0.041209985	No	
row_19	SYTL2	NA	2718	0.22304530441761017	0.044731755	No	
row_20	MTHFD2	NA	2794	0.21928846836090088	0.047097124	No	
row_21	COPS5	NA	2797	0.21914352476596832	0.054170452	No	
row_22	GCLC	NA	2871	0.21539035439491272	0.05653682	No	
row_23	NFYC	NA	3007	0.20904730260372162	0.054692134	No	
row_24	PGM1	NA	3057	0.20681940019130707	0.058326196	No	
row_25	ATP5MC1	NA	3119	0.20349176228046417	0.061076198	No	
row_26	PSMC6	NA	3228	0.19854867458343506	0.06062952	No	
row_27	TUBG1	NA	3365	0.1920621246099472	0.058162037	No	
row_28	UNG	NA	3389	0.19125770032405853	0.06296314	No	
row_29	TXNRD1	NA	3521	0.18504653871059418	0.06058787	No	
row_30	HSPA9	NA	3613	0.18071980774402618	0.06065271	No	
row_31	EIF2S2	NA	3679	0.1776316612958908	0.062294554	No	
row_32	ARPC5L	NA	3806	0.17217622697353363	0.059819072	No	
row_33	PNP	NA	3860	0.16949917376041412	0.061968323	No	
row_34	PNO1	NA	4030	0.16194888949394226	0.056380723	No	
row_35	SQSTM1	NA	4039	0.16155368089675903	0.061173934	No	
row_36	DDIT4	NA	4754	0.1307462453842163	0.019376827	No	
row_37	IMMT	NA	4759	0.1306038349866867	0.023411063	No	
