NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RCL1	NA	2152	0.2536315619945526	-0.09563496	No	
row_1	PRMT3	NA	2927	0.21241942048072815	-0.10987117	No	
row_2	RRP12	NA	3151	0.20157019793987274	-0.090623245	No	
row_3	SUPV3L1	NA	3300	0.19504252076148987	-0.067657776	No	
row_4	PHB	NA	3369	0.191867858171463	-0.040096786	No	
row_5	UNG	NA	3389	0.19125770032405853	-0.009499082	No	
row_6	MYC	NA	3776	0.1735578030347824	-0.0053501963	No	
row_7	NOP16	NA	4020	0.16246075928211212	0.006111211	No	
row_8	AIMP2	NA	4476	0.1435096710920334	8.4265944E-4	No	
row_9	TFB2M	NA	4868	0.1264989823102951	-0.0031566308	No	
row_10	NDUFAF4	NA	4937	0.12324555963277817	0.012989455	No	
row_11	GNL3	NA	5043	0.11800312995910645	0.025893826	No	
row_12	PES1	NA	5642	0.0899648368358612	0.002559969	No	
row_13	BYSL	NA	5997	0.07419437170028687	-0.007770208	No	
row_14	LAS1L	NA	6043	0.07195454835891724	0.0013169659	No	
row_15	RABEPK	NA	6401	0.057314883917570114	-0.012013148	No	
row_16	UTP20	NA	6779	0.040683407336473465	-0.029390708	No	
row_17	PA2G4	NA	6845	0.03773261979222298	-0.027277045	No	
row_18	CBX3	NA	7123	0.026119524613022804	-0.040672712	No	
row_19	NPM1	NA	7128	0.025815783068537712	-0.03663459	No	
row_20	PPRC1	NA	8344	-0.021595602855086327	-0.11085708	No	
row_21	NOP56	NA	8367	-0.022647373378276825	-0.10849882	No	
row_22	TCOF1	NA	8426	-0.024903180077672005	-0.10807094	No	
row_23	PUS1	NA	8533	-0.02951173670589924	-0.10995062	No	
row_24	NOC4L	NA	8813	-0.041946131736040115	-0.12084171	No	
row_25	MYBBP1A	NA	9854	-0.08545610308647156	-0.1732335	No	
row_26	HSPD1	NA	10067	-0.09283895045518875	-0.17136787	No	
row_27	SORD	NA	10501	-0.11129116266965866	-0.18058677	Yes	
row_28	NOP2	NA	10601	-0.11507328599691391	-0.1677855	Yes	
row_29	MPHOSPH10	NA	10636	-0.11661309748888016	-0.15056515	Yes	
row_30	PLK1	NA	10727	-0.12084071338176727	-0.13622808	Yes	
row_31	PLK4	NA	10833	-0.12529560923576355	-0.12211065	Yes	
row_32	MCM5	NA	11269	-0.14300581812858582	-0.12618211	Yes	
row_33	MCM4	NA	11573	-0.15629224479198456	-0.11958951	Yes	
row_34	SLC19A1	NA	11928	-0.17488649487495422	-0.113170154	Yes	
row_35	MRTO4	NA	12331	-0.19572070240974426	-0.106359325	Yes	
row_36	RRP9	NA	13158	-0.24118004739284515	-0.119141735	Yes	
row_37	NIP7	NA	13254	-0.24716460704803467	-0.08411168	Yes	
row_38	DDX18	NA	13318	-0.25097939372062683	-0.04639762	Yes	
row_39	NOLC1	NA	13423	-0.2568053901195526	-0.010340284	Yes	
row_40	TMEM97	NA	13643	-0.27164867520332336	0.020820953	Yes	
row_41	SRM	NA	13876	-0.2857576012611389	0.053496536	Yes	
row_42	WDR43	NA	14717	-0.36334139108657837	0.0601383	Yes	
