NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPARC	NA	140	0.5524513125419617	0.008691436	Yes	
row_1	ACTA1	NA	270	0.48628726601600647	0.01597	Yes	
row_2	COL6A2	NA	287	0.4805023968219757	0.030350976	Yes	
row_3	COL1A1	NA	456	0.4354034662246704	0.03348204	Yes	
row_4	WWTR1	NA	481	0.42915430665016174	0.04569998	Yes	
row_5	NOTCH1	NA	496	0.4263710379600525	0.058473594	Yes	
row_6	AEBP1	NA	549	0.4169316291809082	0.068493605	Yes	
row_7	IGFBP3	NA	575	0.4114688038825989	0.08007976	Yes	
row_8	COL6A3	NA	645	0.39960992336273193	0.08844772	Yes	
row_9	COL4A2	NA	651	0.3986210525035858	0.10091167	Yes	
row_10	CRYAB	NA	674	0.39440348744392395	0.11214391	Yes	
row_11	SGCG	NA	695	0.3904520273208618	0.12337839	Yes	
row_12	CHRNG	NA	726	0.38467666506767273	0.13378267	Yes	
row_13	CSRP3	NA	777	0.3783712685108185	0.14269477	Yes	
row_14	SGCA	NA	787	0.3773427903652191	0.15421821	Yes	
row_15	FLII	NA	834	0.3705121576786041	0.16313621	Yes	
row_16	COL3A1	NA	956	0.3543752133846283	0.16669944	Yes	
row_17	MYL3	NA	1090	0.3388083875179291	0.16898939	Yes	
row_18	TNNI1	NA	1171	0.3296571969985962	0.17440405	Yes	
row_19	MRAS	NA	1254	0.32327285408973694	0.17948495	Yes	
row_20	MYF6	NA	1338	0.3145281672477722	0.18422085	Yes	
row_21	CASQ1	NA	1353	0.3131980299949646	0.19336425	Yes	
row_22	SVIL	NA	1404	0.3079420030117035	0.20001723	Yes	
row_23	APOD	NA	1497	0.30119213461875916	0.20374489	Yes	
row_24	CASQ2	NA	1507	0.30030208826065063	0.21279712	Yes	
row_25	CNN3	NA	1659	0.2878809869289398	0.21229257	Yes	
row_26	TNNC2	NA	1672	0.2872045636177063	0.22073118	Yes	
row_27	TNNI2	NA	1707	0.2837209105491638	0.22763915	Yes	
row_28	KLF5	NA	1777	0.27947619557380676	0.23215364	Yes	
row_29	GSN	NA	1801	0.27787619829177856	0.23958358	Yes	
row_30	TNNT2	NA	1821	0.27703559398651123	0.24724454	Yes	
row_31	MB	NA	1832	0.27623507380485535	0.2554603	Yes	
row_32	HBEGF	NA	1919	0.2693220376968384	0.25855264	Yes	
row_33	SPDEF	NA	1922	0.2691854238510132	0.2670582	Yes	
row_34	TEAD4	NA	1944	0.26772305369377136	0.27429146	Yes	
row_35	MYBPH	NA	1974	0.2657426595687866	0.2809452	Yes	
row_36	TPM2	NA	2007	0.26311177015304565	0.28732112	Yes	
row_37	FABP3	NA	2017	0.26259902119636536	0.29516396	Yes	
row_38	ANKRD2	NA	2025	0.2618393301963806	0.3031114	Yes	
row_39	PRNP	NA	2160	0.2532523274421692	0.30259252	Yes	
row_40	CACNA1H	NA	2174	0.2521953880786896	0.30984366	Yes	
row_41	CDKN1A	NA	2193	0.25130829215049744	0.31674388	Yes	
