NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SYT13	NA	48	0.6604526042938232	0.08233711	No	
row_1	STXBP1	NA	175	0.5300866365432739	0.14282198	No	
row_2	ELP4	NA	1390	0.309447318315506	0.10512389	No	
row_3	NEUROG3	NA	1473	0.3025889992713928	0.13900544	No	
row_4	AKT3	NA	2102	0.25701573491096497	0.13204049	No	
row_5	LMO2	NA	2562	0.2305978387594223	0.13247794	No	
row_6	DPP4	NA	2625	0.2277689278125763	0.15796405	No	
row_7	CHGA	NA	3282	0.1961292326450348	0.14133279	No	
row_8	PAK3	NA	4379	0.1473463475704193	0.0902257	No	
row_9	NKX2-2	NA	4854	0.12720666825771332	0.07633233	No	
row_10	FOXO1	NA	5868	0.08004223555326462	0.021834811	No	
row_11	MAFB	NA	6069	0.07098115980625153	0.018210836	No	
row_12	VDR	NA	7035	0.02928549237549305	-0.03977777	No	
row_13	NEUROD1	NA	7098	0.027226168662309647	-0.04022589	No	
row_14	ABCC8	NA	7198	0.022707460448145866	-0.04362698	No	
row_15	SCGN	NA	7531	0.00845296960324049	-0.063787274	No	
row_16	INSM1	NA	8621	-0.03348441421985626	-0.12917091	No	
row_17	PAX6	NA	9077	-0.05354611575603485	-0.15137376	No	
row_18	ISL1	NA	9408	-0.06686481088399887	-0.1638522	No	
row_19	PDX1	NA	9695	-0.07911423593759537	-0.1719298	No	
row_20	SRP14	NA	9931	-0.0881306529045105	-0.17557658	No	
row_21	SRPRB	NA	10399	-0.10643912851810455	-0.1917075	No	
row_22	HNF1A	NA	11753	-0.16670262813568115	-0.25676364	No	
row_23	SRP9	NA	12521	-0.20499883592128754	-0.2793537	Yes	
row_24	NKX6-1	NA	12614	-0.2104463428258896	-0.25802824	Yes	
row_25	FOXA2	NA	12879	-0.22496578097343445	-0.24583593	Yes	
row_26	SPCS1	NA	12991	-0.23202548921108246	-0.22293617	Yes	
row_27	GCG	NA	13823	-0.2827165424823761	-0.23957281	Yes	
row_28	SEC11A	NA	13868	-0.285535991191864	-0.20546393	Yes	
row_29	SLC2A2	NA	13999	-0.2951568365097046	-0.17561631	Yes	
row_30	PCSK2	NA	14092	-0.3038680851459503	-0.14220951	Yes	
row_31	G6PC2	NA	14357	-0.3261144757270813	-0.11693664	Yes	
row_32	DCX	NA	14542	-0.34579020738601685	-0.08399797	Yes	
row_33	SST	NA	14654	-0.35647034645080566	-0.045004956	Yes	
row_34	INS	NA	14875	-0.3854113221168518	-0.009247072	Yes	
row_35	IAPP	NA	15236	-0.4576220214366913	0.026886823	Yes	
