NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCC5	NA	12	0.7766440510749817	0.04800955	No	
row_1	SIAH1	NA	59	0.6375200152397156	0.08509806	No	
row_2	PABPC1	NA	933	0.3571663498878479	0.051483437	No	
row_3	HSD11B2	NA	1512	0.29988422989845276	0.03321039	No	
row_4	GNPAT	NA	1522	0.2992292046546936	0.05142676	No	
row_5	ABCB1	NA	1890	0.2714225947856903	0.044912558	No	
row_6	CRAT	NA	2381	0.23977474868297577	0.028513834	No	
row_7	SEMA3C	NA	2779	0.21969018876552582	0.016824348	No	
row_8	ACSL1	NA	2897	0.2139817327260971	0.022752697	No	
row_9	FABP6	NA	2917	0.21311306953430176	0.034918215	No	
row_10	SLC25A4	NA	3423	0.18936581909656525	0.014390354	No	
row_11	SULT2B1	NA	4119	0.15817339718341827	-0.020294914	No	
row_12	SOD2	NA	4773	0.13015498220920563	-0.054043524	No	
row_13	IDE	NA	5239	0.10809541493654251	-0.07710782	No	
row_14	SLC25A19	NA	5521	0.09489081054925919	-0.08918843	No	
row_15	CDK7	NA	6214	0.06517983227968216	-0.12952189	No	
row_16	IDH2	NA	6623	0.047374483197927475	-0.15274051	No	
row_17	ELOVL5	NA	6979	0.03140537440776825	-0.17355946	No	
row_18	YWHAH	NA	7193	0.022884489968419075	-0.18579699	No	
row_19	ABCC8	NA	7198	0.022707460448145866	-0.18462758	No	
row_20	PEX11A	NA	7270	0.01961575262248516	-0.18795383	No	
row_21	CLN8	NA	7645	0.003749467898160219	-0.21172963	No	
row_22	SLC35B2	NA	7994	-0.006771801970899105	-0.23364636	No	
row_23	ERCC3	NA	8379	-0.02314257062971592	-0.25684613	No	
row_24	BCL10	NA	8391	-0.02345672994852066	-0.25607905	No	
row_25	PEX5	NA	8563	-0.03084709495306015	-0.26512003	No	
row_26	DHCR24	NA	8656	-0.03541862592101097	-0.26880193	No	
row_27	ABCD2	NA	8713	-0.03770826756954193	-0.2700288	No	
row_28	CTBP1	NA	8866	-0.04462304338812828	-0.2769847	No	
row_29	ACOT8	NA	9270	-0.06104177609086037	-0.2990239	No	
row_30	PEX6	NA	9495	-0.0706808790564537	-0.30896562	No	
row_31	MLYCD	NA	9606	-0.07531468570232391	-0.31129736	No	
row_32	CTPS1	NA	9840	-0.08498002588748932	-0.32091877	No	
row_33	SLC25A17	NA	9849	-0.08525256812572479	-0.3160778	No	
row_34	ALDH1A1	NA	9933	-0.08816193789243698	-0.31586915	No	
row_35	CNBP	NA	10124	-0.09496857970952988	-0.32210258	No	
row_36	ECI2	NA	10309	-0.10216514021158218	-0.32749876	No	
row_37	RXRG	NA	10313	-0.10245490819215775	-0.3212563	No	
row_38	TOP2A	NA	10519	-0.11192390322685242	-0.32738778	No	
row_39	SMARCC1	NA	10600	-0.11502565443515778	-0.3252993	No	
row_40	PEX2	NA	10676	-0.11854525655508041	-0.32266873	No	
row_41	FADS1	NA	10771	-0.12248244881629944	-0.3210107	No	
row_42	PEX13	NA	10922	-0.12854158878326416	-0.32256737	No	
row_43	ATXN1	NA	11192	-0.13991521298885345	-0.33104965	No	
row_44	HMGCL	NA	11221	-0.14095920324325562	-0.32399383	No	
row_45	PRDX1	NA	11622	-0.15936309099197388	-0.33966497	Yes	
row_46	NUDT19	NA	11640	-0.16066572070121765	-0.3306652	Yes	
row_47	ABCB9	NA	11695	-0.16354592144489288	-0.32385996	Yes	
row_48	CACNA1B	NA	11771	-0.16735771298408508	-0.31816357	Yes	
row_49	ACAA1	NA	11781	-0.1680196076631546	-0.3081883	Yes	
row_50	CADM1	NA	11897	-0.17355279624462128	-0.3046708	Yes	
row_51	IDH1	NA	12043	-0.18069133162498474	-0.30263105	Yes	
row_52	ESR2	NA	12047	-0.18086634576320648	-0.29146367	Yes	
row_53	MSH2	NA	12094	-0.18332628905773163	-0.28290245	Yes	
row_54	TSPO	NA	12183	-0.18806026875972748	-0.27674037	Yes	
row_55	GSTK1	NA	12281	-0.19266414642333984	-0.2708669	Yes	
row_56	ITGB1BP1	NA	12300	-0.1938655972480774	-0.2598461	Yes	
row_57	PEX14	NA	12567	-0.20765824615955353	-0.2638809	Yes	
row_58	ACSL4	NA	12810	-0.22172968089580536	-0.2654911	Yes	
row_59	VPS4B	NA	13044	-0.2349025309085846	-0.2656961	Yes	
row_60	ALDH9A1	NA	13089	-0.23707003891468048	-0.2536309	Yes	
row_61	LONP2	NA	13193	-0.24344241619110107	-0.24495335	Yes	
row_62	EHHADH	NA	13492	-0.26130855083465576	-0.24767292	Yes	
row_63	HSD17B4	NA	13635	-0.27127957344055176	-0.2397508	Yes	
row_64	ACOX1	NA	13666	-0.27249518036842346	-0.22456178	Yes	
row_65	IDI1	NA	13841	-0.2840604782104492	-0.21789137	Yes	
row_66	STS	NA	13909	-0.28791356086730957	-0.20410939	Yes	
row_67	SLC23A2	NA	13921	-0.2890315353870392	-0.18666193	Yes	
row_68	FDPS	NA	14222	-0.31510114669799805	-0.18613124	Yes	
row_69	CEL	NA	14268	-0.31833213567733765	-0.16902629	Yes	
row_70	HAO2	NA	14313	-0.32167133688926697	-0.1516474	Yes	
row_71	ABCD3	NA	14418	-0.33187317848205566	-0.13747984	Yes	
row_72	CRABP1	NA	14538	-0.34485167264938354	-0.12346013	Yes	
row_73	SCP2	NA	14641	-0.35524871945381165	-0.107695974	Yes	
row_74	SOD1	NA	14656	-0.3566060960292816	-0.08619684	Yes	
row_75	CAT	NA	14802	-0.3743952810764313	-0.07199077	Yes	
row_76	DHRS3	NA	14828	-0.37739530205726624	-0.049892116	Yes	
row_77	ACSL5	NA	14868	-0.3845062553882599	-0.028245647	Yes	
row_78	SLC27A2	NA	15016	-0.41116055846214294	-0.011858802	Yes	
row_79	DIO1	NA	15073	-0.4199099838733673	0.010919903	Yes	
row_80	ALB	NA	15077	-0.4210489094257355	0.037172813	Yes	
