NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V1H	NA	315	0.4704701006412506	0.01203432	No	
row_1	VAMP3	NA	381	0.4517018795013428	0.038840946	No	
row_2	ATP6V1B1	NA	574	0.4120425283908844	0.054769058	No	
row_3	GNAS	NA	1278	0.32111603021621704	0.031634696	No	
row_4	ATP7A	NA	1283	0.32063862681388855	0.05337027	No	
row_5	ARFGEF1	NA	1639	0.2889854907989502	0.050387066	No	
row_6	BNIP3	NA	1842	0.2753552496433258	0.056297448	No	
row_7	CAV2	NA	2870	0.21541786193847656	0.0051000156	No	
row_8	GALC	NA	3217	0.198950856924057	-0.0034804984	No	
row_9	RAB2A	NA	4071	0.1600249856710434	-0.047299825	No	
row_10	ADAM10	NA	4135	0.15775947272777557	-0.040526163	No	
row_11	ICA1	NA	4141	0.15739041566848755	-0.030051982	No	
row_12	DNM1L	NA	4310	0.15014874935150146	-0.030545376	No	
row_13	RAB22A	NA	4507	0.14196409285068512	-0.03339883	No	
row_14	DST	NA	4689	0.13340820372104645	-0.035875555	No	
row_15	KIF1B	NA	4899	0.12544475495815277	-0.040697165	No	
row_16	SCAMP1	NA	5229	0.10848014056682587	-0.05439099	No	
row_17	STAM	NA	5466	0.09722782671451569	-0.06288243	No	
row_18	SSPN	NA	5603	0.09134639799594879	-0.06535343	No	
row_19	SGMS1	NA	5790	0.08353511244058609	-0.07157213	No	
row_20	MAPK1	NA	5804	0.08294260501861572	-0.06671822	No	
row_21	TOM1L1	NA	5933	0.07705175876617432	-0.069655776	No	
row_22	GOLGA4	NA	6035	0.07216125726699829	-0.071194336	No	
row_23	ERGIC3	NA	6543	0.050914496183395386	-0.100271024	No	
row_24	DOP1A	NA	6587	0.048507824540138245	-0.099706136	No	
row_25	TPD52	NA	6617	0.04750003293156624	-0.09831104	No	
row_26	OCRL	NA	6648	0.04629628732800484	-0.09706274	No	
row_27	STX7	NA	6681	0.04505922272801399	-0.09602777	No	
row_28	STX16	NA	6936	0.03404886648058891	-0.11000893	No	
row_29	SNAP23	NA	7330	0.017247026786208153	-0.13407168	No	
row_30	AP3B1	NA	7409	0.013855627737939358	-0.13813192	No	
row_31	IGF2R	NA	7468	0.010751502588391304	-0.1411203	No	
row_32	CLTA	NA	7552	0.007693663705140352	-0.14592439	No	
row_33	ANP32E	NA	7618	0.005215632263571024	-0.14974216	No	
row_34	RAB14	NA	7633	0.004494369029998779	-0.15033323	No	
row_35	CLTC	NA	7987	-0.0065814475528895855	-0.17255798	No	
row_36	STX12	NA	7999	-0.006935546174645424	-0.17278889	No	
row_37	GLA	NA	8205	-0.01587904617190361	-0.18486863	No	
row_38	RPS6KA3	NA	8683	-0.03658997640013695	-0.21300068	No	
row_39	TSG101	NA	8851	-0.04399174824357033	-0.22071113	No	
row_40	NAPG	NA	8888	-0.04557863995432854	-0.21989748	No	
row_41	SNX2	NA	9070	-0.05339011549949646	-0.22786263	No	
row_42	TMX1	NA	9098	-0.054339297115802765	-0.22586994	No	
row_43	SEC24D	NA	9363	-0.06508450210094452	-0.23836476	No	
row_44	ATP1A1	NA	9368	-0.06533075869083405	-0.2341407	No	
row_45	ABCA1	NA	9377	-0.06574441492557526	-0.23014522	No	
row_46	TMED10	NA	9585	-0.07461656630039215	-0.23832464	No	
row_47	VPS45	NA	9636	-0.07654615491628647	-0.23628628	No	
row_48	USO1	NA	9660	-0.07778830081224442	-0.23242828	No	
row_49	CTSC	NA	9793	-0.08323407173156738	-0.23519875	No	
row_50	M6PR	NA	9906	-0.08727143704891205	-0.23640753	No	
row_51	MON2	NA	9982	-0.08979601413011551	-0.23506632	No	
row_52	ARFIP1	NA	10491	-0.1110580638051033	-0.260082	No	
row_53	SEC31A	NA	10523	-0.11219968646764755	-0.25437766	No	
row_54	AP3S1	NA	10595	-0.11481023579835892	-0.2510638	No	
row_55	CLN5	NA	10664	-0.11798256635665894	-0.2473396	No	
row_56	ARFGEF2	NA	11061	-0.13423746824264526	-0.26357073	No	
