NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTL7B	NA	192	0.5186243057250977	0.020905633	No	
row_1	IP6K1	NA	328	0.46593543887138367	0.04209579	No	
row_2	CCNA1	NA	745	0.38167303800582886	0.039835732	No	
row_3	DDX25	NA	1262	0.32241007685661316	0.027354075	No	
row_4	CHRM4	NA	1481	0.3017715513706207	0.032691527	No	
row_5	SLC12A2	NA	1887	0.2720074951648712	0.024109578	No	
row_6	STRBP	NA	2156	0.25338253378868103	0.023134062	No	
row_7	ARL4A	NA	2419	0.23782280087471008	0.021546727	No	
row_8	SIRT1	NA	2599	0.22916261851787567	0.02473581	No	
row_9	MTNR1A	NA	2738	0.2217816561460495	0.030085456	No	
row_10	VDAC3	NA	2948	0.2116563767194748	0.030225536	No	
row_11	PGS1	NA	3908	0.1673007309436798	-0.020652885	No	
row_12	MLF1	NA	3923	0.16634057462215424	-0.0108914	No	
row_13	LPIN1	NA	4271	0.15140314400196075	-0.023477286	No	
row_14	SPATA6	NA	4359	0.1482516974210739	-0.019564224	No	
row_15	CLVS1	NA	4496	0.14255604147911072	-0.01916368	No	
row_16	AGFG1	NA	4511	0.14174099266529083	-0.010978781	No	
row_17	SHE	NA	4692	0.13333797454833984	-0.013995332	No	
row_18	ACE	NA	4894	0.12559376657009125	-0.018857129	No	
row_19	IDE	NA	5239	0.10809541493654251	-0.034025904	No	
row_20	NEFH	NA	5334	0.10385151952505112	-0.03340809	No	
row_21	GFI1	NA	5574	0.09267681837081909	-0.04282044	No	
row_22	PEBP1	NA	5889	0.07930053025484085	-0.05790765	No	
row_23	MEP1B	NA	6016	0.07321052998304367	-0.06130911	No	
row_24	GAD1	NA	6018	0.07318808883428574	-0.05668272	No	
row_25	PIAS2	NA	6168	0.0669572502374649	-0.061962347	No	
row_26	NF2	NA	6189	0.06614226847887039	-0.059007976	No	
row_27	NOS1	NA	6563	0.0497988760471344	-0.07977577	No	
row_28	ZC3H14	NA	6916	0.034669481217861176	-0.100164294	No	
row_29	GMCL1	NA	7027	0.02959984540939331	-0.105333015	No	
row_30	CFTR	NA	7545	0.007971037179231644	-0.1380313	No	
row_31	PSMG1	NA	7714	9.330147877335548E-4	-0.14876287	No	
row_32	MAST2	NA	7952	-0.0051225279457867146	-0.1636581	No	
row_33	ADCYAP1	NA	8070	-0.010132457129657269	-0.17052414	No	
row_34	ADAD1	NA	8257	-0.017713194712996483	-0.18133648	No	
row_35	CAMK4	NA	8373	-0.023056263104081154	-0.18724574	No	
row_36	JAM3	NA	8405	-0.023976976051926613	-0.18770033	No	
row_37	SNAP91	NA	8693	-0.03693423047661781	-0.20376846	No	
row_38	DBF4	NA	8826	-0.042728740721940994	-0.20950891	No	
row_39	DMC1	NA	8958	-0.04831761121749878	-0.21482694	No	
row_40	DCC	NA	9033	-0.05203310027718544	-0.21624547	No	
row_41	SEPTIN4	NA	9065	-0.05313931405544281	-0.21483104	No	
row_42	HSPA2	NA	9126	-0.055517878383398056	-0.21512696	No	
row_43	BUB1	NA	9161	-0.056925397366285324	-0.21366258	No	
row_44	GSG1	NA	9530	-0.0723278596997261	-0.23266532	No	
row_45	NCAPH	NA	9598	-0.07505922019481659	-0.23215848	No	
row_46	GPR182	NA	9782	-0.08271650224924088	-0.23861206	No	
row_47	PCSK4	NA	9831	-0.08464787155389786	-0.23627023	No	
row_48	MTOR	NA	9909	-0.08736171573400497	-0.23561727	No	
row_49	NPHP1	NA	9921	-0.08774484694004059	-0.23070027	No	
row_50	TALDO1	NA	9961	-0.08884354680776596	-0.22751144	No	
row_51	IFT88	NA	10199	-0.09781236201524734	-0.23646617	No	
row_52	ZPBP	NA	10237	-0.09927309304475784	-0.23248044	No	
row_53	TSN	NA	10700	-0.11960253864526749	-0.25449136	Yes	
row_54	TTK	NA	10735	-0.1211845651268959	-0.24890862	Yes	
row_55	CLGN	NA	10830	-0.1251235455274582	-0.24692748	Yes	
row_56	KIF2C	NA	10932	-0.1288744956254959	-0.24515557	Yes	
row_57	AURKA	NA	10943	-0.12963581085205078	-0.23748957	Yes	
row_58	MLLT10	NA	11052	-0.1339382380247116	-0.23584278	Yes	
row_59	PRKAR2A	NA	11125	-0.1368166208267212	-0.23169906	Yes	
row_60	SCG3	NA	11219	-0.14093290269374847	-0.22864048	Yes	
row_61	CDKN3	NA	11287	-0.1435559242963791	-0.22374368	Yes	
row_62	RAD17	NA	11378	-0.14743764698505402	-0.22007549	Yes	
row_63	CSNK2A2	NA	11606	-0.15851055085659027	-0.22449775	Yes	
row_64	CDK1	NA	11614	-0.15883825719356537	-0.21476744	Yes	
row_65	NEK2	NA	11759	-0.16691625118255615	-0.21331953	Yes	
row_66	COIL	NA	11926	-0.17479829490184784	-0.21277961	Yes	
row_67	EZH2	NA	12266	-0.19206278026103973	-0.22224574	Yes	
row_68	RFC4	NA	12272	-0.19217073917388916	-0.21025069	Yes	
row_69	SYCP1	NA	12391	-0.19966121017932892	-0.20503406	Yes	
row_70	PACRG	NA	12780	-0.22018811106681824	-0.21584512	Yes	
row_71	ZC2HC1C	NA	12922	-0.22771988809108734	-0.2103076	Yes	
row_72	CHFR	NA	13187	-0.24306373298168182	-0.21168752	Yes	
row_73	CCNB2	NA	13236	-0.24612638354301453	-0.19899653	Yes	
row_74	ACRBP	NA	13463	-0.25925642251968384	-0.19689775	Yes	
row_75	BRAF	NA	13470	-0.2598944902420044	-0.18062651	Yes	
row_76	IL13RA2	NA	13530	-0.2635554075241089	-0.16752508	Yes	
row_77	MAP7	NA	13556	-0.2647797763347626	-0.15216121	Yes	
row_78	DMRT1	NA	13650	-0.2721059322357178	-0.14069574	Yes	
row_79	STAM2	NA	13869	-0.2855650782585144	-0.13639696	Yes	
row_80	IL12RB2	NA	14038	-0.2992691099643707	-0.12800817	Yes	
row_81	TOPBP1	NA	14435	-0.33306434750556946	-0.13209887	Yes	
row_82	NPY5R	NA	14445	-0.3344542682170868	-0.11124182	Yes	
row_83	HSPA4L	NA	15034	-0.41360145807266235	-0.12250389	Yes	
row_84	TEKT2	NA	15080	-0.4213426411151886	-0.098390594	Yes	
row_85	HOXB1	NA	15100	-0.42656874656677246	-0.072272256	Yes	
row_86	GRM8	NA	15125	-0.4308367073535919	-0.046201564	Yes	
row_87	DDX4	NA	15471	-0.5405148267745972	-0.03372082	Yes	
row_88	HTR5A	NA	15609	-0.7105591893196106	0.0030188046	Yes	
