NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGIF1	NA	67	0.6260290741920471	0.06914405	Yes	
row_1	WWTR1	NA	481	0.42915430665016174	0.09302998	Yes	
row_2	ID1	NA	570	0.4123707711696625	0.13576579	Yes	
row_3	KLF10	NA	1524	0.29909950494766235	0.10980476	Yes	
row_4	FNTA	NA	1915	0.26946040987968445	0.116431236	Yes	
row_5	BMPR2	NA	2110	0.2565927803516388	0.13410354	Yes	
row_6	RAB31	NA	2231	0.24926280975341797	0.15565625	Yes	
row_7	XIAP	NA	2388	0.23935267329216003	0.17374039	Yes	
row_8	BMP2	NA	2784	0.21956104040145874	0.17419317	Yes	
row_9	ARID4B	NA	3216	0.19904126226902008	0.16993283	Yes	
row_10	LTBP2	NA	3243	0.19810143113136292	0.19150548	Yes	
row_11	TJP1	NA	3453	0.18827126920223236	0.20020251	Yes	
row_12	ENG	NA	3808	0.17215986549854279	0.19772129	No	
row_13	ID2	NA	5279	0.10652731359004974	0.11605303	No	
row_14	ACVR1	NA	5786	0.08372130990028381	0.09346086	No	
row_15	SPTBN1	NA	5883	0.07952916622161865	0.09664046	No	
row_16	ID3	NA	6313	0.06078225374221802	0.076289855	No	
row_17	MAP3K7	NA	6381	0.05815727636218071	0.07882011	No	
row_18	BMPR1A	NA	6523	0.05175058916211128	0.075858586	No	
row_19	SMAD1	NA	7037	0.029222575947642326	0.046425074	No	
row_20	HIPK2	NA	7173	0.02395549602806568	0.04058741	No	
row_21	APC	NA	7220	0.021764328703284264	0.04019382	No	
row_22	NOG	NA	7957	-0.005304689984768629	-0.0063301595	No	
row_23	BCAR3	NA	8174	-0.014519493095576763	-0.018463358	No	
row_24	SMAD3	NA	8192	-0.01555559877306223	-0.017727595	No	
row_25	THBS1	NA	8354	-0.022171031683683395	-0.025440078	No	
row_26	FKBP1A	NA	8769	-0.04055989533662796	-0.047201987	No	
row_27	HDAC1	NA	9055	-0.05292787775397301	-0.05924968	No	
row_28	TRIM33	NA	9766	-0.0821547880768776	-0.09509332	No	
row_29	TGFBR1	NA	9810	-0.08382425457239151	-0.08801484	No	
row_30	PMEPA1	NA	10077	-0.09309419244527817	-0.09413376	No	
row_31	NCOR2	NA	10376	-0.10565710812807083	-0.100828834	No	
row_32	FURIN	NA	10451	-0.10896145552396774	-0.09278743	No	
row_33	UBE2D3	NA	10790	-0.12310511618852615	-0.09999807	No	
row_34	PPM1A	NA	10976	-0.1306893527507782	-0.09651827	No	
row_35	IFNGR2	NA	11174	-0.13926811516284943	-0.092800826	No	
row_36	CTNNB1	NA	11488	-0.15282832086086273	-0.09492338	No	
row_37	CDKN1C	NA	11505	-0.15337738394737244	-0.07795647	No	
row_38	SKIL	NA	11734	-0.16577859222888947	-0.07311501	No	
row_39	SMURF1	NA	12553	-0.20645713806152344	-0.10129566	No	
row_40	SMAD6	NA	13230	-0.24540485441684723	-0.11581141	No	
row_41	RHOA	NA	13459	-0.2588823735713959	-0.10004848	No	
row_42	SKI	NA	15129	-0.43168869614601135	-0.15632133	No	
row_43	CDK9	NA	15404	-0.5077285766601562	-0.114314325	No	
row_44	SMURF2	NA	15485	-0.5472500324249268	-0.055244137	No	
row_45	SLC20A1	NA	15503	-0.5637809038162231	0.009800804	No	
