NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGIF1	NA	67	0.6260290741920471	0.020656671	Yes	
row_1	LIF	NA	128	0.5642781257629395	0.03930101	Yes	
row_2	SOCS3	NA	268	0.48743095993995667	0.049785916	Yes	
row_3	F3	NA	509	0.42403092980384827	0.051229443	Yes	
row_4	CCNL1	NA	526	0.42118093371391296	0.06700156	Yes	
row_5	JUN	NA	578	0.4109252989292145	0.080107905	Yes	
row_6	PLK2	NA	637	0.4009128510951996	0.09236346	Yes	
row_7	PNRC1	NA	675	0.3943551480770111	0.105711356	Yes	
row_8	TNIP2	NA	690	0.3914281725883484	0.12042539	Yes	
row_9	TSC22D1	NA	692	0.39124003052711487	0.13597009	Yes	
row_10	HES1	NA	797	0.3757944107055664	0.14425766	Yes	
row_11	CFLAR	NA	1033	0.3453351557254791	0.14288387	Yes	
row_12	IL18	NA	1100	0.33698341250419617	0.15207306	Yes	
row_13	TRIB1	NA	1160	0.33053362369537354	0.16145626	Yes	
row_14	RCAN1	NA	1263	0.3222891688346863	0.16773811	Yes	
row_15	PTGS2	NA	1508	0.30019432306289673	0.16398308	Yes	
row_16	KLF10	NA	1524	0.29909950494766235	0.17494902	Yes	
row_17	CCN1	NA	1556	0.29662197828292847	0.18478453	Yes	
row_18	BTG2	NA	1634	0.289602130651474	0.19137415	Yes	
row_19	IL6	NA	1714	0.28357207775115967	0.19759424	Yes	
row_20	HBEGF	NA	1919	0.2693220376968384	0.1951865	Yes	
row_21	FOSL2	NA	2032	0.2616097927093506	0.1984027	Yes	
row_22	NFIL3	NA	2070	0.25877538323402405	0.20634142	Yes	
row_23	G0S2	NA	2106	0.25684621930122375	0.2143321	Yes	
row_24	CDKN1A	NA	2193	0.25130829215049744	0.21881366	Yes	
row_25	TNIP1	NA	2236	0.2489491105079651	0.22603796	Yes	
row_26	NFE2L2	NA	2453	0.2363756000995636	0.22154206	Yes	
row_27	GEM	NA	2475	0.23510268330574036	0.22956792	Yes	
row_28	ACKR3	NA	2550	0.23135539889335632	0.2340271	Yes	
row_29	IL7R	NA	2651	0.22636601328849792	0.23661089	Yes	
row_30	TIPARP	NA	2723	0.22265982627868652	0.24091658	Yes	
row_31	TNC	NA	2752	0.22123974561691284	0.24793802	Yes	
row_32	BMP2	NA	2784	0.21956104040145874	0.25469905	Yes	
row_33	VEGFA	NA	2831	0.2174275517463684	0.26040787	Yes	
row_34	PANX1	NA	2863	0.21586032211780548	0.26702127	Yes	
row_35	NFKBIA	NA	2921	0.21288494765758514	0.27183962	Yes	
row_36	DRAM1	NA	2990	0.20957601070404053	0.2758167	Yes	
row_37	NR4A1	NA	3136	0.2027178853750229	0.27455568	Yes	
row_38	KLF2	NA	3149	0.2017005980014801	0.28182918	Yes	
row_39	PDE4B	NA	3321	0.19423356652259827	0.27855328	Yes	
row_40	PTGER4	NA	3386	0.19138215482234955	0.28206244	Yes	
row_41	TNFAIP6	NA	3750	0.1748656928539276	0.26563472	Yes	
row_42	MYC	NA	3776	0.1735578030347824	0.27094725	Yes	
row_43	NFAT5	NA	3810	0.1719958633184433	0.27568164	Yes	
row_44	RIPK2	NA	3828	0.17098622024059296	0.28140736	Yes	
row_45	SQSTM1	NA	4039	0.16155368089675903	0.27431315	Yes	
row_46	CEBPB	NA	4052	0.16108709573745728	0.2799663	Yes	
row_47	SDC4	NA	4164	0.15639422833919525	0.27904922	Yes	
row_48	DDX58	NA	4176	0.15595188736915588	0.28456196	Yes	
row_49	TNFAIP2	NA	4366	0.14789269864559174	0.2782767	Yes	
row_50	PTX3	NA	4377	0.14748138189315796	0.28351596	Yes	
row_51	CEBPD	NA	4577	0.1384194940328598	0.276208	Yes	
row_52	ATP2B1	NA	4625	0.13623382151126862	0.278613	Yes	
row_53	DUSP1	NA	4626	0.13619966804981232	0.2840469	Yes	
row_54	GFPT2	NA	4659	0.13474448025226593	0.28735957	Yes	
row_55	SOD2	NA	4773	0.13015498220920563	0.2852667	Yes	
row_56	SPHK1	NA	4844	0.12747502326965332	0.2858393	Yes	
row_57	MXD1	NA	4848	0.12734773755073547	0.29072663	Yes	
row_58	EDN1	NA	4858	0.12705853581428528	0.29521558	Yes	
row_59	KLF9	NA	4935	0.123332180082798	0.29523605	Yes	
row_60	FOS	NA	5057	0.1175057664513588	0.29212272	Yes	
row_61	LAMB3	NA	5058	0.11749035865068436	0.29681018	Yes	
row_62	MAP3K8	NA	5207	0.10953126102685928	0.2916379	No	
row_63	SLC2A6	NA	5224	0.10864445567131042	0.29494086	No	
row_64	ID2	NA	5279	0.10652731359004974	0.2957093	No	
row_65	IFIH1	NA	5400	0.10073745250701904	0.29199144	No	
row_66	PDLIM5	NA	5487	0.09640906006097794	0.29029304	No	
row_67	BTG1	NA	5495	0.09609197080135345	0.29367545	No	
row_68	DENND5A	NA	5568	0.09278739988803864	0.2927352	No	
row_69	CD80	NA	5596	0.09161533415317535	0.29464954	No	
row_70	DNAJB4	NA	5771	0.08409874141216278	0.28678623	No	
row_71	EIF1	NA	5920	0.07735563814640045	0.28033024	No	
row_72	SNN	NA	6071	0.07087977230548859	0.2734869	No	
row_73	IRS2	NA	6202	0.06548843532800674	0.267718	No	
row_74	KLF6	NA	6424	0.056408900767564774	0.25571966	No	
row_75	GADD45A	NA	6502	0.05263848975300789	0.2528552	No	
row_76	PTPRE	NA	6625	0.04731027036905289	0.24687684	No	
row_77	CSF1	NA	6747	0.04240420088171959	0.24076721	No	
row_78	TNFAIP8	NA	6764	0.04127419739961624	0.24138232	No	
row_79	ZC3H12A	NA	6820	0.03884213790297508	0.23938589	No	
row_80	NFKB2	NA	6831	0.03820427507162094	0.24026537	No	
row_81	ATF3	NA	6838	0.03802589699625969	0.24139562	No	
row_82	CD83	NA	6927	0.03427392616868019	0.23708928	No	
row_83	IL15RA	NA	7132	0.025720011442899704	0.22496262	No	
row_84	FJX1	NA	7151	0.024837488308548927	0.22479302	No	
row_85	ETS2	NA	7292	0.018746783956885338	0.21651451	No	
row_86	MARCKS	NA	7542	0.008109317161142826	0.2007839	No	
row_87	F2RL1	NA	7548	0.007796748075634241	0.20077258	No	
row_88	CCND1	NA	7652	0.0035342539194971323	0.19427271	No	
row_89	BCL2A1	NA	7664	0.003145366907119751	0.19368897	No	
row_90	NINJ1	NA	8049	-0.009431700222194195	0.16930705	No	
row_91	LITAF	NA	8099	-0.01158391498029232	0.16660996	No	
row_92	SMAD3	NA	8192	-0.01555559877306223	0.16129892	No	
row_93	PFKFB3	NA	8252	-0.017607565969228745	0.1581974	No	
row_94	SGK1	NA	8571	-0.031032929196953773	0.13893262	No	
row_95	RNF19B	NA	8687	-0.036714810878038406	0.13298284	No	
row_96	FUT4	NA	8740	-0.03905727341771126	0.13118842	No	
row_97	SIK1	NA	8834	-0.0431782566010952	0.12691495	No	
row_98	TRAF1	NA	8905	-0.04616549611091614	0.12424359	No	
row_99	PHLDA1	NA	8931	-0.047092799097299576	0.12451057	No	
row_100	PLAU	NA	8932	-0.04710479825735092	0.12638989	No	
row_101	MAP2K3	NA	8938	-0.047391127794981	0.12795827	No	
row_102	CD44	NA	8943	-0.04756849259138107	0.12959819	No	
row_103	PHLDA2	NA	9078	-0.053574226796627045	0.123096034	No	
row_104	REL	NA	9109	-0.054918039590120316	0.12335285	No	
row_105	IRF1	NA	9169	-0.057198140770196915	0.121830866	No	
row_106	IER5	NA	9306	-0.062423981726169586	0.115552835	No	
row_107	ABCA1	NA	9377	-0.06574441492557526	0.1136626	No	
row_108	TNFAIP3	NA	9450	-0.0686916932463646	0.111761004	No	
row_109	INHBA	NA	9470	-0.06958243250846863	0.113312095	No	
row_110	B4GALT5	NA	9481	-0.07004965096712112	0.115462095	No	
row_111	B4GALT1	NA	9601	-0.07515161484479904	0.11078793	No	
row_112	SPSB1	NA	9864	-0.08571203798055649	0.09731522	No	
row_113	JAG1	NA	9981	-0.08977439999580383	0.093417875	No	
row_114	TLR2	NA	9985	-0.08995553106069565	0.09681337	No	
row_115	ZBTB10	NA	10036	-0.09163636714220047	0.09724563	No	
row_116	PMEPA1	NA	10077	-0.09309419244527817	0.0983808	No	
row_117	CCL20	NA	10093	-0.09368106722831726	0.10115124	No	
row_118	BCL6	NA	10363	-0.10511156916618347	0.08800119	No	
row_119	EFNA1	NA	10371	-0.10551975667476654	0.091759756	No	
row_120	KLF4	NA	10388	-0.1059885323047638	0.094956756	No	
row_121	TANK	NA	10496	-0.1111743152141571	0.09249346	No	
row_122	SAT1	NA	10537	-0.11268144100904465	0.09441009	No	
row_123	YRDC	NA	10742	-0.12141148746013641	0.0861012	No	
row_124	EGR2	NA	11021	-0.13288870453834534	0.07347909	No	
row_125	GCH1	NA	11091	-0.1353428065776825	0.07443008	No	
row_126	IFNGR2	NA	11174	-0.13926811516284943	0.0746995	No	
row_127	MAFF	NA	11231	-0.14132018387317657	0.07672713	No	
row_128	NR4A2	NA	11244	-0.14192141592502594	0.08161562	No	
row_129	IL23A	NA	11286	-0.1435413360595703	0.08469898	No	
row_130	IL6ST	NA	11403	-0.14842377603054047	0.08314155	No	
row_131	BHLHE40	NA	11702	-0.16386011242866516	0.07046561	No	
row_132	NFKBIE	NA	11819	-0.16949598491191864	0.069748886	No	
row_133	PLEK	NA	12008	-0.17864012718200684	0.06475482	No	
row_134	NR4A3	NA	12104	-0.18381845951080322	0.065963484	No	
row_135	SLC16A6	NA	12388	-0.19939489662647247	0.055672377	No	
row_136	DUSP4	NA	12697	-0.21544010937213898	0.044409562	No	
row_137	MSC	NA	12839	-0.2233044058084488	0.044227753	No	
row_138	NAMPT	NA	13421	-0.2566160261631012	0.017006172	No	
row_139	DUSP5	NA	13505	-0.2619832158088684	0.02210704	No	
row_140	NFKB1	NA	13779	-0.280020534992218	0.015677376	No	
row_141	EGR1	NA	14103	-0.3050002157688141	0.0070205913	No	
row_142	ICOSLG	NA	15012	-0.4103635549545288	-0.035150148	No	
row_143	PLPP3	NA	15152	-0.43548208475112915	-0.02673783	No	
row_144	AREG	NA	15240	-0.45858028531074524	-0.014051295	No	
row_145	KYNU	NA	15308	-0.47509273886680603	5.835217E-4	No	
row_146	RHOB	NA	15484	-0.5461341142654419	0.011089404	No	
