NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASNS	NA	544	0.4173160791397095	-0.010215433	No	
row_1	NFYA	NA	928	0.357865571975708	-0.013609118	No	
row_2	KDELR3	NA	1240	0.32429203391075134	-0.014366397	No	
row_3	EXOSC9	NA	1709	0.28363868594169617	-0.02762431	No	
row_4	DCTN1	NA	1954	0.26716479659080505	-0.027463209	No	
row_5	ERO1A	NA	2433	0.23731444776058197	-0.044110734	No	
row_6	IARS1	NA	2509	0.23388046026229858	-0.03506214	No	
row_7	TTC37	NA	2694	0.22431683540344238	-0.033585794	No	
row_8	MTHFD2	NA	2794	0.21928846836090088	-0.026944896	No	
row_9	CEBPG	NA	2802	0.21881288290023804	-0.014419602	No	
row_10	LSM1	NA	2806	0.2186385691165924	-0.0016475748	No	
row_11	VEGFA	NA	2831	0.2174275517463684	0.009703027	No	
row_12	ATF4	NA	3372	0.1917973905801773	-0.013628144	No	
row_13	BAG3	NA	3403	0.1904582679271698	-0.00426237	No	
row_14	HSPA9	NA	3613	0.18071980774402618	-0.006977924	No	
row_15	EXOC2	NA	3990	0.16352379322052002	-0.021445816	No	
row_16	CEBPB	NA	4052	0.16108709573745728	-0.015813982	No	
row_17	POP4	NA	4240	0.1528353989124298	-0.018769145	No	
row_18	EIF2AK3	NA	4420	0.1458737850189209	-0.021622978	No	
row_19	MTREX	NA	4513	0.1416826844215393	-0.019134074	No	
row_20	TARS1	NA	4648	0.1352057307958603	-0.01972847	No	
row_21	DDIT4	NA	4754	0.1307462453842163	-0.018723551	No	
row_22	SLC7A5	NA	5926	0.07724107056856155	-0.08940038	No	
row_23	EXOSC1	NA	6091	0.0700991228222847	-0.095783494	No	
row_24	YWHAZ	NA	6226	0.06438949704170227	-0.10057715	No	
row_25	DCP2	NA	6596	0.04833200201392174	-0.121425815	No	
row_26	SLC1A4	NA	6642	0.04666793346405029	-0.12155053	No	
row_27	ATF3	NA	6838	0.03802589699625969	-0.1318278	No	
row_28	DNAJA4	NA	6996	0.030548136681318283	-0.14010634	No	
row_29	NPM1	NA	7128	0.025815783068537712	-0.14699453	No	
row_30	LSM4	NA	7232	0.02120888978242874	-0.15235643	No	
row_31	WFS1	NA	7312	0.01793903484940529	-0.1563698	No	
row_32	EIF4A2	NA	7558	0.0076414416544139385	-0.17166218	No	
row_33	CNOT4	NA	7998	-0.00690036965534091	-0.19946636	No	
row_34	CNOT2	NA	8160	-0.013941729441285133	-0.2089867	No	
row_35	SDAD1	NA	8217	-0.016217252239584923	-0.21162401	No	
row_36	EEF2	NA	8221	-0.01631138287484646	-0.21084958	No	
row_37	XPOT	NA	8233	-0.016997696831822395	-0.2105486	No	
row_38	EDC4	NA	8335	-0.021299637854099274	-0.21577658	No	
row_39	NOP56	NA	8367	-0.022647373378276825	-0.21642593	No	
row_40	SLC30A5	NA	9115	-0.05507291480898857	-0.2611679	No	
row_41	EDEM1	NA	9226	-0.059274349361658096	-0.26472247	No	
row_42	IMP3	NA	9240	-0.059842273592948914	-0.26200944	No	
row_43	RPS14	NA	9280	-0.06140492856502533	-0.26087466	No	
row_44	NFYB	NA	9293	-0.06196044757962227	-0.25797173	No	
row_45	DKC1	NA	9364	-0.065110944211483	-0.2586095	No	
row_46	SRPRA	NA	9401	-0.0665261447429657	-0.25697827	No	
row_47	HSP90B1	NA	9519	-0.07196545600891113	-0.26023015	No	
row_48	EIF4EBP1	NA	9647	-0.0772477239370346	-0.26381147	No	
row_49	PDIA5	NA	9652	-0.07745802402496338	-0.2594754	No	
row_50	PARN	NA	9655	-0.07758574187755585	-0.25500327	No	
row_51	EIF4G1	NA	9745	-0.08132614195346832	-0.2559006	No	
row_52	KIF5B	NA	9991	-0.09020886570215225	-0.2662969	No	
row_53	ZBTB17	NA	10340	-0.10387759655714035	-0.2825022	No	
row_54	NABP1	NA	10393	-0.10611645877361298	-0.2795516	No	
row_55	SRPRB	NA	10399	-0.10643912851810455	-0.27356133	No	
row_56	EIF2S1	NA	10487	-0.11069760471582413	-0.27258843	No	
row_57	SEC31A	NA	10523	-0.11219968646764755	-0.26818457	No	
row_58	EXOSC10	NA	10777	-0.1225692555308342	-0.2771761	No	
row_59	SHC1	NA	10868	-0.12686102092266083	-0.27543756	No	
row_60	ERN1	NA	10985	-0.1309567540884018	-0.27512708	No	
row_61	CNOT6	NA	11785	-0.16824419796466827	-0.31650016	Yes	
row_62	EXOSC4	NA	11845	-0.1713332086801529	-0.31013224	Yes	
row_63	EIF4E	NA	11859	-0.17209455370903015	-0.30076283	Yes	
row_64	PAIP1	NA	11873	-0.1725255399942398	-0.2913679	Yes	
row_65	ATF6	NA	11949	-0.17597585916519165	-0.28575292	Yes	
row_66	STC2	NA	11951	-0.17600329220294952	-0.27538055	Yes	
