NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP2B4	NA	176	0.5285242795944214	0.009900711	Yes	
row_1	PTGFR	NA	224	0.5055033564567566	0.027187077	Yes	
row_2	AGGF1	NA	226	0.5044141411781311	0.04739321	Yes	
row_3	COL1A1	NA	456	0.4354034662246704	0.050137226	Yes	
row_4	F3	NA	509	0.42403092980384827	0.063827395	Yes	
row_5	ID1	NA	570	0.4123707711696625	0.076533586	Yes	
row_6	ADGRL2	NA	647	0.3990931510925293	0.0876754	Yes	
row_7	DLC1	NA	877	0.36405354738235474	0.08755212	Yes	
row_8	COL1A2	NA	954	0.35487377643585205	0.09691692	Yes	
row_9	COL3A1	NA	956	0.3543752133846283	0.11109354	Yes	
row_10	KCNMA1	NA	1031	0.34564855694770813	0.12021647	Yes	
row_11	EFEMP1	NA	1306	0.31870993971824646	0.11537188	Yes	
row_12	MRPS31	NA	1440	0.3056928813457489	0.119088076	Yes	
row_13	SYNJ2	NA	1477	0.30213063955307007	0.12891032	Yes	
row_14	CCN1	NA	1556	0.29662197828292847	0.13580534	Yes	
row_15	MIOS	NA	1658	0.28789621591567993	0.14086793	Yes	
row_16	VLDLR	NA	1756	0.28132763504981995	0.14592427	Yes	
row_17	SYNE1	NA	1784	0.27901002764701843	0.15539719	Yes	
row_18	DLG1	NA	1898	0.27077868580818176	0.1589988	Yes	
row_19	SRI	NA	1933	0.26844850182533264	0.16759633	Yes	
row_20	COL5A2	NA	1969	0.26612475514411926	0.17603604	Yes	
row_21	NR1D2	NA	1990	0.2643261253833771	0.18536985	Yes	
row_22	MAP2K5	NA	2037	0.26145803928375244	0.19291335	Yes	
row_23	CAV1	NA	2069	0.2590014934539795	0.20132451	Yes	
row_24	IGF1R	NA	2076	0.2584267854690552	0.21132319	Yes	
row_25	AKT3	NA	2102	0.25701573491096497	0.2200411	Yes	
row_26	ADD3	NA	2241	0.24852417409420013	0.22113776	Yes	
row_27	NIPBL	NA	2299	0.2453240305185318	0.22732423	Yes	
row_28	ABCC1	NA	2420	0.23778203129768372	0.22914886	Yes	
row_29	CAP2	NA	2530	0.23262476921081543	0.2314749	Yes	
row_30	KIT	NA	2616	0.2281351536512375	0.23516673	Yes	
row_31	CELF2	NA	2634	0.227482408285141	0.24321319	Yes	
row_32	KALRN	NA	2860	0.2159314900636673	0.23739512	Yes	
row_33	TFPI	NA	2883	0.2144278734922409	0.24459486	Yes	
row_34	FBLN5	NA	3092	0.20488542318344116	0.23942812	Yes	
row_35	PPARG	NA	3112	0.20373579859733582	0.24639145	Yes	
row_36	ARHGEF9	NA	3173	0.20086033642292023	0.2505978	Yes	
row_37	APBB2	NA	3209	0.19922859966754913	0.2563492	Yes	
row_38	FHL2	NA	3447	0.18860295414924622	0.24865982	Yes	
row_39	TJP1	NA	3453	0.18827126920223236	0.25590363	Yes	
row_40	LPAR1	NA	3471	0.18749701976776123	0.26234323	Yes	
row_41	PMP22	NA	3476	0.18736672401428223	0.2696151	Yes	
row_42	ATRN	NA	3515	0.18536360561847687	0.27461606	Yes	
row_43	RBPMS	NA	3575	0.18313346803188324	0.27817446	Yes	
row_44	MAPK14	NA	3634	0.1795896589756012	0.28165486	Yes	
row_45	SPOP	NA	3726	0.17576920986175537	0.28285575	Yes	
