NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASNS	NA	544	0.4173160791397095	-0.014016537	No	
row_1	AMD1	NA	664	0.39665791392326355	-0.0017332339	No	
row_2	MAPK8IP2	NA	1378	0.3107835054397583	-0.031975593	No	
row_3	MRPL23	NA	1589	0.2938673794269562	-0.030712651	No	
row_4	BTG2	NA	1634	0.289602130651474	-0.018986113	No	
row_5	PPP1R2	NA	1667	0.2874712646007538	-0.0065947804	No	
row_6	CREG1	NA	1696	0.28471672534942627	0.005915396	No	
row_7	IL6	NA	1714	0.28357207775115967	0.019075613	No	
row_8	ABCB1	NA	1890	0.2714225947856903	0.021461753	No	
row_9	MSX1	NA	2006	0.26314419507980347	0.02729129	No	
row_10	SHOX2	NA	2105	0.25692594051361084	0.033901796	No	
row_11	CDC34	NA	2206	0.25065043568611145	0.040068217	No	
row_12	SLC6A8	NA	2544	0.23188704252243042	0.030046413	No	
row_13	CLTB	NA	2594	0.22940628230571747	0.03842558	No	
row_14	BMP2	NA	2784	0.21956104040145874	0.037304346	No	
row_15	CEBPG	NA	2802	0.21881288290023804	0.047209445	No	
row_16	GLS	NA	2908	0.21332359313964844	0.051178005	No	
row_17	NFKBIA	NA	2921	0.21288494765758514	0.06110676	No	
row_18	NR4A1	NA	3136	0.2027178853750229	0.057530772	No	
row_19	PTPRD	NA	3194	0.20008423924446106	0.06392147	No	
row_20	TGFBRAP1	NA	3335	0.1934805065393448	0.06464123	No	
row_21	POLG2	NA	3376	0.19165971875190735	0.071701996	No	
row_22	SLC25A4	NA	3423	0.18936581909656525	0.0782615	No	
row_23	FGF18	NA	3731	0.17555822432041168	0.067338094	No	
row_24	SQSTM1	NA	4039	0.16155368089675903	0.05571074	No	
row_25	IGFBP2	NA	4130	0.15790987014770508	0.057858806	No	
row_26	PSMC3	NA	4368	0.14782851934432983	0.050044328	No	
row_27	RASGRP1	NA	4461	0.14404620230197906	0.051366888	No	
row_28	GRPEL1	NA	4606	0.13702473044395447	0.0489916	No	
row_29	TARS1	NA	4648	0.1352057307958603	0.05315038	No	
row_30	TYRO3	NA	4748	0.13101904094219208	0.053367853	No	
row_31	SOD2	NA	4773	0.13015498220920563	0.058366287	No	
row_32	PPIF	NA	4913	0.12484955787658691	0.05570064	No	
row_33	FOS	NA	5057	0.1175057664513588	0.05240856	No	
row_34	TACR3	NA	5109	0.11484687030315399	0.05490075	No	
row_35	BAK1	NA	5196	0.11012788116931915	0.054904357	No	
row_36	GGH	NA	5388	0.10160797089338303	0.047725562	No	
row_37	CNP	NA	5390	0.10140247642993927	0.05275823	No	
row_38	HNRNPU	NA	5463	0.09736424684524536	0.053020827	No	
row_39	BTG1	NA	5495	0.09609197080135345	0.055856805	No	
row_40	NPTX2	NA	5842	0.08133569359779358	0.037688617	No	
row_41	NTRK3	NA	6133	0.06873925775289536	0.022489477	No	
row_42	HYAL2	NA	6291	0.06152727082371712	0.015483083	No	
