NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HPRT1	NA	553	0.41629621386528015	-0.018326022	No	
row_1	RAP1GAP	NA	618	0.40397438406944275	-0.0056663384	No	
row_2	TGFB2	NA	888	0.36280542612075806	-0.007921421	No	
row_3	ENPEP	NA	1883	0.27208417654037476	-0.060644157	No	
row_4	LONP1	NA	2053	0.260191947221756	-0.060720827	No	
row_5	IGF1	NA	2233	0.24915729463100433	-0.061900023	No	
row_6	SLC12A4	NA	2633	0.22755926847457886	-0.07814715	No	
row_7	ETFDH	NA	2813	0.21832811832427979	-0.080607064	No	
row_8	GCLC	NA	2871	0.21539035439491272	-0.07533073	No	
row_9	PINK1	NA	2960	0.21121610701084137	-0.07222458	No	
row_10	CROT	NA	3087	0.2052316665649414	-0.07181471	No	
row_11	BPHL	NA	3168	0.20093876123428345	-0.068620205	No	
row_12	TPST1	NA	3277	0.1964544951915741	-0.067415535	No	
row_13	ACO2	NA	3290	0.19563926756381989	-0.06006116	No	
row_14	KARS1	NA	3329	0.19391709566116333	-0.05445304	No	
row_15	PTS	NA	3488	0.18662796914577484	-0.0568772	No	
row_16	EPHA2	NA	4012	0.16272325813770294	-0.08380489	No	
row_17	PDK4	NA	4202	0.1548696756362915	-0.08954514	No	
row_18	CASP6	NA	4548	0.13999763131141663	-0.105951525	No	
row_19	SMOX	NA	4853	0.12723477184772491	-0.12024721	No	
row_20	IRF8	NA	5122	0.11430659145116806	-0.13276112	No	
row_21	ID2	NA	5279	0.10652731359004974	-0.13838403	No	
row_22	PPARD	NA	5326	0.10408187657594681	-0.13702318	No	
row_23	JUP	NA	5347	0.1031632050871849	-0.13402578	No	
row_24	NMT1	NA	5448	0.09807782620191574	-0.13639261	No	
row_25	PDLIM5	NA	5487	0.09640906006097794	-0.13483521	No	
row_26	ESR1	NA	5910	0.07795035094022751	-0.15877894	No	
row_27	GAD1	NA	6018	0.07318808883428574	-0.16263063	No	
row_28	ABCC3	NA	6564	0.04957123100757599	-0.195676	No	
row_29	SLC6A6	NA	6685	0.044715557247400284	-0.20154788	No	
row_30	ARPP19	NA	6755	0.041859086602926254	-0.20425339	No	
row_31	NFS1	NA	6781	0.04063541814684868	-0.2041756	No	
row_32	ELOVL5	NA	6979	0.03140537440776825	-0.21556017	No	
row_33	CD36	NA	7060	0.028824932873249054	-0.21951568	No	
row_34	ETS2	NA	7292	0.018746783956885338	-0.23361613	No	
row_35	ATP2A2	NA	7326	0.017300168052315712	-0.23502304	No	
row_36	SLC46A3	NA	7483	0.009806654416024685	-0.24466395	No	
row_37	MARCHF6	NA	7563	0.007409695535898209	-0.24944471	No	
row_38	ACOX2	NA	7724	2.6993820210918784E-4	-0.25973946	No	
row_39	PYCR1	NA	7903	-0.00308480323292315	-0.27107668	No	
row_40	NINJ1	NA	8049	-0.009431700222194195	-0.28002465	No	
row_41	AOX1	NA	8062	-0.009842747822403908	-0.28038868	No	
row_42	CNDP2	NA	8069	-0.01010096538811922	-0.28035554	No	
row_43	FBLN1	NA	8258	-0.017715822905302048	-0.2917291	No	
row_44	FABP1	NA	8334	-0.021215764805674553	-0.29567865	No	
row_45	PMM1	NA	8375	-0.02310335636138916	-0.2972954	No	
row_46	GABARAPL1	NA	8486	-0.027733514085412025	-0.30322862	No	
row_47	ABCD2	NA	8713	-0.03770826756954193	-0.31621927	No	
row_48	GSS	NA	8824	-0.04270748421549797	-0.32153046	No	
row_49	AP4B1	NA	8858	-0.04425305873155594	-0.3218177	No	
row_50	PGD	NA	8924	-0.046722762286663055	-0.3240635	No	
row_51	GSR	NA	8934	-0.04715526103973389	-0.32268426	No	
row_52	FAS	NA	9282	-0.061502449214458466	-0.34248036	No	
row_53	COMT	NA	9320	-0.06300979852676392	-0.34224603	No	
row_54	BCAT1	NA	9467	-0.06955145299434662	-0.34876087	No	
row_55	HRG	NA	9609	-0.07546336948871613	-0.35470808	No	
row_56	SAR1B	NA	9681	-0.07856965810060501	-0.35601738	No	
row_57	ALAS1	NA	9829	-0.08463549613952637	-0.36197	No	
row_58	PROS1	NA	9879	-0.08638468384742737	-0.36153758	No	
row_59	PTGR1	NA	9896	-0.08702073991298676	-0.35895312	No	
row_60	HMOX1	NA	10202	-0.09792421013116837	-0.37453085	No	
row_61	SHMT2	NA	10312	-0.10242198407649994	-0.37729692	No	
row_62	TDO2	NA	10416	-0.10713966190814972	-0.37948057	No	
row_63	PAPSS2	NA	10418	-0.10722574591636658	-0.37509057	No	
row_64	UPP1	NA	10450	-0.10894978791475296	-0.3725613	No	
row_65	TNFRSF1A	NA	10500	-0.11128400266170502	-0.3710945	No	
row_66	VTN	NA	10610	-0.11533038318157196	-0.37332433	No	
row_67	PLG	NA	10635	-0.11649605631828308	-0.3700307	No	
row_68	GCH1	NA	11091	-0.1353428065776825	-0.3937158	No	
row_69	CYFIP2	NA	11097	-0.13544462621212006	-0.38841116	No	
row_70	FETUB	NA	11437	-0.1502014547586441	-0.4040072	No	
row_71	ABHD6	NA	11509	-0.15357457101345062	-0.4022006	No	
row_72	DDC	NA	11677	-0.1625635325908661	-0.40620416	Yes	
row_73	HGFAC	NA	11686	-0.16305410861968994	-0.3999458	Yes	
row_74	PTGES3	NA	11751	-0.16659097373485565	-0.3971476	Yes	
row_75	ACP2	NA	11783	-0.16815084218978882	-0.392159	Yes	
row_76	NPC1	NA	11865	-0.1722748875617981	-0.39021966	Yes	
row_77	TAT	NA	11903	-0.1738341897726059	-0.38538143	Yes	
row_78	IDH1	NA	12043	-0.18069133162498474	-0.38682836	Yes	
row_79	PGRMC1	NA	12062	-0.18160496652126312	-0.38044348	Yes	
row_80	TTPA	NA	12081	-0.1825665533542633	-0.37401864	Yes	
row_81	IGFBP1	NA	12111	-0.18433906137943268	-0.3682287	Yes	
row_82	SLC35B1	NA	12158	-0.18675170838832855	-0.36343357	Yes	
row_83	F10	NA	12202	-0.18877039849758148	-0.3583613	Yes	
row_84	ARG2	NA	12255	-0.19149857759475708	-0.35375544	Yes	
row_85	LPIN2	NA	12275	-0.19222255051136017	-0.3469939	Yes	
row_86	ADH1C	NA	12316	-0.19462236762046814	-0.3414853	Yes	
row_87	SSR3	NA	12336	-0.19581951200962067	-0.3345743	Yes	
row_88	PEMT	NA	12361	-0.19794562458992004	-0.32789707	Yes	
row_89	SLC6A12	NA	12474	-0.20391520857810974	-0.3266401	Yes	
row_90	MTHFD1	NA	12528	-0.20544911921024323	-0.3215191	Yes	
row_91	CDA	NA	12571	-0.20797213912010193	-0.31558475	Yes	
row_92	MAN1A1	NA	12624	-0.21118129789829254	-0.31016123	Yes	
row_93	SLC35D1	NA	12638	-0.21200504899024963	-0.30219138	Yes	
row_94	ATOH8	NA	12675	-0.2139669805765152	-0.2956215	Yes	
row_95	LCAT	NA	12729	-0.2169487029314041	-0.2900228	Yes	
row_96	ABCC2	NA	12831	-0.222762331366539	-0.28727436	Yes	
row_97	ACP1	NA	12855	-0.22404900193214417	-0.2794483	Yes	
row_98	CDO1	NA	12867	-0.22473298013210297	-0.2708209	Yes	
row_99	MCCC2	NA	12908	-0.22680281102657318	-0.26397544	Yes	
row_100	HNF4A	NA	12912	-0.22717107832431793	-0.25473145	Yes	
row_101	AQP9	NA	12932	-0.22820667922496796	-0.24647503	Yes	
row_102	EPHX1	NA	13046	-0.2350008338689804	-0.2439911	Yes	
row_103	ALDH9A1	NA	13089	-0.23707003891468048	-0.23684795	Yes	
row_104	GCNT2	NA	13092	-0.23718173801898956	-0.22712368	Yes	
row_105	TKFC	NA	13136	-0.24027439951896667	-0.21991183	Yes	
row_106	ACOX3	NA	13144	-0.24065785109996796	-0.21036522	Yes	
row_107	ENTPD5	NA	13185	-0.24302847683429718	-0.20284572	Yes	
row_108	AHCY	NA	13400	-0.25545430183410645	-0.20601775	Yes	
row_109	XDH	NA	13517	-0.2626524865627289	-0.20257835	Yes	
row_110	TMBIM6	NA	13580	-0.26708441972732544	-0.19547658	Yes	
row_111	TMEM97	NA	13643	-0.27164867520332336	-0.1881852	Yes	
row_112	ACOX1	NA	13666	-0.27249518036842346	-0.17828217	Yes	
row_113	IGFBP4	NA	13714	-0.2751431465148926	-0.16987944	Yes	
row_114	ALDH2	NA	13757	-0.27792924642562866	-0.1610389	Yes	
row_115	DCXR	NA	13840	-0.28396713733673096	-0.15452403	Yes	
row_116	DDT	NA	13963	-0.2932646870613098	-0.1501994	Yes	
row_117	RBP4	NA	14073	-0.3019273281097412	-0.14467755	Yes	
row_118	FAH	NA	14129	-0.30687034130096436	-0.13547209	Yes	
row_119	UPB1	NA	14190	-0.31265273690223694	-0.12634848	Yes	
row_120	ANGPTL3	NA	14388	-0.3288413882255554	-0.12537682	Yes	
row_121	PTGES	NA	14548	-0.34678637981414795	-0.12121203	Yes	
row_122	BCAR1	NA	14696	-0.36089959740638733	-0.115687996	Yes	
row_123	GNMT	NA	14750	-0.3677356541156769	-0.10382522	Yes	
row_124	CAT	NA	14802	-0.3743952810764313	-0.09155696	Yes	
row_125	TYR	NA	14920	-0.3938645124435425	-0.08273111	Yes	
row_126	UGDH	NA	15069	-0.41962748765945435	-0.07483179	Yes	
row_127	DHRS7	NA	15264	-0.46645307540893555	-0.06795018	Yes	
row_128	HSD17B2	NA	15268	-0.46692121028900146	-0.048746392	Yes	
row_129	KYNU	NA	15308	-0.47509273886680603	-0.031521972	Yes	
row_130	LEAP2	NA	15434	-0.5207667946815491	-0.0179396	Yes	
row_131	HACL1	NA	15629	-0.7744964361190796	0.0017388721	Yes	
