NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	140	0.49845952	2.4487114	0.0	0.0	0.0	5182	tags=73%, list=33%, signal=108%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	152	0.45806062	2.260036	0.0	0.0	0.0	4619	tags=58%, list=30%, signal=81%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	167	0.36552233	1.8613089	0.0	0.002474375	0.006	4169	tags=43%, list=27%, signal=58%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	35	0.42984983	1.6475651	0.010593221	0.024753187	0.073	4258	tags=46%, list=27%, signal=63%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	147	0.29681018	1.4621153	0.008385744	0.099405155	0.33	5058	tags=42%, list=32%, signal=62%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	135	0.29259515	1.4391334	0.015801355	0.10269871	0.398	3793	tags=36%, list=24%, signal=47%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	151	0.28401512	1.4082568	0.015184382	0.11265571	0.469	3848	tags=32%, list=25%, signal=42%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	146	0.2594873	1.2958088	0.04796163	0.24102944	0.784	5099	tags=42%, list=33%, signal=62%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	101	0.27618524	1.2800395	0.07158352	0.24349082	0.833	2700	tags=23%, list=17%, signal=27%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	119	0.2627126	1.2629001	0.08125	0.25077254	0.872	2791	tags=24%, list=18%, signal=29%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	119	0.2550059	1.2133762	0.11872146	0.3273272	0.949	3860	tags=26%, list=25%, signal=34%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	148	0.23924634	1.1890966	0.1137339	0.35333374	0.972	4086	tags=33%, list=26%, signal=44%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	57	0.28211075	1.1841538	0.1799591	0.33742607	0.976	2139	tags=21%, list=14%, signal=24%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	125	0.23958719	1.1691196	0.14718615	0.34572726	0.987	2354	tags=22%, list=15%, signal=25%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	163	0.23137777	1.1670203	0.15419501	0.32756352	0.989	3094	tags=25%, list=20%, signal=31%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	50	0.28156036	1.1335839	0.22360249	0.38171795	0.995	2099	tags=18%, list=13%, signal=21%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	164	0.21743199	1.0988573	0.26327944	0.44642955	0.999	3031	tags=23%, list=19%, signal=28%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	28	0.31108585	1.0959984	0.30879346	0.42975092	0.999	3167	tags=32%, list=20%, signal=40%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	33	0.2914831	1.0768698	0.33808553	0.45548478	1.0	3772	tags=36%, list=24%, signal=48%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	156	0.20276324	1.0122144	0.42982456	0.62054366	1.0	2791	tags=19%, list=18%, signal=23%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		133	0.2062341	1.0053353	0.4371134	0.6110852	1.0	5245	tags=37%, list=33%, signal=55%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		34	0.26107752	0.9646001	0.53521127	0.7066066	1.0	1131	tags=12%, list=7%, signal=13%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		138	0.17984046	0.8855568	0.7526205	0.9102184	1.0	2625	tags=18%, list=17%, signal=22%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		164	0.17606708	0.87525934	0.8087912	0.90066826	1.0	3525	tags=23%, list=23%, signal=29%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		119	0.16363953	0.7876133	0.9024943	1.0	1.0	5122	tags=30%, list=33%, signal=45%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		27	0.21808863	0.75544876	0.83531743	1.0	1.0	4289	tags=33%, list=27%, signal=46%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		153	0.15109943	0.75517386	0.9873949	1.0	1.0	2391	tags=15%, list=15%, signal=18%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		39	0.17746855	0.68273187	0.954071	1.0	1.0	3521	tags=28%, list=22%, signal=36%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		174	0.118391834	0.6063467	1.0	0.99474394	1.0	5079	tags=30%, list=32%, signal=45%	
