NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	132	-0.41295743	-1.9860405	0.0	7.7777775E-4	0.001	3981	tags=45%, list=25%, signal=60%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	81	-0.39438733	-1.7337757	0.0	0.013083628	0.034	4988	tags=52%, list=32%, signal=76%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	168	-0.32805723	-1.6089385	0.0	0.035996538	0.128	5171	tags=54%, list=33%, signal=79%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	171	-0.3197835	-1.5837964	0.0037313432	0.034834176	0.164	5918	tags=59%, list=38%, signal=94%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	81	-0.34967434	-1.536639	0.011070111	0.040422708	0.228	4036	tags=44%, list=26%, signal=60%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	-0.32647672	-1.4959784	0.013358778	0.04885147	0.311	3873	tags=37%, list=25%, signal=49%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	51	-0.34740347	-1.3978019	0.048780486	0.094890095	0.558	3209	tags=43%, list=20%, signal=54%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	90	-0.2810196	-1.262158	0.10338346	0.24280235	0.912	4176	tags=36%, list=27%, signal=48%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	110	-0.27179497	-1.2568874	0.106796116	0.22529992	0.923	3386	tags=31%, list=22%, signal=39%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	167	-0.25304222	-1.2511314	0.083636366	0.21165642	0.936	3615	tags=33%, list=23%, signal=42%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	89	-0.27288222	-1.2154795	0.1482821	0.24792744	0.981	3990	tags=30%, list=25%, signal=40%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	89	-0.2621567	-1.1562872	0.22201492	0.3362831	0.996	4958	tags=40%, list=32%, signal=59%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	36	-0.3058642	-1.1270459	0.27309236	0.3698459	1.0	3137	tags=36%, list=20%, signal=45%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	156	-0.22739664	-1.1257071	0.20856611	0.34620014	1.0	3304	tags=28%, list=21%, signal=35%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	117	-0.2389965	-1.118051	0.21821631	0.33805314	1.0	3045	tags=29%, list=19%, signal=36%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	163	-0.22349477	-1.0943881	0.27355072	0.36150813	1.0	4056	tags=34%, list=26%, signal=46%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	161	-0.20579204	-1.0057752	0.441331	0.54176176	1.0	5228	tags=40%, list=33%, signal=60%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	111	-0.1786638	-0.8322225	0.82824427	0.957248	1.0	5462	tags=41%, list=35%, signal=63%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	46	-0.20696028	-0.79520065	0.7863894	0.9734481	1.0	529	tags=9%, list=3%, signal=9%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	43	-0.19909939	-0.7742606	0.8485981	0.9530353	1.0	5157	tags=37%, list=33%, signal=55%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		82	-0.1398379	-0.61710805	0.99628943	0.99258965	1.0	2955	tags=18%, list=19%, signal=22%	
