NAME	TITLE	SCORE	
EOMES	NA	1.1226507	
EFHC2	NA	0.97127193	
NR0B1	NA	0.9159237	
C7H21orf58	NA	0.86263835	
CRHBP	NA	0.857628	
PRSS57	NA	0.8410959	
ALDH1A2	NA	0.83623385	
OPRL1	NA	0.8053963	
LOC103536482	NA	0.79378235	
FKBP9	NA	0.7837282	
ARSK	NA	0.7813381	
FZD3	NA	0.77874327	
ABCC5	NA	0.77664405	
FAM81B	NA	0.774686	
LOC115598576	NA	0.77281314	
LOC103529648	NA	0.7705865	
HHIPL2	NA	0.7677355	
LOC115598880	NA	0.7668679	
AXIN2	NA	0.765249	
CHRD	NA	0.75864214	
SERPINH1	NA	0.75032836	
INSYN2B	NA	0.7401916	
LOC103535389	NA	0.738199	
ANOS1	NA	0.7345459	
LOC115597952	NA	0.7336078	
LOC115600355	NA	0.724189	
LOC115598697	NA	0.7239022	
LOC103527666	NA	0.72357327	
LOC115599698	NA	0.7230468	
HSPBAP1	NA	0.7210174	
GPX8	NA	0.7191768	
HOXC5	NA	0.718359	
PALM	NA	0.70593536	
WNT4	NA	0.7013507	
ACKR1	NA	0.70035833	
PCARE	NA	0.69397426	
LOC115599825	NA	0.69372505	
NAAA	NA	0.6909018	
STAT6	NA	0.68703216	
LOC115599840	NA	0.68614256	
TMEM72	NA	0.6833904	
LOC103535917	NA	0.6831332	
ENDOD1	NA	0.6799631	
IRF2	NA	0.67825884	
BRD3	NA	0.6756718	
B3GNT9	NA	0.67309666	
LOC115598474	NA	0.670765	
C5H11orf24	NA	0.6702114	
SYT13	NA	0.6604526	
FNDC11	NA	0.6591181	
KCNK13	NA	0.6581409	
MTHFSD	NA	0.6577715	
OPTC	NA	0.65336674	
DTD2	NA	0.65077657	
LOC115599543	NA	0.6484682	
TRAFD1	NA	0.64499027	
LOC103533758	NA	0.6413791	
DOCK1	NA	0.64122164	
ANKLE2	NA	0.6389791	
SIAH1	NA	0.63752	
WDR93	NA	0.6339575	
LOC103539866	NA	0.6318396	
PCNX4	NA	0.63112116	
NEMF	NA	0.6307407	
SUB1	NA	0.63015926	
ADAM19	NA	0.6292713	
MYMK	NA	0.626333	
TGIF1	NA	0.6260291	
FAM89A	NA	0.6250931	
ZFHX4	NA	0.62276167	
LOC115598191	NA	0.6222689	
TECTA	NA	0.6202322	
FRMPD2	NA	0.6186257	
LOC103527041	NA	0.61839455	
ZDHHC23	NA	0.61824226	
CMSS1	NA	0.61719245	
LOC115599919	NA	0.6164607	
NUDT2	NA	0.6152587	
LOC103537622	NA	0.614027	
KCNJ3	NA	0.6138788	
LOC103525834	NA	0.6133245	
TGM2	NA	0.6118505	
LOC115599947	NA	0.61166084	
TOR1B	NA	0.61144185	
LOC115598475	NA	0.6100318	
LOC115599539	NA	0.6073678	
FAM180B	NA	0.6054057	
LOC115599247	NA	0.6048021	
HIC1	NA	0.6039842	
LOC115599034	NA	0.60368466	
WNK4	NA	0.600854	
LINGO2	NA	0.60075575	
LOC115599724	NA	0.6002119	
RARS2	NA	0.5994965	
LOC115600235	NA	0.59926045	
LOC115598272	NA	0.5987737	
PIGK	NA	0.59847826	
KBTBD3	NA	0.5976763	
TNRC18	NA	0.5974453	
PHF12	NA	0.59302354	
LOC115599367	NA	0.5929618	
LOC115598016	NA	0.5924057	
KANK3	NA	0.5923718	
PI15	NA	0.59200895	
LOC115599957	NA	0.59006506	
LOC115597931	NA	0.5891896	
LOC115599958	NA	0.58857864	
LOC115598521	NA	0.5866318	
GPR119	NA	0.5862135	
LOC115598759	NA	0.58586234	
DTWD1	NA	0.58389205	
UPK3A	NA	0.5833099	
LOC103530705	NA	0.58051294	
LOC103530469	NA	0.5803847	
DDX43	NA	0.5796633	
LEXM	NA	0.57770747	
HOXC6	NA	0.57715225	
HEXB	NA	0.5748599	
GATD1	NA	0.5746421	
GRIP1	NA	0.5733149	
CKAP4	NA	0.5722202	
TSGA10	NA	0.5708147	
LOC115599624	NA	0.56992733	
LOC103535608	NA	0.56981397	
LOC103533635	NA	0.56881857	
TMEM61	NA	0.5687572	
HOXA5	NA	0.5678308	
BAG2	NA	0.5648992	
LIF	NA	0.5642781	
SLC31A2	NA	0.56272626	
LOC115598714	NA	0.5618286	
CRPPA	NA	0.56162167	
PLCD1	NA	0.5601744	
MEI4	NA	0.55960685	
LOC103533684	NA	0.5585832	
PRDM4	NA	0.5579939	
KRCC1	NA	0.5561035	
LOC115598659	NA	0.5555693	
SATB1	NA	0.55368024	
LOC103539783	NA	0.5527296	
SPARC	NA	0.5524513	
LOC115599231	NA	0.5524198	
LOC103532686	NA	0.5523707	
LOC103527500	NA	0.5512154	
FSTL3	NA	0.5501035	
LOC115599126	NA	0.5499869	
LOC103534842	NA	0.54925823	
TRPV4	NA	0.5486576	
CLRN2	NA	0.5480624	
IGSF21	NA	0.54802674	
PLGRKT	NA	0.54777503	
TRNAL-CAA_1	NA	0.54742426	
LOC115600340	NA	0.5466497	
EIF2AK1	NA	0.54663396	
COL6A1	NA	0.5440126	
LOC115600022	NA	0.543608	
NEMP2	NA	0.54318875	
ITGB8	NA	0.542771	
GASK1A	NA	0.54273105	
COL9A3	NA	0.54203594	
SLC4A1	NA	0.54187346	
VSX2	NA	0.5414864	
NGB	NA	0.5411387	
CA10	NA	0.54098916	
TEX12	NA	0.5400144	
LOC115600244	NA	0.5390428	
MRPS27	NA	0.5389949	
TMSB15B	NA	0.5377299	
LOC103529755	NA	0.53607786	
RGS8	NA	0.53575623	
COL4A5	NA	0.53437036	
RCN1	NA	0.53415006	
GOLGA7B	NA	0.5329436	
LOC115600259	NA	0.531897	
AADAT	NA	0.5304769	
STXBP1	NA	0.53008664	
ATP2B4	NA	0.5285243	
ST6GALNAC6	NA	0.5273097	
LOC115599510	NA	0.52721405	
INPP4A	NA	0.5267045	
VMO1	NA	0.5265125	
FUT7	NA	0.5259998	
CEP126	NA	0.5258648	
LOC115598109	NA	0.52501035	
LOC115597909	NA	0.52382684	
LOC103531003	NA	0.5236494	
SCUBE1	NA	0.52159363	
DENND6B	NA	0.5215576	
ARAP3	NA	0.52115357	
LOC103528982	NA	0.5202717	
HOXA6	NA	0.51968616	
LOC115598463	NA	0.51941615	
ACTL7B	NA	0.5186243	
MTERF3	NA	0.5180471	
FAM149A	NA	0.51792693	
DLL4	NA	0.517518	
ABHD8	NA	0.5174388	
LOC115599927	NA	0.516777	
MEX3D	NA	0.5165363	
LOC115599703	NA	0.516398	
LOC115598009	NA	0.5149636	
SCX	NA	0.5148602	
SLC43A2	NA	0.51485616	
LUM	NA	0.5148105	
RFX8	NA	0.5145088	
COL18A1	NA	0.513892	
MAP10	NA	0.5137521	
GLI1	NA	0.51231	
LOC103530470	NA	0.51189345	
PPP4R2	NA	0.5118867	
LOC115599184	NA	0.511455	
GFI1B	NA	0.5112033	
C5AH11orf49	NA	0.5105501	
TSHR	NA	0.51030034	
LOC115599466	NA	0.5095515	
LOC115599722	NA	0.5089981	
PMM2	NA	0.5085002	
AMER2	NA	0.5084493	
FAM214A	NA	0.5083589	
INTS10	NA	0.5080471	
HOXC8	NA	0.50745195	
AUTS2	NA	0.50701505	
LOC115598834	NA	0.5058113	
LRRC38	NA	0.50574857	
PTGFR	NA	0.50550336	
BCCIP	NA	0.50485873	
AGGF1	NA	0.50441414	
LOC103538968	NA	0.50390816	
GALNT17	NA	0.5030245	
LOC103538172	NA	0.50286853	
SNCA	NA	0.5024844	
PLIN2	NA	0.502409	
THUMPD2	NA	0.50161433	
HOXD3	NA	0.50090003	
S100B	NA	0.50050384	
GUCA1B	NA	0.50004685	
DARS2	NA	0.49912184	
HOXA4	NA	0.49866453	
PFDN4	NA	0.49826384	
ELAVL2	NA	0.49821797	
LOC115598355	NA	0.49815196	
PHLDB1	NA	0.49726176	
CAPN5	NA	0.49663436	
PTGR2	NA	0.49658868	
LOC115599380	NA	0.49617106	
HOXD4	NA	0.49599198	
IARS2	NA	0.49579135	
PXDN	NA	0.4946088	
PLEKHF2	NA	0.49375975	
LOC103532771	NA	0.4929919	
SLC9A1	NA	0.49279678	
FGL2	NA	0.4926991	
FRRS1L	NA	0.49237362	
LOC115599465	NA	0.4923145	
TCP11L2	NA	0.49214527	
MSH3	NA	0.49167448	
VAMP1	NA	0.4914969	
C2H5orf49	NA	0.4900477	
LOC115598690	NA	0.48996642	
CCDC73	NA	0.48954293	
GPNMB	NA	0.48936662	
HOXA9	NA	0.4892436	
DPT	NA	0.48902732	
TBPL2	NA	0.48879007	
TIRAP	NA	0.4887802	
LOC115599962	NA	0.48813772	
LOC115599182	NA	0.48775867	
WDR54	NA	0.48762196	
SOCS3	NA	0.48743096	
LOC103532419	NA	0.4869254	
ACTA1	NA	0.48628727	
RMC1	NA	0.4861254	
ATG7	NA	0.48587576	
CAPN11	NA	0.48490325	
F2RL2	NA	0.48438963	
NPHP3	NA	0.48380893	
CFAP74	NA	0.4836382	
GJB7	NA	0.48358113	
PLEKHF1	NA	0.48345163	
COL4A6	NA	0.4830633	
VPS37D	NA	0.48197857	
PRR5L	NA	0.48159197	
VRK2	NA	0.48112175	
IDS	NA	0.48089096	
COL28A1	NA	0.480792	
LOC115598747	NA	0.48068613	
LOC103530172	NA	0.4806258	
COL6A2	NA	0.4805024	
CAPN9	NA	0.4801859	
MEGF10	NA	0.48016164	
PTRH1	NA	0.48002693	
SUN1	NA	0.47970322	
PNMT	NA	0.4795849	
LOC103536116	NA	0.47940648	
EPHA8	NA	0.47921565	
CILP	NA	0.47897807	
MSL3	NA	0.47868302	
AXIN1	NA	0.4785811	
SARS1	NA	0.47857141	
NXPH3	NA	0.47805926	
STMP1	NA	0.47753188	
C1QTNF1	NA	0.47716907	
CFAP126	NA	0.47691292	
HOXB9	NA	0.47665736	
HTR1B	NA	0.47646418	
CLEC3B	NA	0.47567564	
KCNQ4	NA	0.47515014	
KIF6	NA	0.47492993	
LOC115599258	NA	0.47460765	
PISD	NA	0.47421327	
LOC115599130	NA	0.47419766	
SPTSSB	NA	0.47419247	
DNAJB13	NA	0.47374678	
MAPK13	NA	0.47266546	
ITPR3	NA	0.47169188	
ATP6V1H	NA	0.4704701	
LOC115600352	NA	0.46979138	
LOC103527594	NA	0.46939537	
B3GNT7	NA	0.46891594	
LOC115599701	NA	0.4688709	
LOC115598132	NA	0.46833065	
ZFAND5	NA	0.4682745	
FOXD2	NA	0.46823317	
PRDM6	NA	0.46766734	
AIF1L	NA	0.46718886	
PRELP	NA	0.46710834	
LOC115598353	NA	0.4669543	
