NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL15	NA	194	0.7773243188858032	0.008290663	No	
row_1	CCL22	NA	214	0.7619984149932861	0.027434409	No	
row_2	CD40LG	NA	245	0.7445117831230164	0.045402832	No	
row_3	IFNGR1	NA	673	0.6080058813095093	0.03417249	No	
row_4	NPM1	NA	826	0.5791913866996765	0.03987054	No	
row_5	IL2RA	NA	840	0.5759568214416504	0.05442795	No	
row_6	IL2RG	NA	979	0.5498929023742676	0.060243934	No	
row_7	THY1	NA	1000	0.5463529229164124	0.07355959	No	
row_8	FAS	NA	1007	0.5456032752990723	0.087756224	No	
row_9	FASLG	NA	1102	0.5290027260780334	0.095845625	No	
row_10	CD74	NA	1126	0.5245726704597473	0.10838607	No	
row_11	LY75	NA	1347	0.49014025926589966	0.10732761	No	
row_12	CRTAM	NA	1456	0.4760867953300476	0.11310167	No	
row_13	HIF1A	NA	1587	0.45886680483818054	0.1169996	No	
row_14	ACVR2A	NA	1841	0.4284152090549469	0.11216754	No	
row_15	IRF7	NA	1907	0.42076003551483154	0.11923024	No	
row_16	DARS1	NA	1936	0.41590723395347595	0.1285445	No	
row_17	UBE2N	NA	2340	0.3724265694618225	0.11256223	No	
row_18	IFNG	NA	2625	0.3453039526939392	0.10351368	No	
row_19	GALNT1	NA	2863	0.32413598895072937	0.0969242	No	
row_20	IL7	NA	2967	0.31635087728500366	0.09875066	No	
row_21	ITK	NA	3074	0.30709514021873474	0.10013666	No	
row_22	LCK	NA	3202	0.29659318923950195	0.09989044	No	
row_23	MTIF2	NA	3575	0.26692548394203186	0.083083466	No	
row_24	EIF3A	NA	4062	0.23172354698181152	0.057998776	No	
row_25	IL18	NA	4085	0.22999674081802368	0.0627302	No	
row_26	IL12RB1	NA	4172	0.2245357483625412	0.06319673	No	
row_27	MRPL3	NA	4605	0.19601011276245117	0.04063285	No	
row_28	CD247	NA	4703	0.18983428180217743	0.03946395	No	
row_29	EIF4G3	NA	4785	0.18436910212039948	0.039178703	No	
row_30	CD96	NA	4870	0.17836077511310577	0.038539797	No	
row_31	STAT4	NA	5028	0.16820475459098816	0.032931283	No	
row_32	RPL39	NA	5204	0.15691016614437103	0.025862439	No	
row_33	RPL3L	NA	5266	0.1537700593471527	0.026046516	No	
row_34	IL2RB	NA	5395	0.14491881430149078	0.021682013	No	
row_35	IL10	NA	5667	0.12620511651039124	0.0076140873	No	
row_36	BRCA1	NA	5938	0.1074594035744667	-0.0068905116	No	
