NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDGFA	NA	11	1.2190943956375122	0.12209343	Yes	
row_1	COL5A2	NA	958	0.5532636046409607	0.1172942	Yes	
row_2	COL3A1	NA	1149	0.5210168361663818	0.15761843	Yes	
row_3	LPL	NA	1624	0.45354074239730835	0.17297456	Yes	
row_4	ITGAV	NA	1648	0.45027926564216614	0.21685879	Yes	
row_5	TNFRSF21	NA	1995	0.40928012132644653	0.23594652	Yes	
row_6	FGFR1	NA	2190	0.3880179226398468	0.26261806	Yes	
row_7	POSTN	NA	2314	0.3749721944332123	0.29251838	Yes	
row_8	MSX1	NA	3614	0.26410144567489624	0.23600614	No	
row_9	FSTL1	NA	3636	0.2624945044517517	0.2611031	No	
row_10	VCAN	NA	3642	0.26184889674186707	0.28715876	No	
row_11	PTK2	NA	4092	0.22904019057750702	0.28150094	No	
row_12	LUM	NA	5132	0.160745307803154	0.23121354	No	
row_13	STC1	NA	6878	0.04378165677189827	0.12397217	No	
row_14	SLCO2A1	NA	8102	-0.04094519466161728	0.049844537	No	
row_15	APP	NA	8857	-0.0977773442864418	0.011449829	No	
row_16	JAG1	NA	9730	-0.1648167371749878	-0.027742187	No	
row_17	LRPAP1	NA	9820	-0.17205116152763367	-0.016106315	No	
row_18	KCNJ8	NA	10096	-0.19191807508468628	-0.014370239	No	
row_19	NRP1	NA	10713	-0.23878741264343262	-0.029731512	No	
row_20	VAV2	NA	10903	-0.2539548873901367	-0.016243983	No	
row_21	JAG2	NA	11846	-0.329051673412323	-0.043371752	No	
row_22	VEGFA	NA	12222	-0.3592512607574463	-0.03117886	No	
row_23	SPP1	NA	12832	-0.41355568170547485	-0.028488142	No	
row_24	VTN	NA	13739	-0.4906649887561798	-0.037033476	No	
row_25	APOH	NA	13955	-0.5072342157363892	3.028648E-4	No	
row_26	CCND2	NA	14090	-0.5194900035858154	0.04405638	No	
row_27	THBD	NA	14431	-0.5567251443862915	0.0783799	No	
