NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NTNG1	NA	7	1.239126443862915	0.095168985	Yes	
row_1	SCUBE1	NA	192	0.7789019346237183	0.1434946	Yes	
row_2	TMEM8B	NA	272	0.7304612398147583	0.19480361	Yes	
row_3	EFNA5	NA	715	0.5986133813858032	0.21270213	Yes	
row_4	IL2RG	NA	979	0.5498929023742676	0.23829933	Yes	
row_5	THY1	NA	1000	0.5463529229164124	0.27917835	Yes	
row_6	AKAP7	NA	1245	0.5058717131614685	0.30259487	Yes	
row_7	SULF2	NA	1588	0.45871788263320923	0.31609958	Yes	
row_8	ATP8B1	NA	1859	0.4260842502117157	0.33169502	Yes	
row_9	CX3CL1	NA	1913	0.41972479224205017	0.3606904	Yes	
row_10	MAL	NA	3599	0.26498642563819885	0.27327734	No	
row_11	HSPB1	NA	3781	0.2521381676197052	0.28114733	No	
row_12	IL2RB	NA	5395	0.14491881430149078	0.18907815	No	
row_13	PKHD1	NA	5606	0.13083259761333466	0.18573126	No	
row_14	BRCA1	NA	5938	0.1074594035744667	0.17283529	No	
row_15	GAS1	NA	6189	0.09165503829717636	0.16390477	No	
row_16	MDGA1	NA	6193	0.09125132113695145	0.17075413	No	
row_17	ATP6V0A4	NA	6416	0.07651276141405106	0.1624475	No	
row_18	PCSK9	NA	7747	-0.01329570822417736	0.07833712	No	
row_19	RTN4RL1	NA	8711	-0.08640070259571075	0.023360385	No	
row_20	APP	NA	8857	-0.0977773442864418	0.021623582	No	
row_21	B4GALT1	NA	9094	-0.11634448170661926	0.015494392	No	
row_22	ADIPOR2	NA	9427	-0.14130453765392303	0.0051460634	No	
row_23	NCOA6	NA	9987	-0.185067281126976	-0.016356109	No	
row_24	SRPX	NA	11075	-0.2683708667755127	-0.065228656	No	
row_25	SHROOM2	NA	11530	-0.3060258626937866	-0.07067578	No	
row_26	RHCG	NA	11556	-0.3082064092159271	-0.04849337	No	
row_27	ADAM10	NA	11675	-0.3167074918746948	-0.03160812	No	
row_28	CRYBG1	NA	12372	-0.37418147921562195	-0.047286995	No	
row_29	AFAP1L2	NA	12377	-0.3743772804737091	-0.018654259	No	
row_30	FLOT2	NA	12903	-0.41999948024749756	-0.019851493	No	
row_31	CROCC	NA	13542	-0.475215345621109	-0.024021389	No	
row_32	DCBLD2	NA	14752	-0.6065483093261719	-0.05460801	No	
row_33	GATA3	NA	14900	-0.6301966309547424	-0.015388755	No	
row_34	LYN	NA	15473	-0.8257401585578918	0.011714371	No	
