NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC23A1	NA	486	0.6522715091705322	-0.0041835597	No	
row_1	BCAR3	NA	499	0.6493232846260071	0.021942193	No	
row_2	FADS1	NA	871	0.569891095161438	0.021729438	No	
row_3	CH25H	NA	901	0.5648624300956726	0.043265242	No	
row_4	PEX19	NA	1014	0.5445405840873718	0.058630567	No	
row_5	FADS2	NA	1094	0.5303757786750793	0.07552781	No	
row_6	ALDH1A1	NA	1631	0.45262640714645386	0.059864514	No	
row_7	SULT2B1	NA	1638	0.45164868235588074	0.07818743	No	
row_8	GSTK1	NA	1671	0.4478718638420105	0.09468466	No	
row_9	RBP1	NA	1956	0.41389092803001404	0.09359561	No	
row_10	AKR1D1	NA	1961	0.413006991147995	0.11044631	No	
row_11	DHCR24	NA	2081	0.3996424973011017	0.11936028	No	
row_12	ABCG4	NA	2265	0.3803722858428955	0.12336716	No	
row_13	RXRA	NA	2414	0.3643379807472229	0.12895691	No	
row_14	PAOX	NA	2660	0.34248602390289307	0.12741399	No	
row_15	LCK	NA	3202	0.29659318923950195	0.10496651	No	
row_16	SLC22A18	NA	3230	0.29466870427131653	0.11543879	No	
row_17	ABCG8	NA	3478	0.274576872587204	0.110954545	No	
row_18	IDI1	NA	3608	0.2645616829395294	0.113631204	No	
row_19	ABCD2	NA	3880	0.24556531012058258	0.10640441	No	
row_20	PEX6	NA	3893	0.24439114332199097	0.11575713	No	
row_21	PEX16	NA	4717	0.18853633105754852	0.07072895	No	
row_22	OPTN	NA	4728	0.1878005713224411	0.07786599	No	
row_23	ACSL1	NA	4944	0.17304962873458862	0.07123073	No	
row_24	GNPAT	NA	5165	0.15920902788639069	0.063701175	No	
row_25	NR3C2	NA	5170	0.15887607634067535	0.07002531	No	
row_26	FDXR	NA	5486	0.13865652680397034	0.055545297	No	
row_27	TFCP2L1	NA	5863	0.11239586025476456	0.03606124	No	
row_28	PEX12	NA	5945	0.10679013282060623	0.035284374	No	
row_29	PEX13	NA	6222	0.08873378485441208	0.021240324	No	
row_30	HSD17B4	NA	6399	0.07752541452646255	0.013152135	No	
row_31	SCP2	NA	6625	0.061249230057001114	0.0012438912	No	
