NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IMPDH2	NA	145	0.8153091073036194	0.017186288	Yes	
row_1	CANT1	NA	278	0.7249177098274231	0.032269336	Yes	
row_2	ADA	NA	322	0.7054803967475891	0.052444883	Yes	
row_3	DCTN4	NA	567	0.6329273581504822	0.057332553	Yes	
row_4	GTF2A2	NA	718	0.5980178117752075	0.06713119	Yes	
row_5	PDE6G	NA	999	0.5464327335357666	0.066890605	Yes	
row_6	AAAS	NA	1121	0.525334358215332	0.07619098	Yes	
row_7	GSDME	NA	1293	0.4975893199443817	0.081373066	Yes	
row_8	TAF10	NA	1383	0.4856491684913635	0.0914412	Yes	
row_9	RFC2	NA	1457	0.47605958580970764	0.10222663	Yes	
row_10	PRIM1	NA	1483	0.4727906584739685	0.11599317	Yes	
row_11	ALYREF	NA	1523	0.4673987329006195	0.12868388	Yes	
row_12	SDCBP	NA	1534	0.46546033024787903	0.14317687	Yes	
row_13	RFC5	NA	1554	0.46259358525276184	0.15699774	Yes	
row_14	TSG101	NA	1839	0.4284592568874359	0.15266351	Yes	
row_15	VPS37B	NA	2137	0.3941177427768707	0.14637637	Yes	
row_16	HPRT1	NA	2383	0.3684008717536926	0.14259765	Yes	
row_17	POLR2E	NA	2438	0.36258625984191895	0.15091516	Yes	
row_18	CMPK2	NA	2543	0.35225892066955566	0.1556808	Yes	
row_19	APRT	NA	2569	0.350279837846756	0.16546345	Yes	
row_20	GTF3C5	NA	2583	0.3487910330295563	0.17596953	Yes	
row_21	VPS37D	NA	2603	0.34694960713386536	0.18602979	Yes	
row_22	POLR2J	NA	2733	0.3350384533405304	0.1886274	Yes	
row_23	RBX1	NA	2904	0.3206782341003418	0.18812089	Yes	
row_24	AK1	NA	2947	0.3180210292339325	0.19576105	Yes	
row_25	GPX4	NA	3038	0.31052568554878235	0.20007007	Yes	
row_26	SF3A3	NA	3201	0.29659461975097656	0.19929494	Yes	
row_27	ADCY6	NA	3348	0.2849498391151428	0.19917028	Yes	
row_28	CLP1	NA	3429	0.27881309390068054	0.20309125	Yes	
row_29	ELOA	NA	3520	0.2714706361293793	0.20613024	Yes	
row_30	ERCC3	NA	3740	0.25484558939933777	0.20033118	No	
row_31	DGUOK	NA	4014	0.23543764650821686	0.19042768	No	
row_32	RRM2B	NA	4069	0.23113197088241577	0.19447047	No	
row_33	EDF1	NA	4145	0.22634240984916687	0.19700676	No	
