NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JPT1	NA	129	0.8363630175590515	0.012037554	Yes	
row_1	NOP56	NA	151	0.8096451163291931	0.0303972	Yes	
row_2	ILF3	NA	652	0.6134147047996521	0.0130533185	Yes	
row_3	PA2G4	NA	671	0.609283447265625	0.026727697	Yes	
row_4	HELLS	NA	795	0.5838261246681213	0.033003166	Yes	
row_5	HMGA1	NA	802	0.5828784108161926	0.04680931	Yes	
row_6	MYC	NA	833	0.5777109861373901	0.05894013	Yes	
row_7	PHF5A	NA	869	0.5703374147415161	0.07056859	Yes	
row_8	DCK	NA	1082	0.5322443842887878	0.069841996	Yes	
row_9	SPAG5	NA	1176	0.5166696906089783	0.07641902	Yes	
row_10	NOLC1	NA	1177	0.5166423916816711	0.08899964	Yes	
row_11	LYAR	NA	1306	0.49580684304237366	0.09280896	Yes	
row_12	RFC2	NA	1457	0.47605958580970764	0.09471706	Yes	
row_13	SNRPB	NA	1539	0.4649166762828827	0.100808606	Yes	
row_14	PPP1R8	NA	1930	0.4165039658546448	0.08577162	Yes	
row_15	TIMELESS	NA	1970	0.4124853014945984	0.09329802	Yes	
row_16	DONSON	NA	2417	0.36401596665382385	0.07336745	Yes	
row_17	CHEK1	NA	2484	0.35785073041915894	0.07782028	Yes	
row_18	RAN	NA	2557	0.35113897919654846	0.08172231	Yes	
row_19	NAP1L1	NA	2590	0.3481696546077728	0.08813451	Yes	
row_20	PRIM2	NA	2611	0.34618037939071655	0.09527302	Yes	
row_21	TUBG1	NA	2799	0.329430490732193	0.0912218	Yes	
row_22	CDC20	NA	2852	0.3250730633735657	0.09578035	Yes	
row_23	TIPIN	NA	2894	0.32123032212257385	0.1009555	Yes	
row_24	CKS2	NA	3287	0.29052311182022095	0.082721666	Yes	
row_25	CTCF	NA	3290	0.2903594672679901	0.08966301	Yes	
row_26	MKI67	NA	3399	0.2810697853565216	0.089534566	Yes	
row_27	CIT	NA	3432	0.2786400318145752	0.094253674	Yes	
row_28	SRSF2	NA	3554	0.26855358481407166	0.09298115	Yes	
row_29	PLK1	NA	3588	0.26549699902534485	0.097315654	Yes	
row_30	SPC25	NA	3594	0.2653712034225464	0.10345482	Yes	
row_31	E2F8	NA	3672	0.2592602074146271	0.10479673	Yes	
row_32	PRPS1	NA	3768	0.25269126892089844	0.104816556	Yes	
row_33	ORC2	NA	3850	0.24736450612545013	0.10561055	Yes	
row_34	MCM2	NA	3875	0.2460547834634781	0.110052675	Yes	
row_35	POLE	NA	3876	0.24603493511676788	0.1160438	Yes	
row_36	CDCA3	NA	3915	0.2418992519378662	0.11948087	Yes	
row_37	UNG	NA	3921	0.24139061570167542	0.12503609	Yes	
row_38	TRIP13	NA	3928	0.24112515151500702	0.1305203	Yes	
row_39	MELK	NA	3939	0.24066370725631714	0.135735	Yes	
row_40	KPNA2	NA	3978	0.23825672268867493	0.13908339	Yes	
row_41	RRM2	NA	3997	0.2370072901248932	0.14369257	Yes	
row_42	AURKA	NA	4058	0.23225553333759308	0.14547443	Yes	
row_43	PAN2	NA	4061	0.23197166621685028	0.15099399	Yes	
row_44	CDKN3	NA	4129	0.2274278998374939	0.15220638	Yes	
row_45	PNN	NA	4202	0.2222723364830017	0.1529704	Yes	
row_46	MAD2L1	NA	4221	0.22087064385414124	0.15718666	Yes	
row_47	MCM5	NA	4223	0.22080300748348236	0.1624988	Yes	
row_48	ANP32E	NA	4316	0.21450838446617126	0.16178255	Yes	
row_49	RACGAP1	NA	4422	0.20807696878910065	0.16007036	Yes	
row_50	CNOT9	NA	4590	0.1968953162431717	0.15408306	Yes	
row_51	NCAPD2	NA	4625	0.19464722275733948	0.15662776	Yes	
row_52	SYNCRIP	NA	4634	0.19444897770881653	0.16084623	Yes	
row_53	GINS4	NA	4733	0.18757742643356323	0.15908681	Yes	
row_54	TOP2A	NA	4753	0.18628089129924774	0.16239621	Yes	
row_55	HMMR	NA	4770	0.18544919788837433	0.16587904	Yes	
row_56	RPA3	NA	4799	0.1834808737039566	0.1685392	Yes	
row_57	MXD3	NA	4804	0.18320609629154205	0.17274216	Yes	
row_58	USP1	NA	4851	0.17981910705566406	0.17415103	Yes	
row_59	RANBP1	NA	4923	0.1744265854358673	0.17381455	Yes	
row_60	MCM4	NA	4948	0.17286470532417297	0.17647444	Yes	
row_61	RAD50	NA	5050	0.16709157824516296	0.17402248	Yes	
row_62	EIF2S1	NA	5097	0.1628924310207367	0.17501919	Yes	
row_63	EZH2	NA	5110	0.1623249053955078	0.17819718	Yes	
row_64	CDK1	NA	5150	0.1598876565694809	0.17957263	Yes	
row_65	KIF2C	NA	5202	0.1570923924446106	0.18010528	Yes	
row_66	CDCA8	NA	5237	0.1556854248046875	0.18170123	Yes	
row_67	RPA2	NA	5274	0.15303660929203033	0.18310356	Yes	
row_68	MCM3	NA	5278	0.15272371470928192	0.1866288	Yes	
row_69	CCNE1	NA	5358	0.1470961570739746	0.18511032	Yes	
row_70	PPM1D	NA	5368	0.14658740162849426	0.18809876	Yes	
row_71	IPO7	NA	5392	0.1451449692249298	0.19014822	Yes	
row_72	ASF1A	NA	5456	0.1406569480895996	0.18950592	Yes	
row_73	CCNB2	NA	5469	0.13986043632030487	0.19213688	Yes	
row_74	BIRC5	NA	5573	0.13346074521541595	0.18873686	No	
row_75	CENPM	NA	5574	0.1334412544965744	0.19198625	No	
row_76	KIF4A	NA	5792	0.11764921993017197	0.18084115	No	
row_77	WDR90	NA	5817	0.11603452265262604	0.1821172	No	
row_78	DEPDC1	NA	5915	0.10886594653129578	0.17850564	No	
row_79	BRCA1	NA	5938	0.1074594035744667	0.179702	No	
row_80	GINS1	NA	5956	0.10606155544519424	0.18118712	No	
row_81	HMGB3	NA	6056	0.09966504573822021	0.1772224	No	
row_82	PLK4	NA	6065	0.0992940217256546	0.17912379	No	
row_83	MYBL2	NA	6117	0.09582193195819855	0.17816447	No	
row_84	PTTG1	NA	6153	0.09400182962417603	0.17819381	No	
row_85	CDKN2C	NA	6221	0.08894719183444977	0.1760341	No	
row_86	CDC25B	NA	6232	0.08843713253736496	0.17754199	No	
row_87	BUB1B	NA	6312	0.08314811438322067	0.1744663	No	
row_88	BRCA2	NA	6353	0.08040153235197067	0.17384166	No	
row_89	DSCC1	NA	6418	0.07643882930278778	0.17157103	No	
row_90	CENPE	NA	6426	0.07609257847070694	0.17297201	No	
row_91	ESPL1	NA	6497	0.07063967734575272	0.17017281	No	
row_92	ORC6	NA	6519	0.06889387220144272	0.17049462	No	
row_93	MSH2	NA	6540	0.06754236668348312	0.17084809	No	
row_94	SMC4	NA	6834	0.04691798612475395	0.15307392	No	
row_95	BARD1	NA	6957	0.03815968334674835	0.14612658	No	
row_96	NASP	NA	6977	0.03609089180827141	0.14577875	No	
row_97	POLD3	NA	6995	0.03505698963999748	0.14553486	No	
row_98	NBN	NA	7110	0.027036340907216072	0.13883315	No	
row_99	PSMC3IP	NA	7225	0.01957223191857338	0.13194968	No	
row_100	PRKDC	NA	7268	0.01653306931257248	0.12964067	No	
row_101	DIAPH3	NA	7302	0.01426452025771141	0.12785748	No	
row_102	STAG1	NA	7320	0.01332406047731638	0.12708437	No	
row_103	MMS22L	NA	7348	0.011413145810365677	0.12561913	No	
row_104	HMGB2	NA	7609	-0.0010804759804159403	0.10885933	No	
row_105	TRA2B	NA	7641	-0.002898596227169037	0.10692849	No	
row_106	RPA1	NA	7658	-0.004273997154086828	0.105999574	No	
row_107	CDC25A	NA	7666	-0.00532922986894846	0.10567741	No	
row_108	PSIP1	NA	7719	-0.011128445155918598	0.10259118	No	
row_109	DLGAP5	NA	7738	-0.013047156855463982	0.10174677	No	
row_110	RFC3	NA	7806	-0.01813870295882225	0.09786281	No	
row_111	HUS1	NA	7898	-0.02462836354970932	0.09258739	No	
row_112	GSPT1	NA	7954	-0.02958398312330246	0.089756876	No	
row_113	RAD1	NA	7998	-0.03282827138900757	0.0877801	No	
row_114	SMC3	NA	8126	-0.0425863079726696	0.08061775	No	
row_115	BRMS1L	NA	8236	-0.050812769681215286	0.07481782	No	
row_116	NUP205	NA	8411	-0.06436624377965927	0.06515141	No	
row_117	SLBP	NA	8525	-0.0732593759894371	0.059639826	No	
row_118	CCP110	NA	8583	-0.07795686274766922	0.057858102	No	
row_119	RAD51C	NA	8646	-0.08195086568593979	0.055850826	No	
row_120	DUT	NA	8716	-0.08670763671398163	0.053507444	No	
row_121	SSRP1	NA	8782	-0.09169957786798477	0.05154387	No	
row_122	STMN1	NA	9310	-0.1323680579662323	0.020742983	No	
row_123	MRE11	NA	9450	-0.1429307609796524	0.015249341	No	
row_124	CKS1B	NA	9456	-0.14345312118530273	0.018419718	No	
row_125	TMPO	NA	9462	-0.14401030540466309	0.021603664	No	
