NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RET	NA	27	1.0492470264434814	0.018090503	Yes	
row_1	GAL	NA	45	0.997963547706604	0.035856683	Yes	
row_2	MEST	NA	57	0.9776048064231873	0.053625055	Yes	
row_3	DLG5	NA	93	0.900800347328186	0.068393745	Yes	
row_4	FAM102A	NA	114	0.8572337031364441	0.08330647	Yes	
row_5	IMPA2	NA	228	0.7526593208312988	0.09024416	Yes	
row_6	NMU	NA	281	0.7227262258529663	0.100550555	Yes	
row_7	TPBG	NA	335	0.6981887221336365	0.11032866	Yes	
row_8	XRCC3	NA	505	0.6480017900466919	0.11167623	Yes	
row_9	ELOVL5	NA	518	0.6436824202537537	0.123068586	Yes	
row_10	SLC9A3R1	NA	679	0.6070390343666077	0.12422241	Yes	
row_11	LAMC2	NA	752	0.5933043956756592	0.13079259	Yes	
row_12	FRK	NA	808	0.5821295976638794	0.13824804	Yes	
row_13	PCP4	NA	838	0.5761494040489197	0.14726745	Yes	
row_14	OVOL2	NA	862	0.571712851524353	0.15659	Yes	
row_15	ST14	NA	895	0.5665888786315918	0.1652352	Yes	
row_16	PKP3	NA	1012	0.5446421504020691	0.16804764	Yes	
row_17	CPE	NA	1113	0.5261416435241699	0.17154238	Yes	
row_18	SCARB1	NA	1133	0.5236988067626953	0.1802154	Yes	
row_19	AGR2	NA	1158	0.520180344581604	0.18849942	Yes	
row_20	CCNA1	NA	1161	0.5198208093643188	0.19819565	Yes	
row_21	PERP	NA	1254	0.5041260123252869	0.20179026	Yes	
row_22	SFN	NA	1291	0.4979963004589081	0.20888099	Yes	
row_23	PAPSS2	NA	1573	0.4603278636932373	0.19945736	Yes	
row_24	PPIF	NA	1610	0.45533281564712524	0.2057417	Yes	
row_25	SULT2B1	NA	1638	0.45164868235588074	0.2125369	Yes	
row_26	TJP3	NA	1683	0.4463481307029724	0.21813542	Yes	
row_27	ASS1	NA	1720	0.44188442826271057	0.22416557	Yes	
row_28	SCUBE2	NA	1749	0.43799200654029846	0.23063815	Yes	
row_29	DHCR7	NA	1958	0.41337981820106506	0.22503561	Yes	
row_30	HSPB8	NA	2007	0.4080427587032318	0.2296521	Yes	
row_31	MAPK13	NA	2057	0.40234312415122986	0.2340964	Yes	
row_32	GLA	NA	2090	0.3982617259025574	0.23956002	Yes	
row_33	RPS6KA2	NA	2221	0.3852073848247528	0.23845595	Yes	
row_34	PDLIM3	NA	2250	0.38238033652305603	0.2438774	Yes	
row_35	GALE	NA	2251	0.3822312653064728	0.251102	Yes	
row_36	PDCD4	NA	2292	0.37807852029800415	0.25566816	Yes	
row_37	HPRT1	NA	2383	0.3684008717536926	0.2568264	Yes	
row_38	HOMER2	NA	2435	0.36260542273521423	0.2603906	Yes	
row_39	MDK	NA	2681	0.3409123122692108	0.25103188	Yes	
row_40	ASCL1	NA	2752	0.3332352936267853	0.25281543	Yes	
row_41	CDC20	NA	2852	0.3250730633735657	0.25257424	Yes	
row_42	PRKAR2B	NA	2883	0.32221707701683044	0.25672954	Yes	
row_43	CCND1	NA	2906	0.3205917477607727	0.2613701	Yes	
row_44	KLF4	NA	3364	0.2837323546409607	0.2372567	No	
row_45	ATP2B4	NA	3524	0.2711549699306488	0.23212643	No	
row_46	KIF20A	NA	3583	0.26624441146850586	0.2334178	No	
row_47	PLXNB1	NA	3711	0.25740495324134827	0.23009162	No	
row_48	GPER1	NA	3764	0.2528073191642761	0.23151599	No	
row_49	KCNK5	NA	3814	0.24928425252437592	0.23306727	No	
row_50	FKBP4	NA	3999	0.23683185875415802	0.22567576	No	
row_51	GINS2	NA	4035	0.23387344181537628	0.22783877	No	
row_52	TSPAN13	NA	4146	0.22634141147136688	0.22502194	No	
row_53	CKB	NA	4149	0.22614653408527374	0.22916737	No	
row_54	DNAJC1	NA	4274	0.21693837642669678	0.22526982	No	
row_55	RAPGEFL1	NA	4534	0.2015753984451294	0.21237446	No	
row_56	BCL2	NA	4739	0.18711063265800476	0.20275317	No	
row_57	TOP2A	NA	4753	0.18628089129924774	0.2054356	No	
row_58	TNNC1	NA	4886	0.17743796110153198	0.20027547	No	
row_59	CACNA2D2	NA	5010	0.1692877858877182	0.19554175	No	
row_60	SGK1	NA	5172	0.15867097675800323	0.18815641	No	
row_61	TMPRSS3	NA	5217	0.15639570355415344	0.18827449	No	
row_62	METTL3	NA	5656	0.1271945834159851	0.16242784	No	
row_63	CHST8	NA	5715	0.12286517024040222	0.16100916	No	
row_64	CXCL14	NA	5780	0.11912461370229721	0.1591328	No	
row_65	PLK4	NA	6065	0.0992940217256546	0.14269172	No	
row_66	TFPI2	NA	6096	0.09717094898223877	0.14259337	No	
row_67	TRIM29	NA	6124	0.095576211810112	0.14265838	No	
row_68	SLC26A2	NA	6306	0.08378446102142334	0.1325676	No	
row_69	RABEP1	NA	6332	0.08212970942258835	0.13250746	No	
row_70	CHPT1	NA	6405	0.07709198445081711	0.12932062	No	
row_71	FOXC1	NA	6451	0.07463420927524567	0.12782882	No	
row_72	PGR	NA	6463	0.07371468842029572	0.12851262	No	
row_73	GJB3	NA	6745	0.05326936021447182	0.11139512	No	
row_74	CDC6	NA	6856	0.04556424915790558	0.10516139	No	
row_75	CALCR	NA	7165	0.02396477945148945	0.085748516	No	
row_76	LARGE1	NA	7220	0.019740527495741844	0.08263866	No	
row_77	SLC22A5	NA	7231	0.018918825313448906	0.08235125	No	
row_78	MAPT	NA	7235	0.018375644460320473	0.08250508	No	
row_79	NCOR2	NA	7351	0.011178191751241684	0.07529891	No	
row_80	NRIP1	NA	7452	0.004679755307734013	0.06893742	No	
row_81	BATF	NA	7490	0.0025560385547578335	0.06659925	No	
row_82	FARP1	NA	7850	-0.02105790190398693	0.043841954	No	
row_83	MYB	NA	7951	-0.029390405863523483	0.037947517	No	
row_84	SLC16A1	NA	8028	-0.035895731300115585	0.03372403	No	
row_85	WFS1	NA	8064	-0.03841627761721611	0.03219266	No	
row_86	ABCA3	NA	8137	-0.04332888498902321	0.028367661	No	
row_87	UGDH	NA	8257	-0.05264201760292053	0.021687217	No	
