NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPD2	NA	137	0.8307240009307861	0.015925718	No	
row_1	FABP1	NA	175	0.7929636240005493	0.037161816	No	
row_2	SMS	NA	177	0.791405439376831	0.060668107	No	
row_3	ALAD	NA	247	0.7443410754203796	0.078396864	No	
row_4	ELOVL5	NA	518	0.6436824202537537	0.08019331	No	
row_5	CPOX	NA	922	0.5598915815353394	0.07093564	No	
row_6	YWHAH	NA	1269	0.5017000436782837	0.06361278	No	
row_7	ENO2	NA	1354	0.4894794523715973	0.072785676	No	
row_8	ALDH1A1	NA	1631	0.45262640714645386	0.06850575	No	
row_9	UROD	NA	1774	0.4356028735637665	0.07234172	No	
row_10	DHCR24	NA	2081	0.3996424973011017	0.06455325	No	
row_11	ECHS1	NA	2193	0.3876081705093384	0.06895464	No	
row_12	ACO2	NA	2440	0.36246415972709656	0.06391989	No	
row_13	CRAT	NA	2462	0.36013224720954895	0.07329445	No	
row_14	ECI1	NA	2647	0.3437331020832062	0.071691535	No	
row_15	HADH	NA	2683	0.3406611680984497	0.079585284	No	
row_16	ACAA2	NA	2829	0.3272113502025604	0.07999995	No	
row_17	HSP90AA1	NA	2849	0.32514500617980957	0.08846118	No	
row_18	PRDX6	NA	3021	0.31251490116119385	0.086765036	No	
row_19	DLST	NA	3093	0.3058972954750061	0.0913068	No	
row_20	SDHC	NA	3134	0.30159810185432434	0.09771538	No	
row_21	MDH2	NA	3159	0.2999432682991028	0.10510427	No	
row_22	ACADS	NA	3331	0.2863112688064575	0.10262769	No	
row_23	HSDL2	NA	3349	0.2848294973373413	0.11001689	No	
row_24	GAD2	NA	3423	0.27937835454940796	0.11364014	No	
row_25	IDH3B	NA	3471	0.2752794325351715	0.1188144	No	
row_26	IDI1	NA	3608	0.2645616829395294	0.11794231	No	
row_27	EPHX1	NA	3899	0.24328795075416565	0.1065267	No	
row_28	FH	NA	3923	0.24135282635688782	0.11223492	No	
row_29	CA6	NA	4095	0.22901321947574615	0.10805182	No	
row_30	UROS	NA	4114	0.2283449023962021	0.113694385	No	
row_31	SUCLG1	NA	4163	0.22531288862228394	0.117316134	No	
row_32	HSD17B7	NA	4197	0.22270558774471283	0.12182548	No	
row_33	NSDHL	NA	4261	0.21804609894752502	0.12426555	No	
row_34	PTS	NA	4808	0.18268311023712158	0.094571315	No	
row_35	ACADL	NA	4853	0.1796833574771881	0.09709147	No	
row_36	ACSL1	NA	4944	0.17304962873458862	0.09645395	No	
row_37	CPT1A	NA	5058	0.16616351902484894	0.09413128	No	
row_38	UBE2L6	NA	5070	0.16539788246154785	0.09834952	No	
row_39	CPT2	NA	5076	0.1649647355079651	0.10294096	No	
row_40	SDHA	NA	5118	0.16181227564811707	0.10512191	No	
row_41	DECR1	NA	5265	0.1538565307855606	0.10030915	No	
row_42	TP53INP2	NA	5307	0.15055079758167267	0.10215469	No	
row_43	ODC1	NA	5498	0.13739286363124847	0.09402019	No	
row_44	ETFDH	NA	5629	0.12905818223953247	0.08949845	No	
row_45	METAP1	NA	5875	0.11143437772989273	0.077051565	No	
row_46	SUCLA2	NA	5953	0.10625100135803223	0.07526111	No	
row_47	SDHD	NA	6241	0.08809931576251984	0.05941653	No	
row_48	HSPH1	NA	6295	0.08419601619243622	0.058513608	No	
row_49	ACAA1	NA	6326	0.08235438168048859	0.059035886	No	
row_50	HSD17B4	NA	6399	0.07752541452646255	0.056711644	No	
row_51	CD36	NA	6479	0.07257991284132004	0.053789657	No	
row_52	ACOT8	NA	6638	0.06044365465641022	0.045422554	No	
row_53	CRYZ	NA	6790	0.05039989575743675	0.03720677	No	
row_54	ACOX1	NA	6820	0.04816129803657532	0.036775015	No	
row_55	NBN	NA	7110	0.027036340907216072	0.018983077	No	
row_56	MIF	NA	7128	0.025674540549516678	0.018653799	No	
row_57	SLC22A5	NA	7231	0.018918825313448906	0.012653556	No	
row_58	ADH1C	NA	7262	0.016826802864670753	0.01122421	No	
row_59	DLD	NA	7416	0.006532719358801842	0.001573216	No	
row_60	RAP1GDS1	NA	7489	0.002569525968283415	-0.00298346	No	
row_61	GABARAPL1	NA	7645	-0.003033653600141406	-0.012867369	No	
row_62	AUH	NA	8046	-0.037135496735572815	-0.03750138	No	
row_63	PPARA	NA	8134	-0.04303501173853874	-0.041818112	No	
row_64	UGDH	NA	8257	-0.05264201760292053	-0.048100967	No	
