NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP2K3	NA	157	0.8041490316390991	0.006369026	No	
row_1	ALAD	NA	247	0.7443410754203796	0.01589601	No	
row_2	SNCA	NA	332	0.7003989815711975	0.024844186	No	
row_3	GDE1	NA	455	0.6605736017227173	0.030525398	No	
row_4	HTRA2	NA	539	0.6393685340881348	0.038286388	No	
row_5	CCDC28A	NA	612	0.6241391897201538	0.046444304	No	
row_6	MPP1	NA	820	0.5803619027137756	0.04499978	No	
row_7	HTATIP2	NA	903	0.5642662048339844	0.051284984	No	
row_8	CPOX	NA	922	0.5598915815353394	0.061607104	No	
row_9	FTCD	NA	1127	0.524286150932312	0.059205964	No	
row_10	PDZK1IP1	NA	1299	0.49672913551330566	0.058367457	No	
row_11	HEBP1	NA	1356	0.48928725719451904	0.064791374	No	
row_12	ATP6V0A1	NA	1467	0.4752742052078247	0.06744605	No	
row_13	RCL1	NA	1521	0.46797114610671997	0.073626235	No	
row_14	SDCBP	NA	1534	0.46546033024787903	0.082398556	No	
row_15	UROD	NA	1774	0.4356028735637665	0.07592186	No	
row_16	CAST	NA	1932	0.4162292778491974	0.0743351	No	
row_17	ABCG2	NA	1999	0.4086199998855591	0.07845984	No	
row_18	MBOAT2	NA	2289	0.3782244920730591	0.06758244	No	
row_19	PICALM	NA	2344	0.37180042266845703	0.0717258	No	
row_20	CDR2	NA	2598	0.34759461879730225	0.06254146	No	
row_21	DAAM1	NA	3221	0.29526814818382263	0.02849133	No	
row_22	RNF123	NA	3366	0.2834444046020508	0.025019519	No	
row_23	HAGH	NA	3377	0.28236106038093567	0.030165635	No	
row_24	ACSL6	NA	3387	0.28200221061706543	0.03536887	No	
row_25	SLC2A1	NA	3440	0.2778714895248413	0.03771481	No	
row_26	MFHAS1	NA	3452	0.2768247425556183	0.0426829	No	
row_27	SLC6A8	NA	3553	0.2686031460762024	0.041743778	No	
row_28	BMP2K	NA	3746	0.2543809711933136	0.03458093	No	
row_29	EIF2AK1	NA	3900	0.24325409531593323	0.029704558	No	
row_30	MKRN1	NA	3965	0.23907892405986786	0.030481158	No	
row_31	GLRX5	NA	4074	0.23087826371192932	0.028252508	No	
row_32	UROS	NA	4114	0.2283449023962021	0.030420935	No	
row_33	IGSF3	NA	4126	0.2277190238237381	0.034381926	No	
row_34	SLC66A2	NA	4189	0.22331726551055908	0.03496423	No	
row_35	NR3C1	NA	4381	0.21010038256645203	0.026957719	No	
row_36	TNS1	NA	4483	0.20451562106609344	0.024639754	No	
row_37	CTSE	NA	4550	0.20004360377788544	0.024486827	No	
row_38	TCEA1	NA	4707	0.1896970272064209	0.01831862	No	
