NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL6A1	NA	43	1.0020253658294678	0.01630069	Yes	
row_1	CD48	NA	123	0.8415985703468323	0.027223611	Yes	
row_2	PRKCH	NA	171	0.7940676212310791	0.03930711	Yes	
row_3	ITIH5	NA	242	0.7467610239982605	0.04900546	Yes	
row_4	MAP6	NA	334	0.6984878182411194	0.056429356	Yes	
row_5	SYNGR2	NA	462	0.6590243577957153	0.060778335	Yes	
row_6	FGL2	NA	485	0.6524869799613953	0.07178011	Yes	
row_7	IFNGR1	NA	673	0.6080058813095093	0.071285106	Yes	
row_8	TGM2	NA	697	0.6014763116836548	0.08125121	Yes	
row_9	ANXA4	NA	709	0.599359393119812	0.09195157	Yes	
row_10	MYC	NA	833	0.5777109861373901	0.09501072	Yes	
row_11	IL2RA	NA	840	0.5759568214416504	0.10558827	Yes	
row_12	GALM	NA	939	0.5573651790618896	0.10987371	Yes	
row_13	UCK2	NA	955	0.5542109608650208	0.11945637	Yes	
row_14	RGS16	NA	1059	0.5358527898788452	0.12300955	Yes	
row_15	NOP2	NA	1124	0.5247692465782166	0.12886898	Yes	
row_16	CTLA4	NA	1175	0.5169164538383484	0.13548256	Yes	
row_17	ECM1	NA	1227	0.5082385540008545	0.14186639	Yes	
row_18	PLIN2	NA	1238	0.5069956183433533	0.1508729	Yes	
row_19	ETV4	NA	1247	0.5058509111404419	0.15998672	Yes	
row_20	CDCP1	NA	1253	0.5045933127403259	0.16927022	Yes	
row_21	IRF6	NA	1311	0.4951423704624176	0.17501745	Yes	
row_22	BATF3	NA	1388	0.4850581884384155	0.17934634	Yes	
row_23	PTRH2	NA	1440	0.47828593850135803	0.18515994	Yes	
row_24	ITGAV	NA	1648	0.45027926564216614	0.1803713	Yes	
row_25	P2RX4	NA	1662	0.44882625341415405	0.18807678	Yes	
row_26	ABCB1	NA	1757	0.43715396523475647	0.19033188	Yes	
row_27	PLPP1	NA	1826	0.4297047257423401	0.19412333	Yes	
row_28	TNFRSF21	NA	1995	0.40928012132644653	0.19107142	No	
row_29	BHLHE40	NA	2068	0.4012480080127716	0.19406295	No	
row_30	PHLDA1	NA	2838	0.3260062336921692	0.150634	No	
row_31	GPX4	NA	3038	0.31052568554878235	0.14370115	No	
row_32	CAPN3	NA	3116	0.3035653531551361	0.14451031	No	
row_33	GPR83	NA	3189	0.2974143922328949	0.1455251	No	
row_34	RRAGD	NA	3433	0.278573602437973	0.13514397	No	
row_35	TNFRSF18	NA	3577	0.2667350172996521	0.13099198	No	
row_36	TNFRSF8	NA	4144	0.2263791263103485	0.098769054	No	
row_37	MYO1E	NA	4684	0.19099697470664978	0.06761527	No	
row_38	CCR4	NA	4734	0.18755236268043518	0.06802309	No	
row_39	BCL2	NA	4739	0.18711063265800476	0.071327046	No	
row_40	ETFBKMT	NA	4780	0.18471777439117432	0.07226182	No	
row_41	PENK	NA	4798	0.18355634808540344	0.07465901	No	
row_42	DHRS3	NA	5233	0.1557510942220688	0.049611486	No	
row_43	CCNE1	NA	5358	0.1470961570739746	0.044408225	No	
row_44	IL2RB	NA	5395	0.14491881430149078	0.0448435	No	
row_45	S100A1	NA	5412	0.14362235367298126	0.046544995	No	
row_46	ODC1	NA	5498	0.13739286363124847	0.043674275	No	
row_47	PDCD2L	NA	5522	0.13643644750118256	0.044787154	No	
row_48	TNFSF10	NA	5608	0.13082215189933777	0.041791342	No	
row_49	IL10	NA	5667	0.12620511651039124	0.040450353	No	
row_50	CD83	NA	5669	0.12608440220355988	0.04278615	No	
row_51	ENPP1	NA	6121	0.0956747978925705	0.015497644	No	
row_52	P4HA1	NA	6287	0.0849963054060936	0.006465797	No	
row_53	DCPS	NA	6357	0.08022400736808777	0.0035394435	No	
row_54	PTCH1	NA	6464	0.07371088117361069	-0.0018990797	No	
row_55	LIF	NA	6470	0.0729997381567955	-8.320678E-4	No	
row_56	TNFRSF4	NA	6476	0.07261588424444199	2.2763642E-4	No	
row_57	IGF1R	NA	6509	0.0694294273853302	-5.160443E-4	No	
row_58	EEF1AKMT1	NA	6548	0.06729723513126373	-0.0016875886	No	
row_59	MAP3K8	NA	6669	0.05804779380559921	-0.008327933	No	
row_60	MAPKAPK2	NA	6821	0.04806876927614212	-0.017159158	No	
row_61	CDC6	NA	6856	0.04556424915790558	-0.018486263	No	
row_62	IL18R1	NA	7037	0.032332271337509155	-0.029488886	No	
row_63	PLAGL1	NA	7286	0.015382005833089352	-0.04520328	No	
row_64	IL10RA	NA	7301	0.014315909706056118	-0.045834374	No	
row_65	MYO1C	NA	7311	0.01370724942535162	-0.046154328	No	
row_66	GPR65	NA	7372	0.00949072279036045	-0.049846366	No	
row_67	TTC39B	NA	7481	0.0028262226842343807	-0.05676345	No	
row_68	BATF	NA	7490	0.0025560385547578335	-0.057231154	No	
row_69	SYT11	NA	7605	-4.8403997789137065E-4	-0.0645801	No	
row_70	NCS1	NA	7628	-0.001909715705551207	-0.06596374	No	
row_71	GABARAPL1	NA	7645	-0.003033653600141406	-0.06693871	No	
row_72	PRNP	NA	7814	-0.01841956563293934	-0.07743166	No	
row_73	RNH1	NA	7950	-0.02937193214893341	-0.08558609	No	
row_74	SPRY4	NA	8140	-0.04378468915820122	-0.096951604	No	
row_75	NFKBIZ	NA	8239	-0.05085715278983116	-0.10230884	No	
row_76	PUS1	NA	8250	-0.052248209714889526	-0.101959616	No	
row_77	IRF8	NA	8419	-0.06501331180334091	-0.11156552	No	
row_78	SOCS1	NA	8634	-0.08119726181030273	-0.12383242	No	
row_79	PHTF2	NA	8677	-0.08404584228992462	-0.124943286	No	
row_80	MAFF	NA	8721	-0.08695489168167114	-0.12606333	No	
row_81	CASP3	NA	8773	-0.09103018045425415	-0.12762214	No	
row_82	SOCS2	NA	8820	-0.09493107348680496	-0.12878397	No	
row_83	TNFSF11	NA	8842	-0.09640760719776154	-0.12830405	No	
row_84	CISH	NA	8865	-0.09798131138086319	-0.12785871	No	
row_85	AMACR	NA	8991	-0.10798147320747375	-0.13387117	No	
row_86	EOMES	NA	9013	-0.10968749970197678	-0.13313843	No	
row_87	UMPS	NA	9309	-0.1323486864566803	-0.1496597	No	
row_88	SMPDL3A	NA	9329	-0.1334327608346939	-0.14834583	No	
row_89	RHOB	NA	9375	-0.1368352621793747	-0.14864534	No	
row_90	ARL4A	NA	9376	-0.13694144785404205	-0.14603831	No	
row_91	IL4R	NA	9524	-0.14882872998714447	-0.15269314	No	
row_92	ITGA6	NA	9528	-0.14888131618499756	-0.15005243	No	
row_93	SWAP70	NA	9597	-0.15417611598968506	-0.15150636	No	
row_94	IKZF2	NA	9662	-0.15964798629283905	-0.15259795	No	
row_95	ALCAM	NA	9792	-0.16978316009044647	-0.15769203	No	
row_96	RORA	NA	9930	-0.18052344024181366	-0.163098	No	
row_97	HIPK2	NA	9983	-0.18493090569972992	-0.16293372	No	
row_98	PNP	NA	9997	-0.1857285052537918	-0.160237	No	
row_99	TRAF1	NA	10126	-0.19376540184020996	-0.16480997	No	
row_100	SH3BGRL2	NA	10312	-0.2089248150587082	-0.17277342	No	
row_101	CKAP4	NA	10333	-0.21031875908374786	-0.17006037	No	
row_102	MXD1	NA	10522	-0.22432279586791992	-0.17792432	No	
row_103	IRF4	NA	10569	-0.22791889309883118	-0.17655438	No	
row_104	ADAM19	NA	10622	-0.23210212588310242	-0.17549206	No	
row_105	RHOH	NA	10712	-0.2387719452381134	-0.17669097	No	
row_106	NRP1	NA	10713	-0.23878741264343262	-0.17214502	No	
row_107	FAM126B	NA	10808	-0.2467031031847	-0.17351565	No	
row_108	CYFIP1	NA	10887	-0.2526169717311859	-0.17374097	No	
row_109	SNX14	NA	10949	-0.25848931074142456	-0.17275722	No	
row_110	CD44	NA	10958	-0.2592298686504364	-0.16833848	No	
row_111	BMPR2	NA	11197	-0.2780708074569702	-0.17840645	No	
row_112	TWSG1	NA	11206	-0.27899280190467834	-0.17361146	No	
row_113	HOPX	NA	11212	-0.27950236201286316	-0.16861315	No	
row_114	LRRC8C	NA	11251	-0.28352952003479004	-0.16566814	No	
row_115	CD86	NA	11252	-0.28360211849212646	-0.16026905	No	
row_116	GLIPR2	NA	11472	-0.3013400733470917	-0.16866769	No	
row_117	AHCY	NA	11557	-0.30830588936805725	-0.16822009	No	
row_118	XBP1	NA	11776	-0.32478460669517517	-0.17610785	No	
row_119	CD81	NA	11883	-0.33153966069221497	-0.17663793	No	
row_120	F2RL2	NA	11884	-0.33154597878456116	-0.1703261	No	
row_121	CD79B	NA	11979	-0.3390037417411804	-0.16993955	No	
row_122	PTGER2	NA	11994	-0.34059059619903564	-0.16435917	No	
row_123	DENND5A	NA	12099	-0.3495376408100128	-0.16441752	No	
row_124	SPRED2	NA	12118	-0.3508034646511078	-0.15890089	No	
row_125	AHR	NA	12196	-0.3573880195617676	-0.15706708	No	
row_126	CDC42SE2	NA	12207	-0.35805007815361023	-0.15089612	No	
row_127	LCLAT1	NA	12386	-0.37501654028892517	-0.15524577	No	
row_128	CSF1	NA	12418	-0.37711793184280396	-0.15006727	No	
row_129	KLF6	NA	12490	-0.3836408257484436	-0.14734639	No	
row_130	SNX9	NA	12603	-0.3937452733516693	-0.1470795	No	
row_131	NCOA3	NA	12695	-0.40332603454589844	-0.14527477	No	
row_132	NT5E	NA	12724	-0.40555208921432495	-0.1393613	No	
row_133	SPP1	NA	12832	-0.41355568170547485	-0.13839455	No	
row_134	POU2F1	NA	12925	-0.42179596424102783	-0.13630274	No	
row_135	BCL2L1	NA	12975	-0.42595502734184265	-0.13135631	No	
row_136	BMP2	NA	13059	-0.4332687258720398	-0.12846519	No	
row_137	WLS	NA	13076	-0.4345673620700836	-0.1212248	No	
row_138	LRIG1	NA	13103	-0.43664631247520447	-0.11459029	No	
row_139	CDKN1C	NA	13207	-0.4446229040622711	-0.1127739	No	
row_140	SLC39A8	NA	13255	-0.4497373104095459	-0.107245624	No	
row_141	TLR7	NA	13276	-0.4519014358520508	-0.09993342	No	
row_142	EMP1	NA	13405	-0.4633294641971588	-0.09937455	No	
row_143	CST7	NA	13427	-0.4651632308959961	-0.09187441	No	
row_144	PTH1R	NA	13593	-0.478110671043396	-0.093422316	No	
row_145	COCH	NA	13626	-0.48075902462005615	-0.08633528	No	
row_146	FURIN	NA	13637	-0.4816798269748688	-0.07781071	No	
row_147	FAH	NA	13720	-0.4888332188129425	-0.073797226	No	
row_148	SERPINC1	NA	13975	-0.5084618330001831	-0.080511846	No	
row_149	CCND2	NA	14090	-0.5194900035858154	-0.077980176	No	
row_150	PIM1	NA	14264	-0.5372133255004883	-0.07891926	No	
row_151	DRC1	NA	14316	-0.5429802536964417	-0.071874045	No	
row_152	SHE	NA	14644	-0.5885183215141296	-0.08177639	No	
row_153	ST3GAL4	NA	14731	-0.6035007238388062	-0.07583809	No	
row_154	CCND3	NA	14828	-0.6191384792327881	-0.07024754	No	
row_155	TIAM1	NA	14926	-0.634223222732544	-0.06443436	No	
row_156	NFIL3	NA	14956	-0.6379324793815613	-0.054161478	No	
row_157	NDRG1	NA	15136	-0.6742599606513977	-0.05287881	No	
row_158	MUC1	NA	15151	-0.682121753692627	-0.040796496	No	
row_159	GUCY1B1	NA	15170	-0.6878445148468018	-0.028863415	No	
row_160	RABGAP1L	NA	15255	-0.719790518283844	-0.02058215	No	
row_161	CTSZ	NA	15310	-0.7402926683425903	-0.009974215	No	
row_162	IGF2R	NA	15344	-0.7555250525474548	0.0022791591	No	
row_163	IL1RL1	NA	15559	-0.9346944689750671	0.006260789	No	
